# SourcePhotonFlux	NumberRaysSurvived	PercentageRaysSurvived	PhotonFlux	Bandwidth	HorizontalFocusFWHM	VerticalFocusFWHM
nan	2.998999999999999844e+01	2.998999999999999930e-02	nan	2.299710243534036636e-04	6.783175203536173821e-03	2.504742561777090789e-04
nan	3.329999999999999716e+01	3.330000000000000321e-02	nan	4.232805100099312594e-04	5.717811548808094183e-03	2.493058744872844105e-04
nan	2.117999999999999972e+01	2.117999999999999744e-02	nan	4.779863231905778840e-04	4.890067790429013586e-03	2.821580363492767968e-04
nan	2.039999999999999858e+01	2.040000000000000147e-02	nan	6.937312752720003464e-04	3.663531070429769908e-03	2.949851746055550533e-04
nan	2.216000000000000014e+01	2.216000000000000261e-02	nan	8.929593149730408403e-04	3.756543114286308056e-03	2.498291204554137874e-04
nan	2.375999999999999801e+01	2.376000000000000334e-02	nan	1.142364113762255355e-03	4.061959659793556131e-03	3.001634120818783241e-04
nan	2.713000000000000256e+01	2.712999999999999787e-02	nan	1.416949509308551526e-03	3.372890465550763221e-03	2.504476704458847322e-04
nan	2.942999999999999972e+01	2.942999999999999436e-02	nan	1.611025099412586540e-03	3.635557378883105643e-03	2.592723893514171625e-04
nan	3.228999999999999915e+01	3.228999999999999926e-02	nan	1.645206772203664696e-03	3.441089330303973882e-03	2.755801963592076353e-04
nan	3.178000000000000114e+01	3.177999999999999575e-02	nan	1.941387705862780266e-03	3.350089025839878519e-03	2.928145726181005247e-04
nan	3.510000000000000142e+01	3.509999999999999926e-02	nan	2.297514103412368145e-03	2.758915324288340777e-03	2.903509444611209475e-04
nan	3.910999999999999943e+01	3.911000000000000587e-02	nan	2.499000696163875598e-03	2.938055152736832910e-03	3.237753460914033076e-04
nan	3.910000000000000142e+01	3.910000000000000281e-02	nan	2.622235417278489210e-03	2.817043292269631218e-03	2.886601510030489771e-04
nan	4.253999999999999915e+01	4.254000000000000836e-02	nan	3.160043515642882959e-03	3.018835528626874140e-03	3.206824844017874300e-04
nan	4.393999999999999773e+01	4.393999999999999989e-02	nan	3.462086320790831902e-03	3.295045550500663636e-03	3.004220639352863233e-04
nan	4.723000000000000398e+01	4.722999999999998727e-02	nan	3.761747173001595002e-03	2.930524244603982358e-03	2.974154721235921584e-04
nan	4.911999999999999744e+01	4.911999999999999700e-02	nan	3.920516465789205575e-03	2.970843813026618173e-03	2.967952805745178091e-04
nan	5.204999999999999716e+01	5.204999999999999905e-02	nan	4.468071192990237181e-03	2.576346606451747085e-03	3.226820984105997899e-04
nan	5.287000000000000455e+01	5.286999999999999339e-02	nan	4.437555295631909723e-03	2.697818163595991185e-03	3.019979472853896989e-04
nan	5.556000000000000227e+01	5.555999999999999828e-02	nan	5.358508171493667899e-03	2.741868626889599862e-03	3.156146508504619895e-04
nan	5.707999999999999829e+01	5.707999999999999879e-02	nan	5.420023295753252993e-03	2.563093267151823028e-03	2.994086646015778493e-04
nan	5.957000000000000739e+01	5.956999999999999795e-02	nan	5.436947786874953351e-03	2.747954993262467435e-03	2.873907238880730715e-04
nan	5.721000000000000085e+01	5.721000000000000391e-02	nan	6.016509193914316642e-03	2.545049493549768945e-03	2.902992386699335819e-04
nan	4.611999999999999744e+01	4.612000000000000127e-02	nan	6.299020737455976286e-03	2.471944351032192254e-03	2.714833356897325108e-04
nan	2.291999999999999815e+01	2.291999999999999940e-02	nan	6.720317648948821720e-03	2.379414580466890534e-03	3.048206938685003344e-04
nan	6.490000000000000213e+00	6.490000000000000976e-03	nan	8.203996582460945652e-03	3.004367595089864080e-03	3.408998217386286162e-04
nan	1.040000000000000036e+00	1.039999999999999909e-03	nan	7.473507706845762370e-03	2.561079713819510405e-03	3.560496013336017203e-04
nan	nan	nan	nan	nan	nan	nan
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
