,Simulation Number,ExitSlit.openingHeight,PG.lineDensity,PG.orderDiffraction,SU.numberRays,SU.photonEnergy,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonFlux,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM
0,0,0.01,1200,1,100000.0,100,,299.9,0.2999,,0.0022997102435340366,0.06783175203536174,0.002504742561777091
1,1,0.01,1200,1,100000.0,150,,333.0,0.333,,0.004232805100099313,0.05717811548808094,0.002493058744872844
2,2,0.01,1200,1,100000.0,200,,211.8,0.2118,,0.004779863231905778,0.048900677904290125,0.002821580363492768
3,3,0.01,1200,1,100000.0,250,,204.0,0.204,,0.006937312752720004,0.036635310704297694,0.0029498517460555505
4,4,0.01,1200,1,100000.0,300,,221.6,0.2216,,0.008929593149730408,0.03756543114286308,0.002498291204554138
5,5,0.01,1200,1,100000.0,350,,237.6,0.23760000000000003,,0.011423641137622552,0.04061959659793556,0.0030016341208187838
6,6,0.01,1200,1,100000.0,400,,271.3,0.2713,,0.014169495093085516,0.03372890465550763,0.0025044767044588474
7,7,0.01,1200,1,100000.0,450,,294.3,0.29429999999999995,,0.016110250994125865,0.03635557378883106,0.0025927238935141714
8,8,0.01,1200,1,100000.0,500,,322.9,0.3229,,0.016452067722036647,0.03441089330303974,0.0027558019635920764
9,9,0.01,1200,1,100000.0,550,,317.8,0.3178,,0.019413877058627804,0.03350089025839879,0.0029281457261810047
10,10,0.01,1200,1,100000.0,600,,351.0,0.351,,0.02297514103412368,0.02758915324288341,0.002903509444611209
11,11,0.01,1200,1,100000.0,650,,391.1,0.39110000000000006,,0.02499000696163876,0.029380551527368327,0.003237753460914033
12,12,0.01,1200,1,100000.0,700,,391.0,0.391,,0.026222354172784887,0.02817043292269631,0.002886601510030489
13,13,0.01,1200,1,100000.0,750,,425.4,0.42540000000000006,,0.03160043515642883,0.03018835528626874,0.0032068248440178743
14,14,0.01,1200,1,100000.0,800,,439.4,0.4394,,0.03462086320790832,0.03295045550500664,0.0030042206393528638
15,15,0.01,1200,1,100000.0,850,,472.3,0.47229999999999994,,0.03761747173001595,0.029305242446039825,0.0029741547212359214
16,16,0.01,1200,1,100000.0,900,,491.2,0.4912,,0.03920516465789205,0.029708438130266177,0.0029679528057451774
17,17,0.01,1200,1,100000.0,950,,520.5,0.5205,,0.044680711929902375,0.025763466064517467,0.0032268209841059977
18,18,0.01,1200,1,100000.0,1000,,528.7,0.5287,,0.0443755529563191,0.026978181635959917,0.003019979472853897
19,19,0.01,1200,1,100000.0,1050,,555.6,0.5556,,0.05358508171493668,0.027418686268896,0.00315614650850462
20,20,0.01,1200,1,100000.0,1100,,570.8,0.5708,,0.054200232957532526,0.025630932671518232,0.0029940866460157786
21,21,0.01,1200,1,100000.0,1150,,595.7,0.5957,,0.05436947786874953,0.027479549932624674,0.0028739072388807305
22,22,0.01,1200,1,100000.0,1200,,572.1,0.5721,,0.06016509193914317,0.025450494935497687,0.002902992386699336
23,23,0.01,1200,1,100000.0,1250,,461.2,0.4612,,0.06299020737455976,0.02471944351032192,0.0027148333568973253
24,24,0.01,1200,1,100000.0,1300,,229.2,0.2292,,0.06720317648948822,0.023794145804668904,0.0030482069386850038
25,25,0.01,1200,1,100000.0,1350,,64.9,0.06490000000000001,,0.08203996582460946,0.03004367595089864,0.0034089982173862855
26,26,0.01,1200,1,100000.0,1400,,10.4,0.0104,,0.07473507706845761,0.025610797138195102,0.003560496013336017
27,27,0.01,1200,1,100000.0,1450,,,,,,,
28,28,0.01,1200,1,100000.0,1500,,0.0,0.0,0.0,0.0,0.0,0.0
29,29,0.01,1200,1,100000.0,1550,,0.0,0.0,0.0,0.0,0.0,0.0
30,30,0.01,1200,1,100000.0,1600,,0.0,0.0,0.0,0.0,0.0,0.0
31,31,0.01,1200,1,100000.0,1650,,0.0,0.0,0.0,0.0,0.0,0.0
32,32,0.01,1200,1,100000.0,1700,,0.0,0.0,0.0,0.0,0.0,0.0
33,33,0.01,1200,1,100000.0,1750,,0.0,0.0,0.0,0.0,0.0,0.0
34,34,0.01,1200,1,100000.0,1800,,0.0,0.0,0.0,0.0,0.0,0.0
35,35,0.01,1200,1,100000.0,1850,,0.0,0.0,0.0,0.0,0.0,0.0
36,36,0.01,1200,1,100000.0,1900,,0.0,0.0,0.0,0.0,0.0,0.0
37,37,0.01,1200,1,100000.0,1950,,0.0,0.0,0.0,0.0,0.0,0.0
38,38,0.01,1200,1,100000.0,2000,,0.0,0.0,0.0,0.0,0.0,0.0
39,39,0.01,1200,1,100000.0,2050,,0.0,0.0,0.0,0.0,0.0,0.0
40,40,0.01,1200,1,100000.0,2100,,0.0,0.0,0.0,0.0,0.0,0.0
