# SourcePhotonFlux	NumberRaysSurvived	PercentageRaysSurvived	PhotonFlux	Bandwidth	HorizontalFocusFWHM	VerticalFocusFWHM
nan	1.522500000000000000e+02	1.522499999999999964e-01	nan	4.465349046212097051e-04	4.550562437729870069e-02	1.013336174805567471e-03
nan	2.091250000000000000e+02	2.091250000000000053e-01	nan	7.008380728077412414e-04	4.051868022151172699e-02	1.035267421675151699e-03
nan	2.381875000000000000e+02	2.381874999999999964e-01	nan	9.774567536737777118e-04	4.476953481685794212e-02	1.029119041261070079e-03
nan	2.750000000000000000e+02	2.750000000000000222e-01	nan	1.302006632219132598e-03	4.003452346508812321e-02	1.016030085881846137e-03
nan	3.011250000000000000e+02	3.011249999999999760e-01	nan	1.582274595463672995e-03	4.318931424236609196e-02	1.061906811815349367e-03
nan	3.320000000000000000e+02	3.319999999999999618e-01	nan	1.871493658931910886e-03	4.268324966598859016e-02	1.049389106832694998e-03
nan	3.466250000000000000e+02	3.466249999999999609e-01	nan	2.181731407798537248e-03	4.366935182926785092e-02	1.072256517176697899e-03
nan	3.840000000000000000e+02	3.840000000000000080e-01	nan	2.400865205075319864e-03	4.409576710427197399e-02	1.068345767784713903e-03
nan	3.986250000000000000e+02	3.986250000000000071e-01	nan	2.843125321604134115e-03	4.389225543794719742e-02	1.080690794455786783e-03
nan	4.185625000000000000e+02	4.185625000000000040e-01	nan	3.531449426660060453e-03	3.932302658420209346e-02	1.063032051726797321e-03
nan	4.368750000000000000e+02	4.368750000000000133e-01	nan	3.771865854290012976e-03	4.048841505095628068e-02	1.072229773868228894e-03
nan	4.527500000000000000e+02	4.527499999999999858e-01	nan	3.797495313669685402e-03	4.520870733007242848e-02	1.070418964846536498e-03
nan	4.761875000000000000e+02	4.761874999999999858e-01	nan	4.441924359987581283e-03	3.843149242467115700e-02	1.080218664013445334e-03
nan	5.011250000000000000e+02	5.011250000000000426e-01	nan	5.066165021879953656e-03	4.319699312260419366e-02	1.050899390041208203e-03
nan	5.163125000000000000e+02	5.163124999999999520e-01	nan	5.263628204829728929e-03	4.127979207721213517e-02	1.078138231384770038e-03
nan	5.199375000000000000e+02	5.199375000000000524e-01	nan	6.155278007824449560e-03	4.424770667923685202e-02	1.095869939514187551e-03
nan	5.345000000000000000e+02	5.344999999999999751e-01	nan	6.496420541154179773e-03	4.312072123585740380e-02	1.068207397122484040e-03
nan	5.477500000000000000e+02	5.477499999999999591e-01	nan	6.933582205434163370e-03	4.117362976205937719e-02	1.090128932327443434e-03
nan	5.616875000000000000e+02	5.616875000000000062e-01	nan	6.718664487827652465e-03	4.090399237783712283e-02	1.079742040452609433e-03
nan	5.726875000000000000e+02	5.726875000000000160e-01	nan	8.122012925170452036e-03	4.175565762379953444e-02	1.075516910960429371e-03
nan	5.968750000000000000e+02	5.968750000000000444e-01	nan	8.317213102301934669e-03	4.574268475639097636e-02	1.065868460859414847e-03
nan	6.008750000000000000e+02	6.008750000000000480e-01	nan	8.805068441347430053e-03	4.076816467019568624e-02	1.091827140379084300e-03
nan	6.118125000000000000e+02	6.118124999999999813e-01	nan	9.289113166843776526e-03	3.764549555493732630e-02	1.057075411030637679e-03
nan	6.310000000000000000e+02	6.310000000000000053e-01	nan	1.048086125619818176e-02	4.177550844423352089e-02	1.090662019973674679e-03
nan	6.524375000000000000e+02	6.524375000000000036e-01	nan	1.054072559749386073e-02	4.159686061081426661e-02	1.081461268279860707e-03
nan	6.475625000000000000e+02	6.475624999999999298e-01	nan	1.061635153639883811e-02	4.561024352096651469e-02	1.071786804111519911e-03
