# SourcePhotonFlux	NumberRaysSurvived	PercentageRaysSurvived	PhotonFlux	Bandwidth	HorizontalFocusFWHM	VerticalFocusFWHM
nan	6.090000000000000000e+02	6.089999999999999858e-01	nan	1.786139618484838820e-03	1.820224975091948028e-01	4.053344699222269885e-03
nan	8.365000000000000000e+02	8.365000000000000213e-01	nan	2.803352291230964966e-03	1.620747208860469080e-01	4.141069686700606794e-03
nan	9.527500000000000000e+02	9.527499999999999858e-01	nan	3.909827014695110847e-03	1.790781392674317685e-01	4.116476165044280315e-03
nan	1.100000000000000000e+03	1.100000000000000089e+00	nan	5.208026528876530392e-03	1.601380938603524928e-01	4.064120343527384549e-03
nan	1.204500000000000000e+03	1.204499999999999904e+00	nan	6.329098381854691979e-03	1.727572569694643678e-01	4.247627247261397468e-03
nan	1.328000000000000000e+03	1.327999999999999847e+00	nan	7.485974635727643545e-03	1.707329986639543606e-01	4.197556427330779993e-03
nan	1.386500000000000000e+03	1.386499999999999844e+00	nan	8.726925631194148991e-03	1.746774073170714037e-01	4.289026068706791595e-03
nan	1.536000000000000000e+03	1.536000000000000032e+00	nan	9.603460820301279455e-03	1.763830684170878960e-01	4.273383071138855613e-03
nan	1.594500000000000000e+03	1.594500000000000028e+00	nan	1.137250128641653646e-02	1.755690217517887897e-01	4.322763177823147132e-03
nan	1.674250000000000000e+03	1.674250000000000016e+00	nan	1.412579770664024181e-02	1.572921063368083738e-01	4.252128206907189283e-03
nan	1.747500000000000000e+03	1.747500000000000053e+00	nan	1.508746341716005190e-02	1.619536602038251227e-01	4.288919095472915576e-03
nan	1.811000000000000000e+03	1.810999999999999943e+00	nan	1.518998125467874161e-02	1.808348293202897139e-01	4.281675859386145991e-03
nan	1.904750000000000000e+03	1.904749999999999943e+00	nan	1.776769743995032513e-02	1.537259696986846280e-01	4.320874656053781335e-03
nan	2.004500000000000000e+03	2.004500000000000171e+00	nan	2.026466008751981462e-02	1.727879724904167746e-01	4.203597560164832811e-03
nan	2.065250000000000000e+03	2.065249999999999808e+00	nan	2.105451281931891572e-02	1.651191683088485407e-01	4.312552925539080151e-03
nan	2.079750000000000000e+03	2.079750000000000210e+00	nan	2.462111203129779824e-02	1.769908267169474081e-01	4.383479758056750206e-03
nan	2.138000000000000000e+03	2.137999999999999901e+00	nan	2.598568216461671909e-02	1.724828849434296152e-01	4.272829588489936159e-03
nan	2.191000000000000000e+03	2.190999999999999837e+00	nan	2.773432882173665348e-02	1.646945190482375088e-01	4.360515729309773734e-03
nan	2.246750000000000000e+03	2.246750000000000025e+00	nan	2.687465795131060986e-02	1.636159695113484913e-01	4.318968161810437731e-03
nan	2.290750000000000000e+03	2.290750000000000064e+00	nan	3.248805170068180814e-02	1.670226304951981378e-01	4.302067643841717484e-03
nan	2.387500000000000000e+03	2.387500000000000178e+00	nan	3.326885240920773867e-02	1.829707390255639055e-01	4.263473843437659387e-03
nan	2.403500000000000000e+03	2.403500000000000192e+00	nan	3.522027376538972021e-02	1.630726586807827450e-01	4.367308561516337201e-03
nan	2.447250000000000000e+03	2.447249999999999925e+00	nan	3.715645266737510610e-02	1.505819822197493052e-01	4.228301644122550718e-03
nan	2.524000000000000000e+03	2.524000000000000021e+00	nan	4.192344502479272705e-02	1.671020337769340836e-01	4.362648079894698716e-03
nan	2.609750000000000000e+03	2.609750000000000014e+00	nan	4.216290238997544293e-02	1.663874424432570664e-01	4.325845073119442830e-03
nan	2.590250000000000000e+03	2.590249999999999719e+00	nan	4.246540614559535243e-02	1.824409740838660587e-01	4.287147216446079642e-03
nan	2.749750000000000000e+03	2.749750000000000139e+00	nan	4.643884549318499921e-02	1.745987199839152959e-01	4.338697072954821737e-03
nan	2.743750000000000000e+03	2.743750000000000355e+00	nan	4.905799546207845196e-02	1.643163033960408359e-01	4.338755400557359546e-03
nan	2.744250000000000000e+03	2.744250000000000078e+00	nan	5.052794950341876756e-02	1.610855737721891001e-01	4.343349491551711482e-03
nan	2.829500000000000000e+03	2.829499999999999904e+00	nan	5.400490157592230389e-02	1.657897603772476580e-01	4.340567764311747609e-03
nan	2.874500000000000000e+03	2.874500000000000277e+00	nan	5.679625406042987379e-02	1.690601320552130860e-01	4.312205674708623551e-03
nan	2.890000000000000000e+03	2.890000000000000568e+00	nan	5.804015754694091811e-02	1.625088832376727355e-01	4.260006512227298113e-03
nan	2.948000000000000000e+03	2.947999999999999954e+00	nan	6.327648543378927570e-02	1.682906549260214657e-01	4.381218429937084290e-03
nan	3.015750000000000000e+03	3.015749999999999709e+00	nan	6.296201904211784495e-02	1.653774688012428218e-01	4.394016592053149282e-03
nan	2.977500000000000000e+03	2.977500000000000036e+00	nan	6.690772749288953491e-02	1.732403045471556102e-01	4.282608212477685000e-03
nan	3.082000000000000000e+03	3.081999999999999851e+00	nan	7.055625392484898839e-02	1.682750969337721281e-01	4.295391139940395175e-03
nan	3.140500000000000000e+03	3.140499999999999847e+00	nan	7.002006530291282616e-02	1.677819773233830136e-01	4.319427644963543325e-03
nan	3.164750000000000000e+03	3.164749999999999730e+00	nan	7.623076105505788291e-02	1.551559850160917631e-01	4.409561838774882225e-03
