# SourcePhotonFlux	NumberRaysSurvived	PercentageRaysSurvived	PhotonFlux	Bandwidth	HorizontalFocusFWHM	VerticalFocusFWHM
nan	1.168750000000000000e+02	1.168750000000000067e-01	nan	3.939237570556031187e-04	1.630239311855801940e-02	1.041484932520735616e-03
nan	1.589375000000000000e+02	1.589375000000000093e-01	nan	7.074168890977006185e-04	1.482590635786074258e-02	1.022128814896073115e-03
nan	1.972500000000000000e+02	1.972500000000000364e-01	nan	8.639119011739637699e-04	1.676973392042088729e-02	1.067144010280933995e-03
nan	2.157500000000000000e+02	2.157500000000000251e-01	nan	1.206536031158833566e-03	1.621091169008600369e-02	1.035104337373129449e-03
nan	2.379375000000000000e+02	2.379374999999999962e-01	nan	1.365439721727312872e-03	1.736787900435797852e-02	1.066513207245276332e-03
nan	2.618125000000000000e+02	2.618125000000000036e-01	nan	1.524145781953478718e-03	1.578804078746248382e-02	1.058187598758078638e-03
nan	2.789375000000000000e+02	2.789374999999999494e-01	nan	1.786445730559194089e-03	1.624702619202860951e-02	1.057622964359089361e-03
nan	2.950000000000000000e+02	2.949999999999999845e-01	nan	2.163082602265831156e-03	1.713927197338906486e-02	1.045837708381834727e-03
nan	3.216875000000000000e+02	3.216875000000000151e-01	nan	2.526136602270412368e-03	1.587888177993018735e-02	1.061990382422655895e-03
nan	3.320000000000000000e+02	3.319999999999999618e-01	nan	2.740548596833036754e-03	1.605758088385412716e-02	1.065925780778046719e-03
nan	3.463125000000000000e+02	3.463125000000000231e-01	nan	3.290975717369803988e-03	1.851709197061483098e-02	1.033270355178261563e-03
nan	3.649375000000000000e+02	3.649375000000000258e-01	nan	3.479219325591031975e-03	1.638721519859939052e-02	1.084340919266354921e-03
nan	3.775000000000000000e+02	3.774999999999999467e-01	nan	3.817365898768798615e-03	1.690388058574510133e-02	1.063601400242018304e-03
nan	3.876250000000000000e+02	3.876249999999999973e-01	nan	4.268232865349830263e-03	1.540079113319188855e-02	1.054205608963885510e-03
nan	4.043125000000000000e+02	4.043125000000000191e-01	nan	4.872397789583260419e-03	1.662111624738130469e-02	1.079150450816638435e-03
nan	4.158750000000000000e+02	4.158750000000000502e-01	nan	5.299504183916781130e-03	1.529649232834033590e-02	1.056748842790417465e-03
nan	4.264375000000000000e+02	4.264375000000000249e-01	nan	5.349542789623740191e-03	1.576554113678839408e-02	1.061533878803921048e-03
nan	4.349375000000000000e+02	4.349375000000000324e-01	nan	5.759329500172327698e-03	1.636929612721778338e-02	1.060889747179039749e-03
nan	4.403125000000000000e+02	4.403124999999999956e-01	nan	6.214525195723297202e-03	1.504976225879256675e-02	1.078701623092922363e-03
nan	4.598750000000000000e+02	4.598750000000000338e-01	nan	6.184493259937084986e-03	1.546059185411565243e-02	1.082077141334064109e-03
nan	4.538125000000000000e+02	4.538124999999999520e-01	nan	6.548430990349629610e-03	1.498758943238382053e-02	1.071404956168103655e-03
nan	4.791875000000000000e+02	4.791874999999999885e-01	nan	7.374966039137120788e-03	1.570134844329059559e-02	1.060725811358383900e-03
nan	4.986875000000000000e+02	4.986875000000000058e-01	nan	7.797567700208674069e-03	1.406685206282867751e-02	1.064415683812989719e-03
nan	5.013125000000000000e+02	5.013125000000000497e-01	nan	7.854069009709974125e-03	1.654877519053033624e-02	1.077998467697087156e-03
nan	5.029375000000000000e+02	5.029375000000000373e-01	nan	9.326726171892119055e-03	1.557679306578348480e-02	1.091517570618688983e-03
nan	5.201250000000000000e+02	5.201249999999999485e-01	nan	9.501592289183236062e-03	1.537251324571900675e-02	1.077488144748861478e-03
nan	5.310625000000000000e+02	5.310624999999999929e-01	nan	9.404306259000350110e-03	1.540506990608303539e-02	1.073176143074656844e-03
nan	5.395000000000000000e+02	5.394999999999999796e-01	nan	1.037035090112681246e-02	1.640885406037873029e-02	1.070987199471258111e-03
nan	5.455625000000000000e+02	5.455624999999999503e-01	nan	1.043424718309893251e-02	1.592414426785519060e-02	1.078115308962426105e-03
nan	5.606875000000000000e+02	5.606875000000000053e-01	nan	1.106055009705642078e-02	1.661753681246635334e-02	1.080059216208952618e-03
nan	5.733750000000000000e+02	5.733749999999999680e-01	nan	1.161376091600629934e-02	1.573964709923872732e-02	1.088809610816115180e-03
nan	5.791875000000000000e+02	5.791874999999999662e-01	nan	1.258133865084687386e-02	1.580117545319605077e-02	1.088515957276342365e-03
nan	5.933125000000000000e+02	5.933125000000000204e-01	nan	1.255341079971117324e-02	1.511430509228664162e-02	1.059159017852622430e-03
nan	5.970625000000000000e+02	5.970624999999999405e-01	nan	1.425173248669864279e-02	1.632612930589297934e-02	1.076146148075698234e-03
nan	6.031875000000000000e+02	6.031874999999999876e-01	nan	1.290723468429177956e-02	1.620117035532630048e-02	1.083956164030952084e-03
nan	6.184375000000000000e+02	6.184374999999999734e-01	nan	1.414276157464655626e-02	1.568622121896068658e-02	1.089507444752643110e-03
nan	6.158125000000000000e+02	6.158124999999999849e-01	nan	1.447266524458257209e-02	1.642876741239544455e-02	1.069739177206261056e-03
nan	6.337500000000000000e+02	6.337499999999999245e-01	nan	1.452781773792821696e-02	1.575126614044683807e-02	1.096342332925328731e-03
nan	6.300625000000000000e+02	6.300624999999999698e-01	nan	1.514411885212041398e-02	1.524441972038987139e-02	1.103144187595876680e-03
nan	1.040000000000000000e+02	1.040000000000000091e-01	nan	4.669164281239090997e-04	1.824209569570257525e-02	8.473480223875454230e-04
nan	1.312500000000000000e+02	1.312500000000000056e-01	nan	6.879108802486655350e-04	1.601994389862719526e-02	8.312218835562991317e-04
nan	1.533750000000000000e+02	1.533750000000000113e-01	nan	7.308376635144497868e-04	1.842428348097266411e-02	8.713107903050487570e-04
nan	1.826250000000000000e+02	1.826250000000000095e-01	nan	1.065862466621325666e-03	1.722036187214352060e-02	8.654272707791183048e-04
nan	1.991875000000000000e+02	1.991875000000000173e-01	nan	1.139026092740635931e-03	1.637058423873921295e-02	8.787191613121565856e-04
nan	2.120625000000000000e+02	2.120625000000000149e-01	nan	1.651095832684745801e-03	1.650069802760981835e-02	8.891770460731641653e-04
nan	2.341250000000000000e+02	2.341249999999999998e-01	nan	1.880532012609847925e-03	1.722277227154592541e-02	8.927591747794605664e-04
nan	2.402500000000000000e+02	2.402500000000000191e-01	nan	2.084206820750722500e-03	1.577442713451197853e-02	8.760593249563574996e-04
nan	2.640625000000000000e+02	2.640624999999999778e-01	nan	2.262570431394550496e-03	1.804497117339510376e-02	8.827074498545037359e-04
nan	2.751875000000000000e+02	2.751875000000000293e-01	nan	2.565688536058985392e-03	1.606711598744036545e-02	8.807399547414517622e-04
nan	2.937500000000000000e+02	2.937499999999999556e-01	nan	2.920544679994918624e-03	1.590289313511971531e-02	8.972758450827562730e-04
nan	3.011875000000000000e+02	3.011875000000000524e-01	nan	3.324982516815566669e-03	1.579119976474197690e-02	8.932171791057800896e-04
nan	3.178125000000000000e+02	3.178124999999999978e-01	nan	3.383277873737711161e-03	1.594346010023079893e-02	8.782735910102773373e-04
nan	3.223750000000000000e+02	3.223749999999999671e-01	nan	3.993011755895281567e-03	1.668438128751155436e-02	8.895516666051145674e-04
