# SourcePhotonFlux	NumberRaysSurvived	PercentageRaysSurvived	PhotonFlux	Bandwidth	HorizontalFocusFWHM	VerticalFocusFWHM
nan	1.562500000000000000e+02	1.562500000000000000e-01	nan	3.713663195643590598e-04	1.039654356015336407e-02	1.044923305733741394e-03
nan	2.087500000000000000e+02	2.087499999999999911e-01	nan	6.361370599918814150e-04	9.213485824084981235e-03	1.028494852521863890e-03
nan	2.388125000000000000e+02	2.388125000000000109e-01	nan	8.969129849702994761e-04	8.886537919264005103e-03	1.024922019888693716e-03
nan	2.795000000000000000e+02	2.795000000000000262e-01	nan	1.059375119135452792e-03	7.953267475527926039e-03	1.036601377962054725e-03
nan	3.111250000000000000e+02	3.111249999999999849e-01	nan	1.421606154789145648e-03	7.266289486508703543e-03	1.072635007105794203e-03
nan	3.392500000000000000e+02	3.392499999999999960e-01	nan	1.649860711726347517e-03	6.767619596947337807e-03	1.071871958787086899e-03
nan	3.513750000000000000e+02	3.513749999999999929e-01	nan	1.905912968862111256e-03	6.715712015709385599e-03	1.055482563248204752e-03
nan	3.858125000000000000e+02	3.858125000000000027e-01	nan	2.052486621622051643e-03	6.271533029748550120e-03	1.040927362420338616e-03
nan	3.942500000000000000e+02	3.942499999999999893e-01	nan	2.397798698535069661e-03	6.312323517267865586e-03	1.074289437488624294e-03
nan	4.271875000000000000e+02	4.271874999999999423e-01	nan	2.694890724050935660e-03	5.925894121752952465e-03	1.049416891757841462e-03
nan	4.461875000000000000e+02	4.461875000000000147e-01	nan	3.057613235775136218e-03	5.715558939096599886e-03	1.053457865184807092e-03
nan	4.558750000000000000e+02	4.558749999999999747e-01	nan	3.306841961105533301e-03	5.452599320814122477e-03	1.072906096958067866e-03
nan	4.713125000000000000e+02	4.713125000000000231e-01	nan	3.847382672418575567e-03	5.369715236995697104e-03	1.080726310362543777e-03
nan	4.968125000000000000e+02	4.968124999999999902e-01	nan	3.903803820790585632e-03	5.473427971334316258e-03	1.074632040203234466e-03
nan	5.024375000000000000e+02	5.024374999999999813e-01	nan	4.443061590315267040e-03	5.471253581664243387e-03	1.059658547581729740e-03
nan	5.204375000000000000e+02	5.204375000000001084e-01	nan	4.275893009783260368e-03	5.111981193109710331e-03	1.067754714437650068e-03
nan	5.408125000000000000e+02	5.408124999999999183e-01	nan	4.880719079181972120e-03	5.315930954278099210e-03	1.058265811473561163e-03
nan	5.409375000000000000e+02	5.409374999999999600e-01	nan	5.053499105478920228e-03	5.255100725162617850e-03	1.090757478448364185e-03
nan	5.563125000000000000e+02	5.563124999999999876e-01	nan	5.923574130861197773e-03	4.415890243325266626e-03	1.066845253775540805e-03
nan	5.783750000000000000e+02	5.783749999999999725e-01	nan	6.028572680378374571e-03	5.001730106811290086e-03	1.061019886679722118e-03
nan	5.841250000000000000e+02	5.841250000000000053e-01	nan	6.775695092798628139e-03	4.771429692661144362e-03	1.059145003646446478e-03
nan	6.007500000000000000e+02	6.007500000000000062e-01	nan	6.693679623637649456e-03	4.576725072236360360e-03	1.083622752326224336e-03
