# SourcePhotonFlux	NumberRaysSurvived	PercentageRaysSurvived	PhotonFlux	Bandwidth	HorizontalFocusFWHM	VerticalFocusFWHM
nan	1.230750000000000000e+03	1.230749999999999789e+00	nan	3.069222678785621383e-03	6.562665302670310508e-02	4.211871764938411936e-03
nan	1.526250000000000000e+03	1.526249999999999885e+00	nan	5.376454029672572688e-03	4.915069198475975620e-02	4.213504410178510809e-03
nan	1.800500000000000000e+03	1.800499999999999989e+00	nan	6.936672536077992390e-03	4.336257398379182726e-02	4.200589415726289563e-03
nan	2.031500000000000000e+03	2.031499999999999861e+00	nan	8.727953939057897514e-03	3.761546780541428353e-02	4.284198226173849960e-03
nan	2.256500000000000000e+03	2.256499999999999950e+00	nan	1.090499821451373919e-02	3.537286626534199424e-02	4.224515833192441124e-03
nan	2.434750000000000000e+03	2.434750000000000192e+00	nan	1.260695298658731645e-02	3.621464150821748079e-02	4.304621560544618329e-03
nan	2.645250000000000000e+03	2.645249999999999879e+00	nan	1.565361512210472483e-02	3.316196799565269970e-02	4.280702298773620372e-03
nan	2.822750000000000000e+03	2.822749999999999648e+00	nan	1.732134026811138483e-02	2.906629374357427159e-02	4.259911483457011309e-03
nan	2.978500000000000000e+03	2.978499999999999925e+00	nan	1.927577878478814455e-02	2.872823507476832822e-02	4.301933763631857373e-03
nan	3.117750000000000000e+03	3.117749999999999577e+00	nan	2.211395122498061028e-02	2.789796663563936380e-02	4.257780253070032016e-03
nan	3.247500000000000000e+03	3.247500000000000497e+00	nan	2.490126218378918566e-02	2.736790116597448072e-02	4.263767503880222173e-03
nan	3.333500000000000000e+03	3.333499999999999908e+00	nan	2.665622995326089040e-02	2.616159939404707688e-02	4.252671511486821182e-03
nan	3.477750000000000000e+03	3.477750000000000341e+00	nan	2.776291053316981561e-02	2.545543645616954107e-02	4.326351364722357332e-03
nan	3.603500000000000000e+03	3.603499999999999481e+00	nan	3.278824671670577118e-02	2.577050510304473158e-02	4.337446730954121893e-03
nan	3.739750000000000000e+03	3.739749999999999908e+00	nan	3.335607883363422843e-02	2.355032917512710905e-02	4.264211342300432313e-03
nan	3.839250000000000000e+03	3.839250000000000718e+00	nan	3.610534910276896881e-02	2.420006142672762040e-02	4.205618484378282652e-03
nan	3.953750000000000000e+03	3.953749999999999876e+00	nan	4.001312172619009289e-02	2.490887958864990842e-02	4.327192674654098750e-03
nan	3.982000000000000000e+03	3.982000000000000206e+00	nan	4.597315987112438052e-02	2.217220901811566003e-02	4.319496739482439618e-03
nan	4.160500000000000000e+03	4.160499999999999865e+00	nan	4.448369504822835552e-02	2.144987296051245954e-02	4.290137446898573126e-03
nan	4.261250000000000000e+03	4.261250000000000426e+00	nan	4.849236416413305051e-02	2.279676994963741876e-02	4.295407833756989882e-03
nan	4.350250000000000000e+03	4.350249999999999950e+00	nan	5.244376671606687523e-02	2.312693146002755412e-02	4.356028372837982346e-03
nan	4.470250000000000000e+03	4.470250000000000057e+00	nan	5.500744534219847992e-02	2.147906827099225341e-02	4.320890444455478471e-03
nan	4.535500000000000000e+03	4.535499999999999865e+00	nan	5.711331675621522663e-02	2.199737345326953364e-02	4.329734356360911279e-03
nan	4.636250000000000000e+03	4.636250000000000426e+00	nan	5.854288911172034204e-02	2.114124540294659571e-02	4.219756252648485320e-03
nan	4.713750000000000000e+03	4.713749999999999218e+00	nan	6.264947280982369193e-02	2.174064195743312389e-02	4.308405139845800265e-03
nan	4.833000000000000000e+03	4.833000000000000185e+00	nan	6.687256739058966559e-02	2.135634160825437833e-02	4.270053605438499031e-03
nan	4.930250000000000000e+03	4.930250000000000021e+00	nan	6.494446928491015569e-02	2.159478297045647893e-02	4.315050361247492819e-03
nan	5.002250000000000000e+03	5.002250000000000085e+00	nan	7.440373793650678635e-02	2.110546824848676464e-02	4.368968248615347043e-03
nan	5.071250000000000000e+03	5.071249999999999147e+00	nan	7.591029503583968108e-02	1.959139656640770596e-02	4.340998277097774839e-03
nan	5.172750000000000000e+03	5.172749999999999737e+00	nan	7.976899845806428857e-02	1.963801553064945665e-02	4.295569347913656168e-03
nan	5.236500000000000000e+03	5.236499999999999488e+00	nan	7.276633839376245305e-02	2.038930917519662239e-02	4.364570565903913915e-03
nan	5.377000000000000000e+03	5.376999999999999780e+00	nan	8.474789508278490757e-02	1.918601192030998728e-02	4.268459845802127610e-03
