# SourcePhotonFlux	NumberRaysSurvived	PercentageRaysSurvived	PhotonFlux	Bandwidth	HorizontalFocusFWHM	VerticalFocusFWHM
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	9.866687601661539020e-02	1.100459582351110271e-01	1.042591876986531385e-01
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.497862319487950344e-01	9.300686715795396242e-02	8.407730088957932058e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.997369520975382784e-01	8.299138479001760826e-02	7.519662733780606290e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	2.491505473431203654e-01	7.791358888801508398e-02	6.555807630001056485e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	2.995451744350816625e-01	6.960166555683949818e-02	6.439118914947447592e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	3.499349554098216686e-01	6.752731056240088292e-02	5.517560782363977595e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	3.677846477883440768e-01	6.286422738423644296e-02	5.330658196837882723e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	4.493247711072427819e-01	6.023426352205223100e-02	5.006538379421593410e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	4.992935829306333062e-01	6.011138540300354355e-02	4.398297827743082727e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	5.054238022573083189e-01	6.411694856195973569e-02	4.426458182974112726e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	5.982474415492049502e-01	5.700013715640628309e-02	4.138855003020470991e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	6.483278736390047925e-01	5.592143884252501890e-02	4.124001262676439683e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	6.989363857221064791e-01	5.713530568156757750e-02	3.812939289675908172e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	7.489473766046614855e-01	5.208773792588873575e-02	3.728659377400594943e-02
