# SourcePhotonFlux	NumberRaysSurvived	PercentageRaysSurvived	PhotonFlux	Bandwidth	HorizontalFocusFWHM	VerticalFocusFWHM
nan	1.456320000000000164e+03	1.456320000000000059e+00	nan	1.322543178254704643e-03	4.765002659749632830e-02	4.781877279572065501e-03
nan	1.780599999999999909e+03	1.780600000000000183e+00	nan	2.418433130245602712e-03	4.514571997284004545e-02	4.783190730667682272e-03
nan	2.055480000000000018e+03	2.055480000000000196e+00	nan	3.686098736585563442e-03	4.326441267189529150e-02	4.825743800167103977e-03
nan	2.312400000000000091e+03	2.312399999999999789e+00	nan	5.219454422466469901e-03	4.112039227456638912e-02	4.782405228142185688e-03
nan	2.539759999999999764e+03	2.539760000000000240e+00	nan	7.025716461562296622e-03	4.157835401503798961e-02	4.740405514009286142e-03
nan	2.724519999999999982e+03	2.724520000000000053e+00	nan	8.847893098591156844e-03	3.843399597617711688e-02	4.760820372849688432e-03
nan	2.921480000000000018e+03	2.921480000000000299e+00	nan	1.069596264024994491e-02	3.911062379534465533e-02	4.785388079727651359e-03
nan	3.097920000000000073e+03	3.097920000000000229e+00	nan	1.306931764693445089e-02	3.696185242574261814e-02	4.783886080169230844e-03
nan	3.288840000000000146e+03	3.288840000000000430e+00	nan	1.544812864554387377e-02	3.692584691710837363e-02	4.763153258408710233e-03
nan	3.444640000000000327e+03	3.444639999999999702e+00	nan	1.744523371107788851e-02	3.832637752090860273e-02	4.724667853581034950e-03
nan	3.584559999999999945e+03	3.584560000000000635e+00	nan	1.982202714788399919e-02	3.800288505802226768e-02	4.783010533177499413e-03
nan	3.757880000000000109e+03	3.757879999999999221e+00	nan	2.265254814264608396e-02	3.726612298753880642e-02	4.895198382196678730e-03
nan	3.872199999999999818e+03	3.872199999999999420e+00	nan	2.497286731790609310e-02	3.708004094589664734e-02	4.838975993957403063e-03
nan	3.998080000000000382e+03	3.998080000000000300e+00	nan	2.761102663086603681e-02	3.609408775694257498e-02	4.864833323970012106e-03
nan	4.133680000000000291e+03	4.133680000000000021e+00	nan	3.050904335825634778e-02	3.565378755597919253e-02	4.928935084640853961e-03
nan	4.263119999999999891e+03	4.263119999999998910e+00	nan	3.374659222074115339e-02	3.624896945063206533e-02	4.895255211809655151e-03
nan	4.381440000000000509e+03	4.381439999999999557e+00	nan	3.664109501023176535e-02	3.705270536950924093e-02	4.894352988673160952e-03
nan	4.494600000000000364e+03	4.494600000000000151e+00	nan	3.979557877367824459e-02	3.761158807852136438e-02	4.888339627422019079e-03
nan	4.609359999999999673e+03	4.609359999999999680e+00	nan	4.252312545631866531e-02	3.595393615000794935e-02	4.855755232816817701e-03
nan	4.734239999999999782e+03	4.734240000000000670e+00	nan	4.664965011379536286e-02	3.589946966473488849e-02	4.932495089986401425e-03
nan	4.852440000000000509e+03	4.852439999999999642e+00	nan	4.970918269837056730e-02	3.609867874204637783e-02	4.954421262372827109e-03
nan	4.964640000000000327e+03	4.964640000000000164e+00	nan	5.405480802318379796e-02	3.568571248266572127e-02	4.959167261139480268e-03
nan	5.088359999999999673e+03	5.088359999999999772e+00	nan	5.662195519122178305e-02	3.576958472401166322e-02	4.962230809959114301e-03
nan	5.161760000000000218e+03	5.161760000000000126e+00	nan	6.081179467265428185e-02	3.630110117550389148e-02	4.933659801721764458e-03
nan	5.265359999999999673e+03	5.265360000000000262e+00	nan	6.477844825445572274e-02	3.622573266040897411e-02	4.934852113140174301e-03
nan	5.361039999999999964e+03	5.361040000000000916e+00	nan	6.771043342868324211e-02	3.648210351662764528e-02	4.950216719314672401e-03
nan	5.454079999999999927e+03	5.454080000000000261e+00	nan	7.138810166226902676e-02	3.724853600106259321e-02	4.932067061080535643e-03
nan	5.567760000000000218e+03	5.567759999999999820e+00	nan	7.573715246030587878e-02	3.824316959895642659e-02	4.963058159414866083e-03
nan	5.645480000000000473e+03	5.645480000000000054e+00	nan	8.012382875004732397e-02	3.544579873799873215e-02	4.955439438316578196e-03
nan	5.760359999999999673e+03	5.760359999999999481e+00	nan	8.324091321262130916e-02	3.532749857914820046e-02	4.969424854075863915e-03
nan	5.869559999999999491e+03	5.869559999999999889e+00	nan	8.629260632877049086e-02	3.641240300120522633e-02	4.957895935547974517e-03
nan	5.914440000000000509e+03	5.914439999999999920e+00	nan	9.080857662801464225e-02	3.514943451956113740e-02	4.959872489553978671e-03
nan	6.016039999999999964e+03	6.016040000000000276e+00	nan	9.521175021382077830e-02	3.451810806376283403e-02	4.964293168123420398e-03
nan	6.110079999999999927e+03	6.110079999999999067e+00	nan	1.011790721232137119e-01	3.465278274969757488e-02	4.960175593213040149e-03
nan	6.203920000000000073e+03	6.203920000000000989e+00	nan	1.044418056469839928e-01	3.496181348584036924e-02	4.972017012357531247e-03
nan	6.286920000000000073e+03	6.286920000000000286e+00	nan	1.090519543468963237e-01	3.568476216692513525e-02	4.966112085091321966e-03
nan	6.386399999999999636e+03	6.386400000000000077e+00	nan	1.132609172969569061e-01	3.484095629330951488e-02	4.973612549503532605e-03
nan	6.461079999999999927e+03	6.461079999999999934e+00	nan	1.177593983984570603e-01	3.518574405580245090e-02	4.963244401769075810e-03
nan	6.540960000000000036e+03	6.540960000000000107e+00	nan	1.224959487244359491e-01	3.470158209522121451e-02	4.963491893932445859e-03
nan	7.138799999999999955e+02	7.138800000000000701e-01	nan	8.220758677811090343e-04	4.829393783721754041e-02	2.348233191409678823e-03
nan	8.973600000000000136e+02	8.973600000000001575e-01	nan	1.388145229996098472e-03	4.514797688619296562e-02	2.370289076072810627e-03
nan	1.022240000000000009e+03	1.022240000000000038e+00	nan	2.050412262932468054e-03	4.160826334411514560e-02	2.417168211714683466e-03
nan	1.147559999999999945e+03	1.147559999999999913e+00	nan	2.839318747661536378e-03	3.962384533600630393e-02	2.402134953463499339e-03
nan	1.256039999999999964e+03	1.256039999999999823e+00	nan	3.808206530245570286e-03	4.081881770660418518e-02	2.413656240286077195e-03
nan	1.363440000000000055e+03	1.363439999999999985e+00	nan	4.457273211814936562e-03	3.845230003113712935e-02	2.405292477634975688e-03
nan	1.458320000000000164e+03	1.458320000000000061e+00	nan	5.373321756394489057e-03	3.920058608520603227e-02	2.384240467995212172e-03
nan	1.544000000000000000e+03	1.544000000000000039e+00	nan	6.510612891058827241e-03	3.777241209174416608e-02	2.408920165383101036e-03
nan	1.649000000000000000e+03	1.649000000000000243e+00	nan	7.654811979541591149e-03	3.799759366432765850e-02	2.367109497190881401e-03
nan	1.702840000000000146e+03	1.702840000000000131e+00	nan	8.751233195298482870e-03	3.611256546148514102e-02	2.379076630299310942e-03
nan	1.783679999999999836e+03	1.783679999999999932e+00	nan	1.023075440424236170e-02	3.695667608574191437e-02	2.370973696285982174e-03
nan	1.850759999999999764e+03	1.850760000000000405e+00	nan	1.121507190452575645e-02	3.661770106319970491e-02	2.411566287412014297e-03
nan	1.938079999999999927e+03	1.938080000000000025e+00	nan	1.232964549687039744e-02	3.701185692749190542e-02	2.381239162154992397e-03
nan	1.996040000000000191e+03	1.996040000000000036e+00	nan	1.365807281242268842e-02	3.594246868749280399e-02	2.394249647878955549e-03
nan	2.057279999999999745e+03	2.057279999999999998e+00	nan	1.467964968462638284e-02	3.473167809595405914e-02	2.380510635515289877e-03
nan	2.124840000000000146e+03	2.124839999999999840e+00	nan	1.684652543572156061e-02	3.678148793320665938e-02	2.401181659410265602e-03
nan	2.200720000000000255e+03	2.200719999999999565e+00	nan	1.815710521278560835e-02	3.652300487709682353e-02	2.405378720857535672e-03
nan	2.258559999999999945e+03	2.258560000000000123e+00	nan	1.935907770453923135e-02	3.673351988629453696e-02	2.431581070678625646e-03
nan	2.302880000000000109e+03	2.302880000000000038e+00	nan	2.069663333444623360e-02	3.632304433911719144e-02	2.423629870503970184e-03
nan	2.386519999999999982e+03	2.386519999999999975e+00	nan	2.296079145233306806e-02	3.635547049627548682e-02	2.441555844744237435e-03
nan	2.426679999999999836e+03	2.426679999999999726e+00	nan	2.502485629999682756e-02	3.435031684161606730e-02	2.446793368890903125e-03
nan	2.467240000000000236e+03	2.467239999999999878e+00	nan	2.581492632943082136e-02	3.580201717362505032e-02	2.453267813897024290e-03
nan	2.534759999999999764e+03	2.534759999999999458e+00	nan	2.758468471976812178e-02	3.584128195269560557e-02	2.435553389762953273e-03
nan	2.588440000000000055e+03	2.588439999999999852e+00	nan	3.001249621353053662e-02	3.608591653419433720e-02	2.453485587536511671e-03
nan	2.632840000000000146e+03	2.632839999999999847e+00	nan	3.118054565109559806e-02	3.583817447512226834e-02	2.428806201472437191e-03
nan	2.704359999999999673e+03	2.704359999999999875e+00	nan	3.251078971470633405e-02	3.716268134264467254e-02	2.475886861953454851e-03
nan	2.737920000000000073e+03	2.737920000000000353e+00	nan	3.562811796722599456e-02	3.572101429799499905e-02	2.477583482084731725e-03
nan	2.785440000000000055e+03	2.785439999999999916e+00	nan	3.632757975697131769e-02	3.611865828982946391e-02	2.442804512183280839e-03
nan	2.842480000000000018e+03	2.842480000000000562e+00	nan	3.991226018794805097e-02	3.801889320415578755e-02	2.466116775727286194e-03
nan	2.880519999999999982e+03	2.880520000000000191e+00	nan	4.084547609875698732e-02	3.510910589387093717e-02	2.475460165440731934e-03
nan	2.925039999999999964e+03	2.925040000000000084e+00	nan	4.217745709987866937e-02	3.419375684849595282e-02	2.478821570473571136e-03
nan	2.976440000000000055e+03	2.976440000000000197e+00	nan	4.467943088713582228e-02	3.493938757923366334e-02	2.476257094843279868e-03
nan	3.026920000000000073e+03	3.026920000000000055e+00	nan	4.740692291119558144e-02	3.748680338971113052e-02	2.480554146545759734e-03
nan	3.057159999999999854e+03	3.057160000000000100e+00	nan	5.033306098772299952e-02	3.421650542724002930e-02	2.453241035727599367e-03
nan	3.088240000000000236e+03	3.088239999999999874e+00	nan	5.019712044164407333e-02	3.548340886683355733e-02	2.474759726807751990e-03
nan	3.131199999999999818e+03	3.131200000000000205e+00	nan	5.357649418486289811e-02	3.603896426505757283e-02	2.474147773353216860e-03
nan	3.200960000000000036e+03	3.200960000000000694e+00	nan	5.594121053693015128e-02	3.499403158268826058e-02	2.478092066853954112e-03
nan	3.222079999999999927e+03	3.222080000000000499e+00	nan	5.834765558061917601e-02	3.432283165079848264e-02	2.458009253915934434e-03
nan	3.279359999999999673e+03	3.279360000000000497e+00	nan	5.989043939426665075e-02	3.440139584006016160e-02	2.483751220694450750e-03
nan	1.220000000000000000e+02	1.219999999999999973e-01	nan	6.955891243967471729e-04	4.782506217645433183e-02	4.205130086869636008e-04
nan	1.609200000000000159e+02	1.609200000000000075e-01	nan	1.065752492038427469e-03	3.513264401582501945e-02	4.322984735086908212e-04
nan	1.918400000000000034e+02	1.918399999999999550e-01	nan	1.385450246076516245e-03	3.971625390799579658e-02	4.386219274422538958e-04
nan	2.196400000000000148e+02	2.196400000000000019e-01	nan	1.888838126960763406e-03	3.790010216288107470e-02	4.663637051844531155e-04
nan	2.436800000000000068e+02	2.436799999999999800e-01	nan	2.460051027192094054e-03	3.939706017486867273e-02	4.668134361578969672e-04
nan	2.700000000000000000e+02	2.700000000000000178e-01	nan	2.649156770858098441e-03	3.706068148564162223e-02	4.634578520806702001e-04
nan	2.861200000000000045e+02	2.861199999999999855e-01	nan	3.187392145107424170e-03	3.984121527776100097e-02	4.717746396063626649e-04
nan	3.033600000000000136e+02	3.033599999999999630e-01	nan	3.579201822929008094e-03	3.967262900060180425e-02	4.723682799299522934e-04
nan	3.251200000000000045e+02	3.251199999999999646e-01	nan	4.554438675136225634e-03	3.614130884806558697e-02	4.615349747531504181e-04
nan	3.451200000000000045e+02	3.451199999999999823e-01	nan	5.131492300383797348e-03	3.491032201612127850e-02	4.686174186538538287e-04
nan	3.601599999999999682e+02	3.601600000000000357e-01	nan	5.362418356658053657e-03	3.828887610113594631e-02	4.661348175807584040e-04
nan	3.731599999999999682e+02	3.731600000000000472e-01	nan	6.006966031031879191e-03	3.625678075410384421e-02	4.708853285789233356e-04
nan	3.818799999999999955e+02	3.818800000000000527e-01	nan	7.311949630266098739e-03	3.666121292012827076e-02	4.778475845495272663e-04
nan	4.057599999999999909e+02	4.057600000000000096e-01	nan	7.598514373225953404e-03	3.745529467805742974e-02	4.767801900266084342e-04
nan	4.117600000000000477e+02	4.117600000000000149e-01	nan	8.072191568294329392e-03	3.315831483815306902e-02	4.737186329626491793e-04
nan	4.266000000000000227e+02	4.265999999999999792e-01	nan	8.446341964495332130e-03	3.783546680221375885e-02	4.838258669953335550e-04
nan	4.363199999999999932e+02	4.363200000000000967e-01	nan	9.568625419715318797e-03	3.798878572022923450e-02	4.788495758862292700e-04
nan	4.458000000000000114e+02	4.458000000000000296e-01	nan	1.034292279519377286e-02	3.600836279263928963e-02	4.745105371488959824e-04
nan	4.609199999999999591e+02	4.609199999999999409e-01	nan	1.147170592263137279e-02	3.699960684207821704e-02	4.777148356360128197e-04
nan	4.749199999999999591e+02	4.749200000000000088e-01	nan	1.108845459058102265e-02	3.233053241226936658e-02	4.782021206833298658e-04
nan	4.855199999999999818e+02	4.855200000000000626e-01	nan	1.209165803965333782e-02	3.608069416533988411e-02	4.835324261289791130e-04
nan	4.917199999999999704e+02	4.917199999999999349e-01	nan	1.290360167674407463e-02	3.731379417201515641e-02	4.733638829760214830e-04
nan	5.151600000000000819e+02	5.151600000000000623e-01	nan	1.411210392888278750e-02	3.573544156423885676e-02	4.758705678577012732e-04
nan	5.214399999999999409e+02	5.214399999999999036e-01	nan	1.469460022652128647e-02	3.397346419355211367e-02	4.770481997780193673e-04
nan	5.307200000000000273e+02	5.307199999999999696e-01	nan	1.545252600673848245e-02	3.373177231477100801e-02	4.740375446944641901e-04
