# SourcePhotonFlux	NumberRaysSurvived	PercentageRaysSurvived	PhotonFlux	Bandwidth	HorizontalFocusFWHM	VerticalFocusFWHM
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	9.346056839814574635e-02	1.889299357624204256e-01	1.058403333531851703e-01
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.497455977230401913e-01	1.804184544875253038e-01	8.744398735640053488e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.998171470708655362e-01	1.644662205609891681e-01	7.446090070408539763e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	2.337076666550753912e-01	1.660119298196534865e-01	6.654688967127109223e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	2.990447715840332532e-01	1.592717688432681578e-01	6.353655224219809106e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	3.496283056597917493e-01	1.557100114129586488e-01	6.121939705267777365e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	3.995675823228793666e-01	1.567844999889994595e-01	5.635170192005826278e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	4.493391002510292997e-01	1.536288156466626698e-01	5.205649630584448934e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	4.992560520685856429e-01	1.578629564243705929e-01	5.187721872338753315e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	5.494616455254799359e-01	1.579554221049477847e-01	4.908838243320943345e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	5.965727992394249668e-01	1.526531806425990845e-01	4.572200961457192209e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	6.492059288291784913e-01	1.560818263394015415e-01	4.751387505451366150e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	6.966111736293214562e-01	1.610981651937494763e-01	4.389944307778805010e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	7.492796459852797408e-01	1.594563121860343713e-01	4.588495250127309910e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	7.990066455625537412e-01	1.600148671986343363e-01	4.424992780904222350e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	8.475069145886436894e-01	1.494677182708304408e-01	4.189746132287530678e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	8.991639394745334357e-01	1.495367418295913409e-01	4.231073949517859256e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	9.483765596256035213e-01	1.511637113924595988e-01	3.931813128677940500e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	9.350655094281445923e-01	1.520890055366016236e-01	4.016815634395864976e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.047734713546697005e+00	1.503911991951286109e-01	3.932568450384368169e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.098273317478606348e+00	1.561510844627758687e-01	3.804150508582396922e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.149028547764010089e+00	1.571934779518335268e-01	3.775908879683352593e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.197534730507868517e+00	1.531175902814787826e-01	3.515846054764503598e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.247242396486717642e+00	1.594650838381743152e-01	3.535162128837752993e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.298721784184863282e+00	1.485918175566589838e-01	3.745671504770765187e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.348460253477605786e+00	1.530134827216815818e-01	3.396263872994965266e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.397164871607765146e+00	1.512143009208505584e-01	3.477321750090460462e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.354862710764448863e+00	1.529293264101541094e-01	3.455582901957510167e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.496015220265007883e+00	1.546552939075931110e-01	3.520095198131833331e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.548889873351436020e+00	1.478546277751525417e-01	3.380657889532996674e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.597580589560266162e+00	1.474071411163400958e-01	3.204233812462037312e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.648160864575765938e+00	1.416146412013883915e-01	3.339741651885207163e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.691593139552469482e+00	1.439047836301490801e-01	3.230885914468135944e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.748743729443776873e+00	1.592391246779176484e-01	3.043691343984357076e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.788675425278188458e+00	1.535383554288397012e-01	3.152830766157475872e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.846180091979385818e+00	1.519033012247606729e-01	3.217579722388726193e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.896940381396007069e+00	1.470466236630230128e-01	3.334168278572319233e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.948185354727820506e+00	1.510486959670156448e-01	3.161239293571577874e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.997399879898648534e+00	1.462760657937140218e-01	3.052133520515860551e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	9.932308251985659531e-02	1.751866247862503001e-01	1.073068408962123688e-01
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.498912197170966520e-01	1.779661307478042909e-01	8.863198354493992404e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.997047693823333359e-01	1.681211400109960119e-01	7.819868721036840609e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	2.497112523999817368e-01	1.573014516983874955e-01	6.817490716816107521e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	2.994543081725396516e-01	1.612532412849158603e-01	6.011248655081128517e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	3.273019131313335550e-01	1.563847221245233676e-01	5.864912961978041572e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	3.983398734998445656e-01	1.609662068582969618e-01	5.493282597347595025e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	4.490169492850896171e-01	1.566773799957253410e-01	5.225189472320407313e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	4.991253236463762955e-01	1.566591605763456574e-01	5.449775113908429669e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	5.487513376479682403e-01	1.577757936782308301e-01	4.895022329295379421e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	5.990727350278802765e-01	1.493516676482415373e-01	4.847627668535620105e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	6.076879228927044574e-01	1.532567484454480933e-01	4.525926759820854406e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	6.986200323688080971e-01	1.522876417250565995e-01	4.306348400859542208e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	7.492014459837491591e-01	1.517386474523595985e-01	4.400622266029145108e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	7.989635758337044757e-01	1.550614934501569342e-01	4.264965649939946035e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	8.489296055385239237e-01	1.476588623029227443e-01	4.128758466902839736e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	8.979494753170229604e-01	1.541295400678273086e-01	4.065155024918794963e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	8.879101973586976948e-01	1.544856612744567315e-01	3.994861872703494438e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	9.986412782645857078e-01	1.531304732526480583e-01	3.947649632696376143e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.047888058365788355e+00	1.511469430457211272e-01	3.749139988188214534e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.097258523972186595e+00	1.496473410792282244e-01	3.712058704887233329e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.149111873065703504e+00	1.481334529986422788e-01	3.823768156376568944e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.199102422252781297e+00	1.481335243699813953e-01	3.684199739779325106e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.248003128245363857e+00	1.507729568830782907e-01	3.625923215084918966e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.297500386446836185e+00	1.524175147482312032e-01	3.535485897695248014e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.346104380242331811e+00	1.562464663152779154e-01	3.527330561771455097e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.398278145308495368e+00	1.498874238220380406e-01	3.506622571216409801e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.440639463021625488e+00	1.533911763834903685e-01	3.622194810191150388e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.493430429237287083e+00	1.503504950054480038e-01	3.328958944796278629e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.546603618191602525e+00	1.522487994194829108e-01	3.431806366060295710e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.598156688847666373e+00	1.503770560593974404e-01	3.320692690224885668e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.645936977565952475e+00	1.521971230828529920e-01	3.253024755864790396e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.693206457735777715e+00	1.541162365677722634e-01	3.386590169173962772e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.748795850542592234e+00	1.459556634965953892e-01	3.240947347009094648e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.797697730965455820e+00	1.516389931255333612e-01	3.198497367534813840e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.843335328761168013e+00	1.515019312996314649e-01	3.033883369332741192e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.896873433922201091e+00	1.459427483613857102e-01	3.332049395899956690e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.946100416962553981e+00	1.497895506397460830e-01	3.116515010140906775e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.996309978952695019e+00	1.548461109535411162e-01	3.215676331244504693e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	9.958243508796157939e-02	1.772500549319233065e-01	1.095867805954356955e-01
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.497248383423709639e-01	1.720390234711724475e-01	8.630899981830630896e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.996435846726058172e-01	1.753644900863186862e-01	7.511187556293116852e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	2.497283663684925215e-01	1.693027431055752208e-01	6.883031776364292864e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	2.992513627807966148e-01	1.607824315683994143e-01	6.282350341676494476e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	3.496552125086281881e-01	1.584531516417251318e-01	6.020933757906628270e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	3.985576906583219170e-01	1.631146152830166840e-01	5.581496768260150315e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	4.487315345486194706e-01	1.615851898043479395e-01	5.178021233000836693e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	4.995502193235893396e-01	1.555803338175648365e-01	5.207075223580004408e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	5.493405810165995495e-01	1.604905703313310172e-01	4.890539853530700976e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	5.986041220719243716e-01	1.524402668905226188e-01	4.640189629333865001e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	6.494436586290930347e-01	1.572739473797046261e-01	4.481341595578286485e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	6.966671565449814585e-01	1.465149639563527728e-01	4.364473228038888430e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	7.488979645943800723e-01	1.597686011689936902e-01	4.318187053410358495e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	7.987759534253200400e-01	1.591225953859964903e-01	4.406763175790524845e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	8.494935969178868396e-01	1.541398130209418460e-01	4.090019699539333697e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	8.990384788923393433e-01	1.616966168171635743e-01	4.224342804761613973e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	9.477828299487101038e-01	1.502838475541477814e-01	4.159645294146867289e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	9.981114104105245355e-01	1.531147934424920698e-01	3.795762676490855442e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.046304223464403549e+00	1.533692881274327235e-01	3.668567416849153467e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.090494008764380851e+00	1.513879822162352284e-01	3.861135755478199011e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.148273506031546320e+00	1.494012425510138908e-01	3.725903560019665217e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.198662431898719571e+00	1.492003032689880326e-01	3.702721648330879051e-02
