# SourcePhotonFlux	NumberRaysSurvived	PercentageRaysSurvived	PhotonFlux	Bandwidth	HorizontalFocusFWHM	VerticalFocusFWHM
nan	9.487200000000000273e+02	9.487200000000000077e-01	nan	8.734961253941264788e-04	1.072978184022864434e-02	4.781581516042488281e-03
nan	1.180160000000000082e+03	1.180159999999999876e+00	nan	1.583233506660235547e-03	8.984931315179965280e-03	4.777826916617671296e-03
nan	1.347720000000000027e+03	1.347720000000000029e+00	nan	2.482406606045515357e-03	8.310801432956095927e-03	4.825361235627186399e-03
nan	1.524960000000000036e+03	1.524959999999999649e+00	nan	3.418113453703881723e-03	6.958873052887279594e-03	4.818442606455408499e-03
nan	1.662359999999999900e+03	1.662360000000000060e+00	nan	4.570693779032808553e-03	6.618960516738807247e-03	4.721677815379700036e-03
nan	1.798959999999999809e+03	1.798959999999999892e+00	nan	5.872034415058351338e-03	6.118385410422997293e-03	4.760526488045572872e-03
nan	1.931759999999999764e+03	1.931760000000000144e+00	nan	7.224985928999103080e-03	5.987573382445256394e-03	4.702425512273618151e-03
nan	2.041759999999999764e+03	2.041760000000000019e+00	nan	8.681646658285444712e-03	5.420125535511838462e-03	4.736075437672619681e-03
nan	2.136440000000000055e+03	2.136439999999999895e+00	nan	9.838315741314999224e-03	5.400694593882472867e-03	4.685328928466481538e-03
nan	2.267800000000000182e+03	2.267800000000000260e+00	nan	1.181423018871100884e-02	5.032720026736559223e-03	4.677313660371601803e-03
nan	2.346359999999999673e+03	2.346360000000000223e+00	nan	1.315229976187765569e-02	4.948760481621201218e-03	4.832150187061650358e-03
nan	2.465400000000000091e+03	2.465400000000000258e+00	nan	1.481600590657762909e-02	4.761212663797369411e-03	4.851533713022992966e-03
nan	2.556480000000000018e+03	2.556479999999999642e+00	nan	1.678312622485464076e-02	4.641853522641574588e-03	4.749954746004657162e-03
nan	2.644559999999999945e+03	2.644560000000000244e+00	nan	1.850784493354239862e-02	4.580013655494118152e-03	4.722500014431527289e-03
nan	2.709119999999999891e+03	2.709119999999999528e+00	nan	2.050100996485525878e-02	4.237760350095418939e-03	4.802854932993501531e-03
nan	2.793960000000000036e+03	2.793959999999999333e+00	nan	2.254578689384743526e-02	4.336609527257419966e-03	4.865436776129565891e-03
nan	2.888320000000000164e+03	2.888319999999999776e+00	nan	2.457198259141478089e-02	4.313051904403996176e-03	4.921237795234523378e-03
nan	2.941079999999999927e+03	2.941080000000000361e+00	nan	2.661499642917988101e-02	4.259403319392699935e-03	4.931278679810168104e-03
nan	3.037640000000000327e+03	3.037640000000000118e+00	nan	2.889235518203349742e-02	4.028285209324202441e-03	4.907989861003932835e-03
nan	3.127640000000000327e+03	3.127640000000000420e+00	nan	3.120874680491397130e-02	4.187635160303700317e-03	4.922983799470720227e-03
nan	3.182480000000000018e+03	3.182479999999999976e+00	nan	3.359211816577954007e-02	3.842732830316762573e-03	4.952887800911116509e-03
nan	3.285599999999999909e+03	3.285599999999999632e+00	nan	3.591612091700881193e-02	4.096376835523414875e-03	4.942843046771647035e-03
nan	3.325880000000000109e+03	3.325880000000000170e+00	nan	3.771168215490433573e-02	3.871619574797317137e-03	4.948864533114187211e-03
nan	3.400199999999999818e+03	3.400199999999999445e+00	nan	4.032701161738259932e-02	3.858516077373259912e-03	4.941928367173699377e-03
nan	3.469280000000000200e+03	3.469279999999999919e+00	nan	4.179812038790260004e-02	3.905337686767642365e-03	4.955980007916130879e-03
nan	3.520719999999999800e+03	3.520719999999999850e+00	nan	4.544734624340890372e-02	3.825427004509200039e-03	4.948637666939544044e-03
nan	3.607440000000000055e+03	3.607439999999999536e+00	nan	4.754086116834514708e-02	3.760695844392115787e-03	4.936731432355350065e-03
nan	3.660159999999999854e+03	3.660159999999999858e+00	nan	5.035166880277756885e-02	3.747163705895083241e-03	4.947562300045988022e-03
nan	3.724240000000000236e+03	3.724239999999999551e+00	nan	5.336250183771881067e-02	3.685601310102699316e-03	4.958461092116023088e-03
nan	3.779119999999999891e+03	3.779119999999999813e+00	nan	5.590637775255345027e-02	3.767294359988172109e-03	4.960886671485480355e-03
nan	3.856919999999999618e+03	3.856920000000000126e+00	nan	5.857836010565733303e-02	3.633640301366353360e-03	4.957854847526173628e-03
nan	3.914719999999999800e+03	3.914719999999999978e+00	nan	6.129661684213714989e-02	3.632365916691376699e-03	4.966879873651446758e-03
nan	3.968559999999999945e+03	3.968560000000000976e+00	nan	6.386143953044666477e-02	3.485371383543419375e-03	4.965476806568515020e-03
nan	4.008599999999999909e+03	4.008599999999999497e+00	nan	6.626944901007846001e-02	3.590804690261258265e-03	4.928015322977722691e-03
nan	4.099559999999999491e+03	4.099559999999999427e+00	nan	6.991921160406491809e-02	3.596995265508072526e-03	4.924671913519152074e-03
nan	4.127960000000000036e+03	4.127959999999999852e+00	nan	7.334745392491640037e-02	3.584043781800988395e-03	4.931077856250016059e-03
nan	4.172760000000000218e+03	4.172760000000000247e+00	nan	7.598936584868169752e-02	3.586319025126165176e-03	4.955093308099698356e-03
nan	4.226359999999999673e+03	4.226359999999999673e+00	nan	7.870378941648595306e-02	3.461190593969340566e-03	4.958306134288948015e-03
nan	4.324920000000000073e+03	4.324920000000000542e+00	nan	8.171781773201473864e-02	3.522827058175017397e-03	4.968478238513239671e-03
nan	4.693999999999999773e+02	4.693999999999999839e-01	nan	5.149793106164679210e-04	1.016463901387229009e-02	2.310999061284870620e-03
nan	5.805600000000000591e+02	5.805599999999999650e-01	nan	8.510749042022781050e-04	9.067187281866964654e-03	2.402945350180125429e-03
nan	6.763199999999999363e+02	6.763200000000000323e-01	nan	1.209084490120631173e-03	7.669732811708671050e-03	2.373385323332732107e-03
nan	7.634800000000000182e+02	7.634800000000001585e-01	nan	1.731648822433271787e-03	6.720667934347904215e-03	2.356212840473708315e-03
nan	8.300000000000000000e+02	8.300000000000000711e-01	nan	2.307576652212901293e-03	5.744346789517377691e-03	2.385325863940441528e-03
nan	9.033600000000000136e+02	9.033600000000001629e-01	nan	2.828930131468041648e-03	5.986638397589748306e-03	2.404483719927474200e-03
nan	9.590399999999999636e+02	9.590399999999998926e-01	nan	3.370714057909936310e-03	5.879799074307716020e-03	2.397408676780767890e-03
nan	1.023079999999999927e+03	1.023079999999999767e+00	nan	4.092221116318342164e-03	5.636711060593439966e-03	2.369790020312265849e-03
nan	1.064079999999999927e+03	1.064080000000000137e+00	nan	4.772887311166869144e-03	5.093238319240380590e-03	2.405657013842666010e-03
nan	1.126079999999999927e+03	1.126079999999999970e+00	nan	5.469367527366557694e-03	4.903517739053495951e-03	2.357977054034306793e-03
