# SourcePhotonFlux	NumberRaysSurvived	PercentageRaysSurvived	PhotonFlux	Bandwidth	HorizontalFocusFWHM	VerticalFocusFWHM
nan	1.200000000000000000e+03	1.199999999999999956e+00	nan	3.350814834458759606e-03	6.237995909832125957e-02	4.060434792618032758e-03
nan	1.568250000000000000e+03	1.568250000000000144e+00	nan	6.140431964681170030e-03	5.311367368673818729e-02	4.108533855100479290e-03
nan	1.806250000000000000e+03	1.806249999999999911e+00	nan	8.030315762553641434e-03	4.323789781638803092e-02	4.195802195356756158e-03
nan	2.080500000000000000e+03	2.080500000000000238e+00	nan	9.945300050972605277e-03	3.880172996356749671e-02	4.371866202750008916e-03
nan	2.254750000000000000e+03	2.254750000000000032e+00	nan	1.324332227378022253e-02	3.885791831602657120e-02	4.278479591052139486e-03
nan	2.457500000000000000e+03	2.457500000000000018e+00	nan	1.410291746356051590e-02	3.458155001937414375e-02	4.289676552050064595e-03
nan	2.607000000000000000e+03	2.606999999999999762e+00	nan	1.699679193806957755e-02	3.249103892069266780e-02	4.246639699382460768e-03
nan	2.748250000000000000e+03	2.748250000000000082e+00	nan	1.851719588893274704e-02	3.138959938970697916e-02	4.285392501509849121e-03
nan	2.926750000000000000e+03	2.926750000000000185e+00	nan	2.073319630730452445e-02	3.189097076032162970e-02	4.282747616333314189e-03
nan	3.051000000000000000e+03	3.051000000000000156e+00	nan	2.441875973761398200e-02	3.009227761940420909e-02	4.254338182697448185e-03
nan	3.226750000000000000e+03	3.226750000000000007e+00	nan	2.446125086308370555e-02	2.593603915786282105e-02	4.312328554502294596e-03
nan	3.350250000000000000e+03	3.350249999999999950e+00	nan	2.839437926689925007e-02	2.787891845703991539e-02	4.230319995387973181e-03
nan	3.439000000000000000e+03	3.438999999999999613e+00	nan	3.124942409141340249e-02	2.655170859609266160e-02	4.296246720778956578e-03
nan	3.550000000000000000e+03	3.549999999999999822e+00	nan	3.379643962063028084e-02	2.537065542557941089e-02	4.280234017426661625e-03
nan	3.680000000000000000e+03	3.679999999999999716e+00	nan	3.727975058046695267e-02	2.396872759331073605e-02	4.277957241793896304e-03
nan	3.800000000000000000e+03	3.800000000000000266e+00	nan	3.918244633527478982e-02	2.372893203022778674e-02	4.355489009255071250e-03
nan	3.910500000000000000e+03	3.910499999999999865e+00	nan	4.213925629238701731e-02	2.490068322046758154e-02	4.385038545614209152e-03
nan	4.089500000000000000e+03	4.089500000000000135e+00	nan	4.896778495711373580e-02	2.321017845371433838e-02	4.347801056473484839e-03
nan	4.169000000000000000e+03	4.168999999999999595e+00	nan	4.668600003563483369e-02	2.184438658414646767e-02	4.280996006785009640e-03
nan	4.270500000000000000e+03	4.270500000000000185e+00	nan	4.811956879564149858e-02	2.269266815388196884e-02	4.328164364415977225e-03
nan	4.376250000000000000e+03	4.376250000000000639e+00	nan	5.484574674875375422e-02	2.271843251660650431e-02	4.289535097607868538e-03
nan	4.432500000000000000e+03	4.432500000000000107e+00	nan	5.758121298958940315e-02	2.211874407886324154e-02	4.317140900770240208e-03
nan	4.522500000000000000e+03	4.522499999999999964e+00	nan	5.946499839456009795e-02	2.145564718916382826e-02	4.280422299100233169e-03
nan	4.637500000000000000e+03	4.637499999999999289e+00	nan	6.164536758075200851e-02	2.263680967362629790e-02	4.322793759421600379e-03
nan	4.817750000000000000e+03	4.817750000000000199e+00	nan	6.789652095909559648e-02	2.087426191699087719e-02	4.301574655943296924e-03
nan	4.847500000000000000e+03	4.847500000000000142e+00	nan	6.699432337359212397e-02	2.130975220210865745e-02	4.284202032894412863e-03
nan	4.967000000000000000e+03	4.967000000000000526e+00	nan	7.153907871401088414e-02	2.116483791037084006e-02	4.350704762462107716e-03
