# SourcePhotonFlux	NumberRaysSurvived	PercentageRaysSurvived	PhotonFlux	Bandwidth	HorizontalFocusFWHM	VerticalFocusFWHM
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	1.997479567500192593e-02	2.226267754113680011e-02	2.120886537071939304e-02
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	2.997342439021053948e-02	1.853529046037821759e-02	1.751340611441445927e-02
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	3.994458606818511448e-02	1.700246082728858535e-02	1.481039818402606935e-02
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	4.987967921726180892e-02	1.512305369251853646e-02	1.341460767852500902e-02
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	5.992569423580562660e-02	1.441248270021565359e-02	1.295908271528380985e-02
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	6.986451952348943228e-02	1.388351857817517188e-02	1.074149668505369054e-02
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	7.994159366713120274e-02	1.319998235252498389e-02	1.067791499134676005e-02
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	8.990137770431375075e-02	1.215687949018042294e-02	9.751050662881125680e-03
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	9.986580574400931443e-02	1.163239941918261557e-02	9.610366102941253139e-03
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	1.098282998658078186e-01	1.172546299592243900e-02	8.809836751155796994e-03
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	1.199490564048301122e-01	1.081194146058089486e-02	8.816341667307625932e-03
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	1.298948656480342634e-01	1.151041822796428950e-02	8.304254782303534949e-03
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	1.398526711962449487e-01	1.087452022868783119e-02	7.751543312289686793e-03
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	1.498915473726356029e-01	1.030300408889837059e-02	7.367303430663578109e-03
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	1.596073611833117023e-01	1.008325326806069899e-02	7.340953954382442755e-03
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	1.697298251044821737e-01	1.021734851404665703e-02	7.724427397484112320e-03
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	1.797321032630907200e-01	1.026677622413738229e-02	6.612696321371682243e-03
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	1.897921129092310366e-01	1.011602668877165968e-02	6.601116204540120706e-03
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	1.996191722733556273e-01	9.509501713333836509e-03	6.532854198713353329e-03
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	2.081676701572996446e-01	9.976504959686058674e-03	6.480779794535156298e-03
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	2.198073136491348056e-01	9.623023501516817305e-03	6.548459699471438633e-03
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	2.296733191150360509e-01	9.765041875414262260e-03	6.293733180704912111e-03
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	2.397524923647506578e-01	1.001745834551135902e-02	6.027325601048416810e-03
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	2.497286348196939565e-01	9.725927388045433122e-03	5.870606360836655262e-03
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	2.426286407727615002e-01	9.532462704470856876e-03	5.758162073505516607e-03
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	2.697952901009648685e-01	9.412646421292424764e-03	5.555284178912177351e-03
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	2.797989159001644799e-01	8.936355136120739673e-03	5.583211693119625313e-03
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	2.895153343789661493e-01	9.276235688256140310e-03	5.535912053864992799e-03
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	2.996120804459406206e-01	9.250888518739097330e-03	5.535153169441299655e-03
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	3.091512030050762583e-01	9.035002978481006600e-03	5.671577896809656613e-03
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	3.196548064866056027e-01	8.915369220717020426e-03	5.227990472854585416e-03
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	3.290478052150501709e-01	8.759895200037556146e-03	4.877560202956791532e-03
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	3.393614303574122859e-01	9.280895268853693592e-03	4.991197997480019757e-03
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	3.496186888586907959e-01	8.942752257164758231e-03	4.861018299377990216e-03
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	3.585700980990623177e-01	8.954455922261550169e-03	4.763209151189757781e-03
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	3.697847126135002105e-01	8.788063839879041786e-03	4.712164052150512664e-03
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	3.553002774729320801e-01	8.887996294431852601e-03	4.801271175987853815e-03
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	3.890065323033195521e-01	8.531428205662593481e-03	4.818296240019405083e-03
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	3.996692663455087002e-01	8.888317879956364465e-03	4.545536684209048987e-03
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	1.983707231515268246e-02	2.173164605105284974e-02	1.993720357426694359e-02
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	2.992497692524353006e-02	1.824857696178634053e-02	1.675278687853443138e-02
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	3.992107530507723462e-02	1.561555329807586337e-02	1.439333285374276225e-02
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	4.990722847540837032e-02	1.484630030105793530e-02	1.345568561722815248e-02
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	5.987515681677223200e-02	1.381087987645940839e-02	1.214959229367546314e-02
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	6.992171195611718293e-02	1.388683643159175328e-02	1.057925812784860954e-02
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	7.963634858494969548e-02	1.316952952801941391e-02	1.007941731749163738e-02
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	8.982936841004175721e-02	1.277044033622536968e-02	9.848045522713408731e-03
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	9.988306974277065542e-02	1.189835424613937091e-02	9.561130777582195830e-03
