# SourcePhotonFlux	NumberRaysSurvived	PercentageRaysSurvived	PhotonFlux	Bandwidth	HorizontalFocusFWHM	VerticalFocusFWHM
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	9.987397837500963660e-02	1.113133877056839971e-01	1.060443268535969652e-01
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.498671219510527008e-01	9.267645230189108796e-02	8.756703057207229635e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.997229303409255863e-01	8.501230413644292327e-02	7.405199092013034501e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	2.493983960863090377e-01	7.561526846259268575e-02	6.707303839262504508e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	2.996284711790281330e-01	7.206241350107826793e-02	6.479541357641904753e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	3.493225976174471614e-01	6.941759289087585938e-02	5.370748342526845270e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	3.997079683356560276e-01	6.599991176262491599e-02	5.338957495673379849e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	4.495068885215687260e-01	6.078439745090211815e-02	4.875525331440562493e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	4.993290287200465860e-01	5.816199709591307609e-02	4.805183051470626743e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	5.491414993290391067e-01	5.862731497961219673e-02	4.404918375577898670e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	5.997452820241505611e-01	5.405970730290447085e-02	4.408170833653812792e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	6.494743282401713724e-01	5.755209113982144575e-02	4.152127391151767821e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	6.992633559812247990e-01	5.437260114343915596e-02	3.875771656144843397e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	7.494577368631780701e-01	5.151502044449185469e-02	3.683651715331789228e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	7.980368059165584560e-01	5.041626634030349496e-02	3.670476977191221291e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	8.486491255224108965e-01	5.108674257023328863e-02	3.862213698742056334e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	8.986605163154536280e-01	5.133388112068690973e-02	3.306348160685840948e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	9.489605645461551831e-01	5.058013344385829668e-02	3.300558102270060440e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	9.980958613667780810e-01	4.754750856666918601e-02	3.266427099356676578e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.040838350786498223e+00	4.988252479843029163e-02	3.240389897267578062e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.099036568245673973e+00	4.811511750758408479e-02	3.274229849735719317e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.148366595575180282e+00	4.882520937707131303e-02	3.146866590352456056e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.198762461823753345e+00	5.008729172755679165e-02	3.013662800524208318e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.248643174098469810e+00	4.862963694022716388e-02	2.935303180418327718e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.213143203863807473e+00	4.766231352235428265e-02	2.879081036752758130e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.348976450504824287e+00	4.706323210646212035e-02	2.777642089456088675e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.398994579500822510e+00	4.468177568060369836e-02	2.791605846559812656e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.447576671894830636e+00	4.638117844128070155e-02	2.767956026932496399e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.498060402229703048e+00	4.625444259369548838e-02	2.767576584720649741e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.545756015025381291e+00	4.517501489240503126e-02	2.835788948404828133e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.598274032433028014e+00	4.457684610358510213e-02	2.613995236427292881e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.645239026075250965e+00	4.379947600018778420e-02	2.438780101478395593e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.696807151787061319e+00	4.640447634426846796e-02	2.495598998740010052e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.748093444293453924e+00	4.471376128582379289e-02	2.430509149688995021e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.792850490495311533e+00	4.477227961130775258e-02	2.381604575594878717e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.848923563067501163e+00	4.394031919939520719e-02	2.356082026075256158e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.776501387364660456e+00	4.443998147215925953e-02	2.400635587993927081e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.945032661516597816e+00	4.265714102831296567e-02	2.409148120009702715e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.998346331727543612e+00	4.444158939978182232e-02	2.272768342104524580e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	9.918536157576340884e-02	1.086582302552642487e-01	9.968601787133471448e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.496248846262176468e-01	9.124288480893170961e-02	8.376393439267215690e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.996053765253861800e-01	7.807776649037931338e-02	7.196666426871381472e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	2.495361423770418585e-01	7.423150150528967650e-02	6.727842808614076242e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	2.993757840838611739e-01	6.905439938229704366e-02	6.074796146837731226e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	3.496085597805859146e-01	6.943418215795876813e-02	5.289629063924304597e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	3.981817429247485052e-01	6.584764764009706783e-02	5.039708658745818692e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	4.491468420502087722e-01	6.385220168112684669e-02	4.924022761356704192e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	4.994153487138532910e-01	5.949177123069685630e-02	4.780565388791097742e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	5.491916822868005976e-01	5.544253716460634251e-02	4.531176258053438988e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	5.988493022647844999e-01	5.699273782839196084e-02	4.394667496195048956e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	6.458065856524399795e-01	5.396642458470022469e-02	4.108220387276034780e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	6.984909067182343279e-01	5.538860564016762078e-02	3.983181134117823319e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	7.486167340270185599e-01	5.393460699768953814e-02	3.958753452542637663e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	7.990560239175920065e-01	5.289795581177636485e-02	3.617226487484531683e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	8.462739767549691816e-01	5.289255602483050600e-02	3.633633647872212824e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	8.985434145380623017e-01	4.987366874936496192e-02	3.428471017965901979e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	9.491421159001675045e-01	4.883534843830213135e-02	3.344308682656423060e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	9.985145590144611782e-01	4.936224257326214671e-02	3.283438429674545578e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.048262258063186847e+00	4.902646886900037526e-02	3.292798837174659710e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.083364211214393524e+00	4.976399457545744448e-02	3.155548165564126678e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.149420991802344361e+00	4.890669187857206446e-02	3.034458824414173334e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.185855869107217631e+00	4.800455163487511723e-02	2.932027702456222601e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.248496390122500133e+00	4.892832198800071281e-02	3.010699122673871769e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.296164635714421864e+00	4.765404051399074747e-02	2.858316897333969958e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.347501505169748315e+00	4.761906948001125295e-02	2.951586905726855808e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.398519167932818164e+00	4.745344358492463444e-02	2.893659404885511391e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.446321184698990736e+00	4.608130547708812197e-02	2.773760211760368730e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.497067708190797930e+00	4.664942286164638213e-02	2.728585827954914736e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.548167232422838380e+00	4.608608012669156151e-02	2.599804826917657269e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.595816739350857549e+00	4.504841176722413493e-02	2.620256025774725384e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.645528563362313346e+00	4.403066157623967275e-02	2.583192595857194268e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.696823059187090532e+00	4.633278886200840885e-02	2.540264012941549285e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.633952255389270691e+00	4.304280699006971661e-02	2.413611354825852956e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.796501946818216400e+00	4.254559077838306752e-02	2.360292579200433047e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.848701726635681553e+00	4.537550455541009692e-02	2.393654415697789306e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.897564280110236812e+00	4.645146150247980721e-02	2.476034053077735483e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.925734345047294571e+00	4.349578566114312844e-02	2.369640684574892894e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.995590843570334894e+00	4.381879914628893091e-02	2.401544957866662278e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	9.984681348309151772e-02	1.115532714261837643e-01	1.026590597074455574e-01
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.487792034076903802e-01	9.627976881734257031e-02	8.515546819708638693e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.997110804460646705e-01	7.850143818696207754e-02	7.095302895841827662e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	2.489456820078714827e-01	7.289780081027721903e-02	6.586289870388392642e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	2.994850070258394115e-01	7.136115198595109621e-02	5.950107968150895182e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	3.481252222772013849e-01	6.875628848938265814e-02	5.453760091279824529e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	3.990269762190791769e-01	6.245597914881706458e-02	5.013944401612121377e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	4.489766363268586358e-01	6.305324798675938924e-02	5.026234876406134033e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	4.992476528042288919e-01	5.990321429244431506e-02	4.735906486381734337e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	5.483433571494060743e-01	5.914935285141739024e-02	4.508821272875730701e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	5.988954880864412189e-01	5.697586390700441761e-02	4.233310019385018441e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	6.485438476746139269e-01	5.894779432275389780e-02	3.862004737386126596e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	6.984334363255584321e-01	5.349239790477842288e-02	3.845012565208016236e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	7.468300323125049989e-01	5.339779723371528009e-02	3.985509539904191073e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	7.991545524099820108e-01	5.399535728285794617e-02	3.620540139209681152e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	8.480931856617417441e-01	5.196809297083243573e-02	3.569416710532042486e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	8.968690667475811562e-01	4.987659738411988342e-02	3.496503648651229368e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	9.483446551368842625e-01	5.106437766708347981e-02	3.270100665291477554e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	9.990706461744821576e-01	4.841894818828521713e-02	3.350437863771749125e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.048509958726754121e+00	4.929664490859746867e-02	3.147570480591614650e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.098168608255991829e+00	4.854230916348654945e-02	3.207779074222083526e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.147365333470770521e+00	4.912590703930631159e-02	3.038254993238594798e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.198796751716736164e+00	4.690960423286792691e-02	2.974547365503450377e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.241351087134398679e+00	4.766783648353814518e-02	2.907041235441929980e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.298161933962183046e+00	4.931850480364256134e-02	2.926568705874788012e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.346242510257025016e+00	4.570766744039508195e-02	2.728193946646598894e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.397959270413866806e+00	4.622678185066665668e-02	2.698979471591049853e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.447628017205624840e+00	4.598048340975532944e-02	2.786368272196882920e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.498773720448707492e+00	4.804928541289048283e-02	2.721322682565560647e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.546321780928155976e+00	4.808354889069062221e-02	2.659348640825412446e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.597831483648087580e+00	4.516579845839741730e-02	2.633639366422539999e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.648603738926794904e+00	4.691709705313139994e-02	2.567141947021630080e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.696434782470487290e+00	4.716062649554665642e-02	2.572874582368139124e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.747168573742283071e+00	4.706885700945366569e-02	2.450017651811049399e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.681147696257419444e+00	4.634900959222921363e-02	2.468244486621212763e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.846268776287979474e+00	4.453725875156792219e-02	2.391384999995609453e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.897334052438463869e+00	4.320506033069716756e-02	2.378675513237849676e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.816006072683371997e+00	4.628443067753289231e-02	2.450227016623657966e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.996561543871393951e+00	4.332953424004992726e-02	2.300438131494554964e-02
