# SourcePhotonFlux	NumberRaysSurvived	PercentageRaysSurvived	PhotonFlux	Bandwidth	HorizontalFocusFWHM	VerticalFocusFWHM
nan	1.207000000000000000e+03	1.206999999999999851e+00	nan	3.699857138954598668e-03	5.924758933394210642e-02	4.022463226683912520e-03
nan	1.525500000000000000e+03	1.525500000000000300e+00	nan	5.594041468313548648e-03	5.166512617929686774e-02	4.129959163197948965e-03
nan	1.811750000000000000e+03	1.811749999999999972e+00	nan	7.767962365278435755e-03	4.643739402910201930e-02	4.249500915835892172e-03
nan	2.036750000000000000e+03	2.036750000000000060e+00	nan	9.453969751625379558e-03	4.066336666149717588e-02	4.256544063262449225e-03
nan	2.215750000000000000e+03	2.215749999999999886e+00	nan	1.233339427334101401e-02	3.720137049688115871e-02	4.205585251546879212e-03
nan	2.454500000000000000e+03	2.454499999999999904e+00	nan	1.376652132654498928e-02	3.639901450015926160e-02	4.283106259148298373e-03
nan	2.648750000000000000e+03	2.648749999999999716e+00	nan	1.706719743911833120e-02	3.386372216615467223e-02	4.260714405938097887e-03
nan	2.774500000000000000e+03	2.774500000000000188e+00	nan	2.022153998899511862e-02	3.267808421891549298e-02	4.235406948906043738e-03
nan	2.922250000000000000e+03	2.922250000000000014e+00	nan	2.057388157972184217e-02	3.221972142630628172e-02	4.263355244169346990e-03
nan	3.055000000000000000e+03	3.054999999999999716e+00	nan	2.398275287046658377e-02	2.854476324781741667e-02	4.306470855527037844e-03
nan	3.249750000000000000e+03	3.249749999999999694e+00	nan	2.647810738980638234e-02	2.688913446506665389e-02	4.241250713771420669e-03
nan	3.332750000000000000e+03	3.332749999999999879e+00	nan	3.023873681345889963e-02	2.768961152269618087e-02	4.254842902716723420e-03
nan	3.453000000000000000e+03	3.452999999999999847e+00	nan	3.133627474187505868e-02	2.565965397204459167e-02	4.316488682149379787e-03
nan	3.629500000000000000e+03	3.629500000000000171e+00	nan	3.379647390667628315e-02	2.417562367254028413e-02	4.251050419397220219e-03
nan	3.750750000000000000e+03	3.750750000000000028e+00	nan	3.413650054508821086e-02	2.572639050872905370e-02	4.325461972258446558e-03
nan	3.836000000000000000e+03	3.835999999999999410e+00	nan	3.951857378092427098e-02	2.538584868743160028e-02	4.323252351197599298e-03
nan	3.956250000000000000e+03	3.956249999999999822e+00	nan	4.342280536477005626e-02	2.426701546593983821e-02	4.302865030728658668e-03
nan	4.025250000000000000e+03	4.025249999999999773e+00	nan	4.461028194182858897e-02	2.255033007494865183e-02	4.252913181671511694e-03
nan	4.207500000000000000e+03	4.207499999999999574e+00	nan	4.673693853615645821e-02	2.275222416767308520e-02	4.341940664567348063e-03
nan	4.264000000000000000e+03	4.264000000000000234e+00	nan	4.960272046560021408e-02	2.290686886599868979e-02	4.281674590366110235e-03
nan	4.313500000000000000e+03	4.313500000000000334e+00	nan	5.578985277139736354e-02	2.186478875840084518e-02	4.333212267744077258e-03
nan	4.388250000000000000e+03	4.388249999999999318e+00	nan	5.633874623572410201e-02	2.126122055006885933e-02	4.333502432944513934e-03
nan	4.591000000000000000e+03	4.591000000000000192e+00	nan	6.079940851088849740e-02	2.294377265201086313e-02	4.278298639705916534e-03
nan	4.618500000000000000e+03	4.618500000000000050e+00	nan	6.173856757561679842e-02	2.086814828094450680e-02	4.328878357648491097e-03
nan	4.718000000000000000e+03	4.717999999999999972e+00	nan	6.495338900742808619e-02	2.258956920117864350e-02	4.370329092734142468e-03
nan	4.777500000000000000e+03	4.777499999999999858e+00	nan	6.860174028639676180e-02	2.108394287210315146e-02	4.357965290017450262e-03
nan	4.984500000000000000e+03	4.984500000000000597e+00	nan	6.907230586483592560e-02	2.138037575668661622e-02	4.306580498478762564e-03
nan	4.970250000000000000e+03	4.970250000000000057e+00	nan	7.758310596432238526e-02	2.094578835049880697e-02	4.218348314347929867e-03
nan	5.099250000000000000e+03	5.099249999999999616e+00	nan	7.719575494871833143e-02	2.038309727868256246e-02	4.339463776914716589e-03
nan	5.117500000000000000e+03	5.117499999999999716e+00	nan	7.979647889504803970e-02	2.080976359724548419e-02	4.412929894054203397e-03
nan	5.185000000000000000e+03	5.185000000000000497e+00	nan	7.941461563433449555e-02	1.865858530336371446e-02	4.301668542968222278e-03
nan	5.313000000000000000e+03	5.312999999999998835e+00	nan	8.792827850959383795e-02	1.999298412587362586e-02	4.373458075923652988e-03
nan	5.364000000000000000e+03	5.363999999999999879e+00	nan	9.092733447550926940e-02	1.875464597088708635e-02	4.300944359263462850e-03
nan	5.470750000000000000e+03	5.470750000000000668e+00	nan	9.711683011056493342e-02	1.983320311228534832e-02	4.261219888773927836e-03
nan	5.588500000000000000e+03	5.588499999999999801e+00	nan	9.356229216666633874e-02	1.911990428571910816e-02	4.359489633139695432e-03
nan	5.649250000000000000e+03	5.649250000000000327e+00	nan	1.023258205356682993e-01	1.962078833030814554e-02	4.356919419856573016e-03
nan	5.723000000000000000e+03	5.723000000000000753e+00	nan	1.058885814418317750e-01	1.810776672493903672e-02	4.377372934721714126e-03
nan	5.802750000000000000e+03	5.802749999999999631e+00	nan	1.061322675464566601e-01	1.877562533288418961e-02	4.356888588324711598e-03
nan	5.801500000000000000e+03	5.801500000000000767e+00	nan	1.163739726234211957e-01	1.977672608433040519e-02	4.430166464441952917e-03
nan	9.792500000000000000e+02	9.792499999999999538e-01	nan	3.936039495339826999e-03	5.596645130528068307e-02	3.435352839067313049e-03
nan	1.294000000000000000e+03	1.294000000000000039e+00	nan	5.227377381764597430e-03	5.378905865769978423e-02	3.475070955556754191e-03
nan	1.531500000000000000e+03	1.531499999999999861e+00	nan	7.359808686729252258e-03	4.457625623387892477e-02	3.501287644619938220e-03
nan	1.697250000000000000e+03	1.697250000000000147e+00	nan	1.020336756194950567e-02	4.009082570765157283e-02	3.542464842204428102e-03
nan	1.853500000000000000e+03	1.853499999999999925e+00	nan	1.154994010188659104e-02	4.058627568587873380e-02	3.477732371639605247e-03
nan	2.029500000000000000e+03	2.029500000000000082e+00	nan	1.341116235451522698e-02	3.244038850667144147e-02	3.580620062511658680e-03
nan	2.144250000000000000e+03	2.144249999999999989e+00	nan	1.666290954473481634e-02	3.273866488718280010e-02	3.578708390004370701e-03
