# SourcePhotonFlux	NumberRaysSurvived	PercentageRaysSurvived	PhotonFlux	Bandwidth	HorizontalFocusFWHM	VerticalFocusFWHM
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	9.989369554794365336e-02	1.107359919943305959e-01	1.022820001880568874e-01
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.497431732620810862e-01	9.338233017287018989e-02	8.802083399194160496e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.996038112446655022e-01	8.085191948543517249e-02	7.125979394167711312e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	2.496184763478595525e-01	7.457624071443420821e-02	6.534716299600824840e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	2.900209561971589522e-01	7.068601885826439335e-02	6.058568361569163091e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	3.494329426046703935e-01	6.870912048400361349e-02	5.675861064661243127e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	3.997018389771255786e-01	6.253366882246939873e-02	5.277675362594438230e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	4.489170521028711391e-01	6.164263134127486582e-02	4.930449309610243636e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	4.994974027946398332e-01	6.272788857070063506e-02	4.649074487011065765e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	5.482033562675837635e-01	5.690413396713720623e-02	4.427139950203737989e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	5.995406555105887714e-01	5.674343249618960666e-02	4.278086475692298440e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	6.068536905014974003e-01	5.668016187669935174e-02	4.069824641291323181e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	6.983684103295217938e-01	5.485110780762281202e-02	4.094048826494927490e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	7.473994628125411044e-01	5.442955935752882141e-02	3.838548570758926193e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	7.987186096812706193e-01	5.048006477015425097e-02	3.790049494109944128e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	8.454271918168047018e-01	5.250050678366004198e-02	3.624204841517924408e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	8.979829227519985357e-01	5.103452968327245459e-02	3.495622388038070738e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	9.486784310118195895e-01	5.135563976907742134e-02	3.412960542301382572e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	9.989437348721480481e-01	5.027158548058328208e-02	3.390905772479792940e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.048329433348544670e+00	4.923450403482326765e-02	3.182128984010626493e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.098205291170211151e+00	4.797776320972461928e-02	3.199508009012937831e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.148717213156123851e+00	4.851586563181245482e-02	3.169867393885143075e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.190983806883423313e+00	4.926866500551348171e-02	3.068872311659386759e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.248100182399343838e+00	4.755407902255676111e-02	3.104954442128381870e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.298070488002690537e+00	4.807888369611679202e-02	2.869120903715213777e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.346533982827509135e+00	4.672087114435755778e-02	2.927483379145569622e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.397090944018395842e+00	4.784419803675209193e-02	2.784695448920560673e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.448772541441076145e+00	4.827057690107748600e-02	2.768157198336207436e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.496903586838334466e+00	4.639926620453674322e-02	2.742779025983992786e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.546809711481682781e+00	4.569955823734413169e-02	2.704521097671281835e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.595018685616059972e+00	4.593033932894658583e-02	2.641031355237689199e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.647568841249949401e+00	4.437628565789677321e-02	2.624431516095250203e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.697336273487644487e+00	4.656913583572523663e-02	2.626552994641066438e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.745067324494880223e+00	4.515100150041005678e-02	2.605726487435834973e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.797873424991667024e+00	4.488021689524584329e-02	2.554616534931172106e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.847374312045644729e+00	4.464533433823489328e-02	2.445320277900742828e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.836001353090914945e+00	4.472512329526583813e-02	2.417997274380447731e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.947724384809794262e+00	4.317393331832074937e-02	2.445256608606197202e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.993620336796493531e+00	4.508832459058789710e-02	2.449238833015518479e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	9.973065128796890222e-02	1.099552670379912583e-01	1.030553944414811796e-01
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.498293530320097544e-01	9.717260687733755842e-02	8.695478970331665947e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.995802235937162439e-01	8.328774333152111353e-02	7.227902996549641357e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	2.493488722464519414e-01	7.713923391654933792e-02	6.557592485050664499e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	2.997085333298798449e-01	7.183493443205149487e-02	6.148741961078786622e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	3.495805995519674636e-01	6.730257929414830420e-02	5.632808563561882836e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	3.980052490112200303e-01	6.505461635316973912e-02	5.107055583362975909e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	4.493870037556803032e-01	6.222158262007114471e-02	4.914216025828112289e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	4.993083059579305205e-01	5.931027798836902010e-02	4.699020993262480184e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	5.473685226108842006e-01	5.863793328068390986e-02	4.499332527781560453e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	5.990467497406711805e-01	5.824633546408169993e-02	4.295465134433000542e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	6.492802004788700287e-01	5.572898714734099423e-02	4.117486384472415772e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	6.982599574212600135e-01	5.336943161313014578e-02	3.908526923215400323e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	7.488299650961494081e-01	5.416558888453307935e-02	3.865059661747767550e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	7.732905327326723421e-01	5.424276399890724798e-02	3.695657353668835993e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	8.486684425489556816e-01	5.268289848898203426e-02	3.557410290531098918e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	8.988768151880094370e-01	5.085940712030587868e-02	3.561604746462200544e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	9.462221923907122578e-01	4.895167979193169872e-02	3.459674855311232339e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	9.986580890578806713e-01	5.231256855161030284e-02	3.307192928633043844e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.047035975074959380e+00	4.950445358359174819e-02	3.312918170128066608e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.098376446719680599e+00	4.725516589781138949e-02	3.178298611614079061e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.143935598191842429e+00	4.720207511758082314e-02	3.134725016221730221e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.197848782135815693e+00	4.889417641023626609e-02	3.214941693131086187e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.247256176396376759e+00	4.854676981127474533e-02	3.063915652151089075e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.298707649420566712e+00	4.566899253875870285e-02	2.956770871157247266e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.348497352311528674e+00	4.613319781814571863e-02	2.889604742578749663e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.398445428377090183e+00	4.661857147464739531e-02	2.809566327874380917e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.448278602691425387e+00	4.683228971956944486e-02	2.833375470959235629e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.496529680399089512e+00	4.458006850097750995e-02	2.689198632443577305e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.541886530816441336e+00	4.708021506079735491e-02	2.671555056675356532e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.596231484732197670e+00	4.723391250382408257e-02	2.631177314865475875e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.648064282540121939e+00	4.588983561502445879e-02	2.548765598351620046e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.695397721095287080e+00	4.643177720395156444e-02	2.639685421478670316e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.747398405221019857e+00	4.497326016588644448e-02	2.578191826300629819e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.740706542460155770e+00	4.315662594103231858e-02	2.466268740325287465e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.846726822329583184e+00	4.458362065036449579e-02	2.500057268810443323e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.896248178153155051e+00	4.518040925630868732e-02	2.444316527719829490e-02
