# SourcePhotonFlux	NumberRaysSurvived	PercentageRaysSurvived	PhotonFlux	Bandwidth	HorizontalFocusFWHM	VerticalFocusFWHM
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	9.989398269405000072e-03	1.099158252519151502e-02	1.031154125455703910e-02
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	1.497283359772012476e-02	9.169876225218115406e-03	8.283527894402856195e-03
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	1.993381712514463028e-02	8.272785814100555579e-03	7.373425185598898521e-03
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	2.496687417410271143e-02	7.660764714642084687e-03	6.580446360485822828e-03
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	2.993279894412296388e-02	7.052072878949942718e-03	5.981547458594319890e-03
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	3.494414558325274756e-02	6.609285537002462796e-03	5.604322505986132456e-03
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	3.989368145759158296e-02	6.556899050894286762e-03	5.315134977250663209e-03
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	4.492339490325775869e-02	6.236679508538315805e-03	4.825084703504380935e-03
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	4.949461327899030288e-02	6.062449875502136203e-03	4.664260629877244914e-03
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	5.492670830897509321e-02	5.652875871010662814e-03	4.673212642008352236e-03
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	5.982417411528671847e-02	5.601168151320144901e-03	4.323292669768654881e-03
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	6.483550853440987749e-02	5.581237210397176421e-03	4.202564857743817592e-03
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	6.989014402085672040e-02	5.413471050631229672e-03	3.967173305135835923e-03
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	7.483821412128235928e-02	5.286981736564859077e-03	3.886574913220323859e-03
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	7.735797730510571291e-02	5.161830605220990575e-03	3.731357070679887974e-03
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	8.481183657855126401e-02	5.205028137032467403e-03	3.740988076764851199e-03
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	8.973675572961610503e-02	5.384188939190676440e-03	3.535793938848077154e-03
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	9.468952104129926828e-02	5.113260286906149560e-03	3.443226764008063163e-03
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	9.981965648658615298e-02	4.940971287717683610e-03	3.474199871958654016e-03
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	1.048804941456683154e-01	4.910935873399074371e-03	3.240456535575326341e-03
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	1.098050941282735921e-01	4.895500737554753061e-03	3.270707548486732029e-03
