# SourcePhotonFlux	NumberRaysSurvived	PercentageRaysSurvived	PhotonFlux	Bandwidth	HorizontalFocusFWHM	VerticalFocusFWHM
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	9.989398269405000419e-02	1.099158252519151502e-01	1.031154125455703979e-01
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.497283359772012545e-01	9.169876225218115406e-02	8.283527894402856195e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.993381712514462889e-01	8.272785814100555579e-02	7.373425185598898868e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	2.496687417410271281e-01	7.660764714642084861e-02	6.580446360485822654e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	2.993279894412296249e-01	7.052072878949942891e-02	5.981547458594319716e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	3.494414558325275033e-01	6.609285537002462796e-02	5.604322505986132630e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	3.989368145759158435e-01	6.556899050894286762e-02	5.315134977250662862e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	4.492339490325775730e-01	6.236679508538315458e-02	4.825084703504380762e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	4.949461327899030150e-01	6.062449875502136376e-02	4.664260629877244740e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	5.492670830897509182e-01	5.652875871010663161e-02	4.673212642008352236e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	5.982417411528672124e-01	5.601168151320144728e-02	4.323292669768654534e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	6.483550853440988027e-01	5.581237210397176074e-02	4.202564857743817245e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	6.989014402085672595e-01	5.413471050631230019e-02	3.967173305135836270e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	7.483821412128236483e-01	5.286981736564858730e-02	3.886574913220323946e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	7.735797730510571846e-01	5.161830605220990575e-02	3.731357070679888061e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	8.481183657855126956e-01	5.205028137032467056e-02	3.740988076764851372e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	8.973675572961610225e-01	5.384188939190676093e-02	3.535793938848077328e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	9.468952104129926273e-01	5.113260286906149560e-02	3.443226764008062990e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	9.981965648658615020e-01	4.940971287717683957e-02	3.474199871958653929e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.048804941456683126e+00	4.910935873399074197e-02	3.240456535575326341e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.098050941282735948e+00	4.895500737554753234e-02	3.270707548486732202e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.148711511584360689e+00	4.942975678933490130e-02	3.123812582869029547e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.196761918563424842e+00	4.814495527304148842e-02	3.034983247995442016e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.248535235356734940e+00	4.789471745203692510e-02	3.039472533777718560e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.257138701070871445e+00	4.639309732409217096e-02	2.894098373143688674e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.347349392377259480e+00	4.568733467018282202e-02	2.868350008329509371e-02
