# SourcePhotonFlux	NumberRaysSurvived	PercentageRaysSurvived	PhotonFlux	Bandwidth	HorizontalFocusFWHM	VerticalFocusFWHM
nan	3.248999999999999488e+01	3.249000000000000499e-02	nan	2.703143354486314516e-04	6.296446305669486931e-03	2.595064273821375521e-04
nan	4.061999999999999744e+01	4.062000000000000333e-02	nan	4.337239970305972509e-04	4.731200922985619867e-03	2.670900552742669809e-04
nan	4.948999999999999488e+01	4.949000000000000621e-02	nan	5.498128172027350611e-04	4.437013744775818343e-03	2.680594103038640890e-04
nan	5.658999999999999631e+01	5.658999999999999447e-02	nan	6.796277272462702881e-04	3.928672572184533501e-03	2.756197771161753430e-04
nan	6.171000000000000085e+01	6.171000000000000096e-02	nan	8.753924283774949452e-04	3.408774433037044423e-03	2.743764071697857927e-04
nan	6.728000000000000114e+01	6.727999999999999259e-02	nan	1.043113787970355658e-03	3.120786009928345865e-03	2.751229780036266374e-04
nan	7.165999999999999659e+01	7.165999999999998760e-02	nan	1.169927857745278743e-03	2.740818000721815736e-03	2.770790760069006512e-04
nan	7.600000000000000000e+01	7.599999999999999811e-02	nan	1.266740735704843324e-03	2.828457271718840937e-03	2.819418377240067710e-04
nan	8.079999999999999716e+01	8.080000000000001070e-02	nan	1.527412559320851047e-03	2.746021765936836924e-03	2.773538953742149147e-04
nan	8.459999999999999432e+01	8.460000000000000853e-02	nan	1.588130618251853022e-03	2.562381664003270630e-03	2.819478417197774311e-04
nan	9.034999999999999432e+01	9.034999999999999976e-02	nan	1.780981693041212583e-03	2.502409191063947359e-03	2.758572485415034707e-04
nan	9.320000000000000284e+01	9.320000000000000506e-02	nan	1.938509102906209747e-03	2.324700136196733435e-03	2.811023907490756537e-04
nan	9.504999999999999716e+01	9.505000000000000948e-02	nan	2.148926136114824061e-03	2.384207286304605190e-03	2.822800678783939738e-04
nan	1.013900000000000006e+02	1.013900000000000079e-01	nan	2.251866017437578228e-03	2.254236223084495928e-03	2.855900052789998476e-04
nan	1.046200000000000045e+02	1.046200000000000185e-01	nan	2.563623426284493932e-03	2.114941032658186441e-03	2.847487825803270167e-04
nan	1.065999999999999943e+02	1.066000000000000003e-01	nan	2.539248210209734628e-03	2.181982746766855663e-03	2.862942483814814865e-04
nan	1.102800000000000011e+02	1.102799999999999753e-01	nan	2.515600234700059515e-03	1.920033347641965371e-03	2.850292655688599374e-04
nan	1.150099999999999909e+02	1.150100000000000150e-01	nan	2.906509445613210223e-03	2.010590139375336392e-03	2.808995537934459242e-04
nan	1.133799999999999955e+02	1.133799999999999947e-01	nan	3.014193671729117289e-03	1.970281867829536907e-03	2.864284719175579043e-04
nan	1.159699999999999989e+02	1.159699999999999898e-01	nan	3.198459240054489592e-03	1.979489855695905701e-03	2.859878174659575807e-04
nan	1.193599999999999852e+02	1.193599999999999939e-01	nan	3.157583091440300908e-03	1.933917087563339450e-03	2.826723952742360110e-04
nan	1.238700000000000045e+02	1.238699999999999940e-01	nan	3.604698074952920970e-03	1.813498045557780398e-03	2.844776596780015086e-04
nan	1.275499999999999972e+02	1.275499999999999967e-01	nan	3.710600319529930823e-03	1.843684765757389304e-03	2.849227609359420853e-04
nan	1.283299999999999841e+02	1.283299999999999996e-01	nan	3.937201515720971552e-03	1.848760383029922306e-03	2.852059027277626226e-04
nan	1.315300000000000011e+02	1.315300000000000080e-01	nan	4.025183591245422299e-03	1.872144406056497302e-03	2.847925854878713132e-04
nan	1.334200000000000159e+02	1.334200000000000386e-01	nan	4.134904838349484461e-03	1.745521872013532875e-03	2.887658617080772526e-04
nan	1.344599999999999795e+02	1.344599999999999962e-01	nan	4.447981828841421001e-03	1.711841296510939036e-03	2.867007029037183874e-04
nan	1.413900000000000148e+02	1.413899999999999879e-01	nan	4.615124837337134488e-03	1.633878494838039101e-03	2.829845134384434673e-04
nan	1.425400000000000205e+02	1.425400000000000278e-01	nan	4.920631685538410724e-03	1.738538129006957002e-03	2.899162550011329283e-04
nan	1.450699999999999932e+02	1.450699999999999767e-01	nan	4.785488255904511191e-03	1.716879692001293438e-03	2.860725761807300887e-04
nan	1.455999999999999943e+02	1.456000000000000072e-01	nan	4.721371618372814140e-03	1.658040209599880369e-03	2.893365286120966502e-04
nan	1.493299999999999841e+02	1.493300000000000183e-01	nan	5.173610483702759631e-03	1.629241854021511952e-03	2.880903605158830578e-04
nan	1.503599999999999852e+02	1.503599999999999937e-01	nan	5.219506651590108751e-03	1.710456938514647680e-03	2.888035358125045195e-04
nan	1.537400000000000091e+02	1.537399999999999878e-01	nan	5.441746466985932472e-03	1.680527215122983465e-03	2.858949616070138758e-04
nan	1.566500000000000057e+02	1.566500000000000115e-01	nan	5.808860908600763963e-03	1.511562808664174400e-03	2.875094318224921263e-04
nan	1.575999999999999943e+02	1.576000000000000179e-01	nan	5.773777184690516255e-03	1.655249822015827281e-03	2.897688278805419875e-04
nan	1.614900000000000091e+02	1.614899999999999947e-01	nan	6.216072241959409543e-03	1.599569467156434100e-03	2.873385044668061569e-04
nan	1.623599999999999852e+02	1.623600000000000043e-01	nan	6.185103693935616390e-03	1.584438874179279824e-03	2.886881564112127557e-04
nan	1.610799999999999841e+02	1.610800000000000010e-01	nan	5.944713134649646374e-03	1.542701994955467679e-03	2.879383326701833996e-04
nan	2.641000000000000369e+01	2.640999999999999945e-02	nan	2.450437524811377487e-04	5.539375992748936904e-03	2.108568461471502459e-04
nan	3.325000000000000000e+01	3.325000000000000178e-02	nan	3.840506346392658196e-04	4.858795642430317231e-03	2.192360627980544758e-04
nan	4.073000000000000398e+01	4.072999999999999537e-02	nan	5.356523134864233033e-04	4.034479797721033864e-03	2.171872457081344546e-04
nan	4.810999999999999943e+01	4.811000000000000693e-02	nan	6.953221487987093106e-04	3.732302537253462480e-03	2.212681181306755396e-04
nan	4.988000000000000256e+01	4.987999999999999379e-02	nan	8.221762084838245884e-04	3.300525820128379171e-03	2.234951615607032251e-04
nan	5.479999999999999716e+01	5.479999999999999455e-02	nan	1.069882045928238724e-03	2.998536658355128223e-03	2.284290589144259817e-04
nan	5.906000000000000227e+01	5.906000000000000139e-02	nan	1.091029039063755573e-03	3.114790854017767188e-03	2.271405874188184184e-04
