# SourcePhotonFlux	NumberRaysSurvived	PercentageRaysSurvived	PhotonFlux	Bandwidth	HorizontalFocusFWHM	VerticalFocusFWHM
nan	2.500000000000000000e+04	2.500000000000000000e+01	nan	2.490274942933279334e-02	2.774388252330241278e-02	2.608682861955154836e-02
nan	2.500000000000000000e+04	2.500000000000000000e+01	nan	3.728386997154231608e-02	2.375179638600822402e-02	2.120121086560760107e-02
nan	2.500000000000000000e+04	2.500000000000000000e+01	nan	4.992892919261038287e-02	1.950947423434083727e-02	1.906510469447183359e-02
nan	2.500000000000000000e+04	2.500000000000000000e+01	nan	6.235401184000366470e-02	1.893904119865663649e-02	1.586014797310101448e-02
nan	2.500000000000000000e+04	2.500000000000000000e+01	nan	7.487152264844354477e-02	1.768366676555245542e-02	1.541683943284794488e-02
nan	2.500000000000000000e+04	2.500000000000000000e+01	nan	8.702708572831951983e-02	1.647211979853179312e-02	1.352039489587361469e-02
nan	2.500000000000000000e+04	2.500000000000000000e+01	nan	9.975344968008670321e-02	1.651223363002760069e-02	1.347922340703343325e-02
nan	2.500000000000000000e+04	2.500000000000000000e+01	nan	1.124261263193133686e-01	1.592136835058994768e-02	1.204119744666284214e-02
nan	2.500000000000000000e+04	2.500000000000000000e+01	nan	1.247341772479337862e-01	1.485075442074624066e-02	1.207912758454995905e-02
nan	2.500000000000000000e+04	2.500000000000000000e+01	nan	1.373200656650297447e-01	1.431023730125773052e-02	1.118699119222685626e-02
nan	2.500000000000000000e+04	2.500000000000000000e+01	nan	1.499339547880538248e-01	1.381413163494391028e-02	1.068959813740557457e-02
nan	2.500000000000000000e+04	2.500000000000000000e+01	nan	1.620056279392514398e-01	1.386289426148961182e-02	9.979225395604526122e-03
nan	2.500000000000000000e+04	2.500000000000000000e+01	nan	1.469306655986143406e-01	1.337534181908403216e-02	1.027995897141365834e-02
nan	2.500000000000000000e+04	2.500000000000000000e+01	nan	1.869985041644923740e-01	1.371735794759076574e-02	9.122728002291680821e-03
nan	2.500000000000000000e+04	2.500000000000000000e+01	nan	1.998296813092181878e-01	1.407659078729250196e-02	9.219427633867330676e-03
nan	2.500000000000000000e+04	2.500000000000000000e+01	nan	2.121726033882751494e-01	1.286959755377637023e-02	9.343716848732176727e-03
nan	2.500000000000000000e+04	2.500000000000000000e+01	nan	2.244059538333189607e-01	1.258727341929620665e-02	9.139483848986789186e-03
nan	2.500000000000000000e+04	2.500000000000000000e+01	nan	2.373286966709287071e-01	1.252545707537657503e-02	8.345898136691627667e-03
nan	2.500000000000000000e+04	2.500000000000000000e+01	nan	2.489200395318462711e-01	1.229494509997093935e-02	8.191412699686626692e-03
nan	2.500000000000000000e+04	2.500000000000000000e+01	nan	2.414703373401265174e-01	1.198836279409445579e-02	7.826884293569369433e-03
nan	2.500000000000000000e+04	2.500000000000000000e+01	nan	2.747882118551245867e-01	1.244914907389494535e-02	8.033505243827758144e-03
nan	2.500000000000000000e+04	2.500000000000000000e+01	nan	2.855868243099024539e-01	1.250446040637276900e-02	7.720729553240552288e-03
nan	2.500000000000000000e+04	2.500000000000000000e+01	nan	2.995155554272059817e-01	1.247407879911981154e-02	7.493974835243590038e-03
nan	2.500000000000000000e+04	2.500000000000000000e+01	nan	3.119995230123180363e-01	1.203696842609198667e-02	7.720418762736473532e-03
nan	2.500000000000000000e+04	2.500000000000000000e+01	nan	3.245155964028327844e-01	1.203045843966736583e-02	6.976310355257651745e-03
nan	2.500000000000000000e+04	2.500000000000000000e+01	nan	3.362832068972352317e-01	1.183775006657288541e-02	7.013459553235785841e-03
nan	2.500000000000000000e+04	2.500000000000000000e+01	nan	3.496134472625698209e-01	1.182795030245971900e-02	7.088559483331083842e-03
nan	2.500000000000000000e+04	2.500000000000000000e+01	nan	3.572014456764378565e-01	1.164098282992443410e-02	6.660786973775758082e-03
nan	2.500000000000000000e+04	2.500000000000000000e+01	nan	3.734198330724467496e-01	1.169257056430358065e-02	6.668424344654899291e-03
nan	2.500000000000000000e+04	2.500000000000000000e+01	nan	3.866722165076765805e-01	1.140612375315511184e-02	6.951363891777564454e-03
nan	2.500000000000000000e+04	2.500000000000000000e+01	nan	3.997369177339464841e-01	1.125731985012423837e-02	6.965851535551247781e-03
nan	2.500000000000000000e+04	2.500000000000000000e+01	nan	4.118582440995055549e-01	1.178940109784983904e-02	6.508802617638008610e-03
nan	2.500000000000000000e+04	2.500000000000000000e+01	nan	4.246296271552267854e-01	1.163170596304243312e-02	6.431603470089686074e-03
nan	2.500000000000000000e+04	2.500000000000000000e+01	nan	4.013906239402155740e-01	1.133194863538259170e-02	6.488230225349605508e-03
nan	2.500000000000000000e+04	2.500000000000000000e+01	nan	4.493567604863670795e-01	1.126541006001647444e-02	6.283437121996011607e-03
nan	2.500000000000000000e+04	2.500000000000000000e+01	nan	4.616071043998317691e-01	1.165721669101236861e-02	5.921950436714168778e-03
nan	2.500000000000000000e+04	2.500000000000000000e+01	nan	4.735259826904467673e-01	1.197631401997953197e-02	6.112950630249031590e-03
nan	2.500000000000000000e+04	2.500000000000000000e+01	nan	4.850814115629304979e-01	1.092051460155288832e-02	6.145758417219009638e-03
nan	2.500000000000000000e+04	2.500000000000000000e+01	nan	4.994738388718786837e-01	1.092621787353997148e-02	6.346216464987146019e-03
nan	2.500000000000000000e+04	2.500000000000000000e+01	nan	2.496105264982872995e-02	2.755170578950667457e-02	2.820091367516228478e-02
nan	2.500000000000000000e+04	2.500000000000000000e+01	nan	3.743562744338113646e-02	2.207206668657977350e-02	2.206022560941451813e-02
nan	2.500000000000000000e+04	2.500000000000000000e+01	nan	4.991926217558173562e-02	2.066216927745468529e-02	1.935755560193044150e-02
nan	2.500000000000000000e+04	2.500000000000000000e+01	nan	6.242734578270869861e-02	1.955390822188404071e-02	1.692875002984981295e-02
nan	2.500000000000000000e+04	2.500000000000000000e+01	nan	7.492368878847699420e-02	1.776223107277389440e-02	1.506113423261665717e-02
nan	2.500000000000000000e+04	2.500000000000000000e+01	nan	8.736236358122795309e-02	1.641131806467883980e-02	1.349089124904867543e-02
nan	2.500000000000000000e+04	2.500000000000000000e+01	nan	9.994867958927855511e-02	1.585618999205946206e-02	1.246924464122564809e-02
nan	2.500000000000000000e+04	2.500000000000000000e+01	nan	1.123656429794515077e-01	1.520272014373282195e-02	1.292263746983813091e-02
nan	2.500000000000000000e+04	2.500000000000000000e+01	nan	1.247909404409348610e-01	1.556392996765938383e-02	1.215273661861882189e-02
nan	2.500000000000000000e+04	2.500000000000000000e+01	nan	1.373390497413069511e-01	1.469412677642201355e-02	1.113088604949736757e-02
nan	2.500000000000000000e+04	2.500000000000000000e+01	nan	1.372654094751987186e-01	1.357639956017232807e-02	1.095301081799990479e-02
nan	2.500000000000000000e+04	2.500000000000000000e+01	nan	1.622832199620418692e-01	1.362959256588610821e-02	9.705656610853100746e-03
nan	2.500000000000000000e+04	2.500000000000000000e+01	nan	1.747414647759626405e-01	1.323385211650298168e-02	9.605079106682836917e-03
nan	2.500000000000000000e+04	2.500000000000000000e+01	nan	1.870965239937518731e-01	1.403660298690030846e-02	9.670816243363730691e-03
nan	2.500000000000000000e+04	2.500000000000000000e+01	nan	1.996829206330019701e-01	1.334002873771792871e-02	9.310055269693046781e-03
nan	2.500000000000000000e+04	2.500000000000000000e+01	nan	2.109095244372127809e-01	1.280853702027702143e-02	8.978780307487402301e-03
nan	2.500000000000000000e+04	2.500000000000000000e+01	nan	2.248258987736164727e-01	1.251801907763866809e-02	8.956072561125270198e-03
nan	2.500000000000000000e+04	2.500000000000000000e+01	nan	2.372367147219591743e-01	1.217072246921923825e-02	8.741843723482732934e-03
nan	2.500000000000000000e+04	2.500000000000000000e+01	nan	2.468617847781260366e-01	1.182901324851700145e-02	8.302844590690012724e-03
nan	2.500000000000000000e+04	2.500000000000000000e+01	nan	2.621169393386963975e-01	1.211919603683062757e-02	8.019042607417559490e-03
nan	2.500000000000000000e+04	2.500000000000000000e+01	nan	2.743391492645201879e-01	1.173398176439736582e-02	7.685220132405022261e-03
nan	2.500000000000000000e+04	2.500000000000000000e+01	nan	2.871331757387309835e-01	1.261085008289892367e-02	7.851980777694323593e-03
nan	2.500000000000000000e+04	2.500000000000000000e+01	nan	2.995031463373862834e-01	1.141230551168105622e-02	7.622512173038321209e-03
nan	2.500000000000000000e+04	2.500000000000000000e+01	nan	3.118592893851683812e-01	1.241333341857297524e-02	7.181019569486911044e-03
nan	2.500000000000000000e+04	2.500000000000000000e+01	nan	3.247647112113440926e-01	1.177094479391249844e-02	7.476071408857486861e-03
nan	2.500000000000000000e+04	2.500000000000000000e+01	nan	3.372324953159733241e-01	1.134529234370390029e-02	7.404202543146710253e-03
nan	2.500000000000000000e+04	2.500000000000000000e+01	nan	3.494999962169771379e-01	1.211210529429780983e-02	7.338651499400680386e-03
nan	2.500000000000000000e+04	2.500000000000000000e+01	nan	3.330556483208931828e-01	1.192770456363410198e-02	7.082658183170988282e-03
nan	2.500000000000000000e+04	2.500000000000000000e+01	nan	3.747130200162587244e-01	1.185626275325286048e-02	6.624517316852599619e-03
nan	2.500000000000000000e+04	2.500000000000000000e+01	nan	3.866895072564346947e-01	1.155557646211856013e-02	6.766730844788746216e-03
nan	2.500000000000000000e+04	2.500000000000000000e+01	nan	3.971765490011023303e-01	1.137338992756651256e-02	6.812016625698984543e-03
nan	2.500000000000000000e+04	2.500000000000000000e+01	nan	4.116367386418886554e-01	1.107958721934880486e-02	6.854154399991818636e-03
nan	2.500000000000000000e+04	2.500000000000000000e+01	nan	4.242079221050403248e-01	1.076562903793384929e-02	6.760284542325250765e-03
nan	2.500000000000000000e+04	2.500000000000000000e+01	nan	4.371185840581119919e-01	1.151052583564476928e-02	6.306290379854722315e-03
nan	2.500000000000000000e+04	2.500000000000000000e+01	nan	4.492637068923670540e-01	1.107128307599919773e-02	6.410976030798352238e-03
nan	2.500000000000000000e+04	2.500000000000000000e+01	nan	4.620490908599492741e-01	1.103605032591746180e-02	6.577809063394645869e-03
nan	2.500000000000000000e+04	2.500000000000000000e+01	nan	4.364402128396046576e-01	1.172723154076955876e-02	6.009883218461292177e-03
nan	2.500000000000000000e+04	2.500000000000000000e+01	nan	4.864302240179085857e-01	1.118809610517778295e-02	6.021566104883755224e-03
nan	2.500000000000000000e+04	2.500000000000000000e+01	nan	4.983030339283374133e-01	1.130793119260834791e-02	5.810845973080940724e-03
nan	2.500000000000000000e+04	2.500000000000000000e+01	nan	2.497921353785681475e-02	2.773618986739090006e-02	2.566331175262854744e-02
