# SourcePhotonFlux	NumberRaysSurvived	PercentageRaysSurvived	PhotonFlux	Bandwidth	HorizontalFocusFWHM	VerticalFocusFWHM
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	9.961099771733117336e-02	1.109755300932096511e-01	1.043473144782061934e-01
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.491354798861692643e-01	9.500718554403289606e-02	8.480484346243040428e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.997157167704415315e-01	7.803789693736334909e-02	7.626041877788733436e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	2.494160473600146588e-01	7.575616479462654596e-02	6.344059189240405794e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	2.994860905937741791e-01	7.073466706220982170e-02	6.166735773139177951e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	3.481083429132780793e-01	6.588847919412717247e-02	5.408157958349445876e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	3.990137987203468128e-01	6.604893452011040278e-02	5.391689362813373299e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	4.497045052772534746e-01	6.368547340235979071e-02	4.816478978665136856e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	4.989367089917351450e-01	5.940301768298496266e-02	4.831651033819983621e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	5.492802626601189786e-01	5.724094920503092210e-02	4.474796476890742503e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	5.997358191522152993e-01	5.525652653977564110e-02	4.275839254962229830e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	6.480225117570057591e-01	5.545157704595844728e-02	3.991690158241810449e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	5.877226623944573625e-01	5.350136727633612865e-02	4.111983588565463338e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	7.479940166579694960e-01	5.486943179036306295e-02	3.649091200916672328e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	7.993187252368727513e-01	5.630636314917000784e-02	3.687771053546932271e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	8.486904135531005977e-01	5.147839021510548091e-02	3.737486739492870691e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	8.976238153332758429e-01	5.034909367718482659e-02	3.655793539594715674e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	9.493147866837148285e-01	5.010182830150630012e-02	3.338359254676651067e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	9.956801581273850843e-01	4.917978039988375738e-02	3.276565079874650677e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	9.658813493605060696e-01	4.795345117637782317e-02	3.130753717427747773e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.099152847420498347e+00	4.979659629557978140e-02	3.213402097531103258e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.142347297239609816e+00	5.001784162549107599e-02	3.088291821296220915e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.198062221708823927e+00	4.989631519647924618e-02	2.997589934097436015e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.247998092049272145e+00	4.814787370436794667e-02	3.088167505094589413e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.298062385611331138e+00	4.812183375866946333e-02	2.790524142103060698e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.345132827588940927e+00	4.735100026629154163e-02	2.805383821294314337e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.398453789050279283e+00	4.731180120983887599e-02	2.835423793332433537e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.428805782705751426e+00	4.656393131969773641e-02	2.664314789510303233e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.493679332289786998e+00	4.677028225721432259e-02	2.667369737861959716e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.546688866030706322e+00	4.562449501262044738e-02	2.780545556711025781e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.598947670935785936e+00	4.502927940049695349e-02	2.786340614220499112e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.647432976398022220e+00	4.715760439139935617e-02	2.603521047055203444e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.698518508620907141e+00	4.652682385216973249e-02	2.572641388035874430e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.605562495760862296e+00	4.532779454153036680e-02	2.595292090139842203e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.797427041945468318e+00	4.506164024006589774e-02	2.513374848798404643e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.846428417599327076e+00	4.662886676404947445e-02	2.368780174685667511e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.894103930761787069e+00	4.790525607991812790e-02	2.445180252099612636e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.940325646251721992e+00	4.368205840621155328e-02	2.458303366887603855e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.997895355487514735e+00	4.370487149415988593e-02	2.538486585994858408e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	9.984421059931491982e-02	1.102068231580266983e-01	1.128036547006491391e-01
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.497425097735245458e-01	8.828826674631909399e-02	8.824090243765807251e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.996770487023269425e-01	8.264867710981874116e-02	7.743022240772176601e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	2.497093831308347944e-01	7.821563288753616283e-02	6.771500011939925179e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	2.996947551539079768e-01	7.104892429109557761e-02	6.024453693046662867e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	3.494494543249118124e-01	6.564527225871535920e-02	5.396356499619470171e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	3.997947183571142205e-01	6.342475996823784823e-02	4.987697856490259235e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	4.494625719178060308e-01	6.081088057493128779e-02	5.169054987935252365e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	4.991637617637394442e-01	6.225571987063753532e-02	4.861094647447528755e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	5.493561989652278044e-01	5.877650710568805420e-02	4.452354419798947027e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	5.490616379007948744e-01	5.430559824068931229e-02	4.381204327199961918e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	6.491328798481674767e-01	5.451837026354443283e-02	3.882262644341240299e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	6.989658591038505620e-01	5.293540846601192673e-02	3.842031642673134767e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	7.483860959750074926e-01	5.614641194760123383e-02	3.868326497345492276e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	7.987316825320078806e-01	5.336011495087171486e-02	3.724022107877218712e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	8.436380977488511235e-01	5.123414808110808571e-02	3.591512122994960921e-02
