# SourcePhotonFlux	NumberRaysSurvived	PercentageRaysSurvived	PhotonFlux	Bandwidth	HorizontalFocusFWHM	VerticalFocusFWHM
nan	5.220000000000000000e+02	5.220000000000000195e-01	nan	1.803518072630794222e-03	5.504507330166198698e-02	2.615290317706527035e-03
nan	6.675000000000000000e+02	6.674999999999999822e-01	nan	2.974474874186228135e-03	3.819434214601140354e-02	2.653230773653464554e-03
nan	7.717500000000000000e+02	7.717500000000000471e-01	nan	3.923033859116742406e-03	4.109463267544576082e-02	2.713152588069548711e-03
nan	8.717500000000000000e+02	8.717500000000000249e-01	nan	5.339682905372455934e-03	3.302617713930078303e-02	2.633154668012783507e-03
nan	9.980000000000000000e+02	9.979999999999999982e-01	nan	6.075825312763072361e-03	3.133309929627790119e-02	2.782127843536421827e-03
nan	1.057250000000000000e+03	1.057250000000000023e+00	nan	6.369554842223124069e-03	3.072101954834921891e-02	2.876505106350016154e-03
nan	1.127000000000000000e+03	1.127000000000000002e+00	nan	8.492035137550146828e-03	2.758960597865810910e-02	2.822184535673194754e-03
nan	1.235250000000000000e+03	1.235249999999999959e+00	nan	9.474436229382376951e-03	2.778011954937763608e-02	2.815987170628450002e-03
nan	1.289000000000000000e+03	1.288999999999999924e+00	nan	1.011180259526156533e-02	2.630534713395763988e-02	2.835987794271849997e-03
nan	1.372750000000000000e+03	1.372749999999999915e+00	nan	1.142615847217598457e-02	2.313276279852842857e-02	2.876192246513533182e-03
nan	1.410750000000000000e+03	1.410749999999999948e+00	nan	1.294246642180496565e-02	2.226976512137496950e-02	2.811181284291026754e-03
nan	1.436000000000000000e+03	1.435999999999999943e+00	nan	1.330791079016080403e-02	2.443782682847053800e-02	2.864111721616094050e-03
nan	1.535500000000000000e+03	1.535499999999999865e+00	nan	1.499381253034925976e-02	2.233529789422807749e-02	2.836735191600082105e-03
nan	1.578000000000000000e+03	1.578000000000000069e+00	nan	1.592094071594374327e-02	2.310523734688023356e-02	2.843881104396874752e-03
nan	1.614500000000000000e+03	1.614500000000000046e+00	nan	1.820815023776845010e-02	2.089452982675625223e-02	2.866377188627829316e-03
nan	1.693250000000000000e+03	1.693250000000000144e+00	nan	1.804970872396438608e-02	2.070486788901744132e-02	2.824032691864927953e-03
nan	1.727500000000000000e+03	1.727499999999999813e+00	nan	2.192941399044912032e-02	2.060897493796116919e-02	2.888844997763464085e-03
nan	1.753000000000000000e+03	1.752999999999999892e+00	nan	2.188846700374824650e-02	1.957118031675059849e-02	2.846253868761679760e-03
nan	1.814500000000000000e+03	1.814500000000000002e+00	nan	2.378240483886884249e-02	1.935566967790190024e-02	2.837608691220715358e-03
nan	1.915500000000000000e+03	1.915499999999999758e+00	nan	2.418904148328238080e-02	2.072019813574293295e-02	2.861629198899355835e-03
nan	1.933000000000000000e+03	1.933000000000000274e+00	nan	2.542341882559639998e-02	1.894695969011091566e-02	2.851412153068226714e-03
nan	1.972250000000000000e+03	1.972249999999999837e+00	nan	2.742894694165443070e-02	2.050863914678449640e-02	2.852496322747283264e-03
nan	2.009250000000000000e+03	2.009249999999999758e+00	nan	2.770805853259616924e-02	1.941317210515946037e-02	2.836262938687022627e-03
nan	2.046500000000000000e+03	2.046499999999999986e+00	nan	2.859304960594499789e-02	1.937565698718914792e-02	2.839488621818905649e-03
nan	2.095250000000000000e+03	2.095250000000000057e+00	nan	3.083947317293223023e-02	1.934040910819924408e-02	2.839365584312805117e-03
nan	2.067000000000000000e+03	2.066999999999999726e+00	nan	3.397217248533479506e-02	1.902453325105940563e-02	2.868036023035979397e-03
nan	2.156500000000000000e+03	2.156500000000000306e+00	nan	3.113093411138834199e-02	1.815172001486162895e-02	2.828565090004390124e-03
nan	2.223500000000000000e+03	2.223500000000000476e+00	nan	3.373780864899345033e-02	1.979938297787053186e-02	2.867692329675226165e-03
nan	2.256500000000000000e+03	2.256499999999999950e+00	nan	3.737968890328602356e-02	1.735920747897262001e-02	2.826556795859826859e-03
nan	2.258000000000000000e+03	2.258000000000000007e+00	nan	4.109201991411737254e-02	1.882279103795585912e-02	2.910325585812393017e-03
nan	2.354000000000000000e+03	2.354000000000000092e+00	nan	4.154285282413638924e-02	1.833451650934547067e-02	2.876932631531235306e-03
nan	2.335250000000000000e+03	2.335250000000000270e+00	nan	4.083412520338924878e-02	1.788930301907446299e-02	2.852072654914893785e-03
nan	2.396500000000000000e+03	2.396500000000000075e+00	nan	4.167704737858457520e-02	1.701041519747275438e-02	2.859381522987942265e-03
nan	2.443250000000000000e+03	2.443249999999999922e+00	nan	4.492357020643567012e-02	1.815149210342476005e-02	2.869153993602898030e-03
nan	2.431000000000000000e+03	2.431000000000000050e+00	nan	4.528454739659082406e-02	1.787106838363166847e-02	2.869448678775947045e-03
nan	2.471000000000000000e+03	2.471000000000000085e+00	nan	4.891445069409883217e-02	1.680386668675299539e-02	2.852606366003893577e-03
nan	2.525000000000000000e+03	2.524999999999999911e+00	nan	4.936401923686162263e-02	1.736250940150128180e-02	2.855936990491523761e-03
nan	2.548250000000000000e+03	2.548250000000000348e+00	nan	5.171354075139333872e-02	1.735466352824951985e-02	2.888721712022198056e-03
nan	2.597250000000000000e+03	2.597250000000000281e+00	nan	5.047506754334563084e-02	1.793780801050387855e-02	2.918319294916727272e-03
nan	4.122500000000000000e+02	4.122500000000000053e-01	nan	1.989988673830822563e-03	5.045031554112293370e-02	1.942229860480213736e-03
nan	5.145000000000000000e+02	5.144999999999999574e-01	nan	2.799321138702737244e-03	4.103808186062565116e-02	2.249982017787149988e-03
nan	6.395000000000000000e+02	6.394999999999999574e-01	nan	3.737068940758092594e-03	3.446737001111326720e-02	2.227998383440530326e-03
nan	7.377500000000000000e+02	7.377500000000000169e-01	nan	4.929579844933584809e-03	3.420650810284297377e-02	2.333446218958131445e-03
nan	8.015000000000000000e+02	8.014999999999999902e-01	nan	6.203546136489990204e-03	2.965432728512840815e-02	2.292495972950903734e-03
nan	8.970000000000000000e+02	8.969999999999999085e-01	nan	7.428214184329817726e-03	2.785718749090514840e-02	2.338242457271000937e-03
nan	9.487500000000000000e+02	9.487499999999999822e-01	nan	8.434771105655158863e-03	2.473225933458374215e-02	2.326989798761464317e-03
nan	1.023500000000000000e+03	1.023499999999999854e+00	nan	9.740906378326030790e-03	2.322200744260422348e-02	2.344201825814618695e-03
nan	1.023000000000000000e+03	1.022999999999999909e+00	nan	1.096248715512615490e-02	2.512003686772176086e-02	2.325424637833837811e-03
nan	1.085250000000000000e+03	1.085250000000000048e+00	nan	1.125352047543515255e-02	2.352570756183735429e-02	2.350163040898669599e-03
nan	1.163000000000000000e+03	1.163000000000000034e+00	nan	1.292803434029110576e-02	2.459421898320967095e-02	2.343360459605167354e-03
nan	1.242000000000000000e+03	1.241999999999999993e+00	nan	1.414555305461817625e-02	2.225457525307974332e-02	2.369395163392749252e-03
nan	1.252000000000000000e+03	1.252000000000000002e+00	nan	1.393231857366572513e-02	2.271999119702949529e-02	2.323785020201184996e-03
nan	1.322250000000000000e+03	1.322249999999999925e+00	nan	1.518877723759715082e-02	2.281243217408856355e-02	2.397716999586794670e-03
nan	1.358750000000000000e+03	1.358749999999999902e+00	nan	1.895082179945006828e-02	1.962588852122179595e-02	2.390637653851747629e-03
nan	1.404750000000000000e+03	1.404749999999999943e+00	nan	1.890917409980374941e-02	2.107327330533046578e-02	2.391809400661817041e-03
nan	1.457250000000000000e+03	1.457249999999999934e+00	nan	1.885154226064855720e-02	1.922687516669316365e-02	2.360142111851903576e-03
nan	1.490750000000000000e+03	1.490750000000000020e+00	nan	2.197830743531881126e-02	2.097827140294442755e-02	2.384862284545128525e-03
nan	1.517250000000000000e+03	1.517249999999999988e+00	nan	2.028587700678485817e-02	2.148924077655178094e-02	2.346435869536305820e-03
nan	1.559750000000000000e+03	1.559749999999999748e+00	nan	2.378152522913978828e-02	1.923839231852471701e-02	2.365719441281896943e-03
nan	1.580250000000000000e+03	1.580250000000000155e+00	nan	2.439287699883152527e-02	1.868675319305693888e-02	2.371813014234116015e-03
nan	1.618750000000000000e+03	1.618749999999999911e+00	nan	2.522385674438964998e-02	1.813393938871067645e-02	2.397586075799817973e-03
nan	1.683500000000000000e+03	1.683499999999999996e+00	nan	2.784129248607314366e-02	1.766550526453127684e-02	2.349529736173100285e-03
nan	1.687000000000000000e+03	1.686999999999999833e+00	nan	2.899944511528929070e-02	1.913706745100759998e-02	2.372677146308263367e-03
nan	1.755500000000000000e+03	1.755500000000000060e+00	nan	3.048724298844263103e-02	1.813598418377211641e-02	2.385618791392471027e-03
nan	1.799250000000000000e+03	1.799250000000000016e+00	nan	3.187258687734129126e-02	1.893524961760406633e-02	2.350753133979594043e-03
nan	1.811750000000000000e+03	1.811749999999999972e+00	nan	3.350395945335549186e-02	1.900383836732804158e-02	2.409627899635704597e-03
nan	1.851750000000000000e+03	1.851750000000000007e+00	nan	3.403750862207743921e-02	1.767929433188512867e-02	2.391080978844552576e-03
nan	1.864500000000000000e+03	1.864500000000000046e+00	nan	3.681710457334474995e-02	1.868338744246910571e-02	2.327580833265297140e-03
nan	1.888500000000000000e+03	1.888500000000000068e+00	nan	3.582967474147835674e-02	1.800263023785804439e-02	2.346124278916903675e-03
nan	1.910250000000000000e+03	1.910250000000000004e+00	nan	3.925391915089448958e-02	1.816726029063371606e-02	2.401017890731088362e-03
nan	1.962750000000000000e+03	1.962749999999999995e+00	nan	4.126654502294968552e-02	1.711256680700255772e-02	2.367636321410299637e-03
nan	1.978500000000000000e+03	1.978499999999999925e+00	nan	4.143253689113635119e-02	1.695678145516315433e-02	2.406392300522612691e-03
nan	2.024250000000000000e+03	2.024249999999999883e+00	nan	4.312580747654237712e-02	1.686670788926224532e-02	2.418459661747750754e-03
nan	2.038000000000000000e+03	2.037999999999999812e+00	nan	4.484101549275010257e-02	1.702871756425330951e-02	2.386130253571219773e-03
nan	2.109500000000000000e+03	2.109500000000000153e+00	nan	4.333510299170484359e-02	1.670046250772732471e-02	2.422011010764760133e-03
nan	2.101750000000000000e+03	2.101750000000000007e+00	nan	4.872147001486837326e-02	1.805046652568543034e-02	2.352694318805321778e-03
nan	2.121500000000000000e+03	2.121500000000000163e+00	nan	4.365067723909987762e-02	1.805551538948970206e-02	2.413057825115461769e-03
nan	2.178000000000000000e+03	2.177999999999999936e+00	nan	4.915124904709955445e-02	1.612121396524648573e-02	2.405237524841038858e-03
nan	3.102500000000000000e+02	3.102499999999999702e-01	nan	1.858659957651553896e-03	5.652889739931346580e-02	1.809833561743002649e-03
nan	4.377500000000000000e+02	4.377499999999999725e-01	nan	2.703636882472437719e-03	3.937246593246232496e-02	1.717356808573428659e-03
nan	5.152500000000000000e+02	5.152499999999999858e-01	nan	4.170091851257495819e-03	3.186100069831236670e-02	1.783412075706634816e-03
