# SourcePhotonFlux	NumberRaysSurvived	PercentageRaysSurvived	PhotonFlux	Bandwidth	HorizontalFocusFWHM	VerticalFocusFWHM
nan	1.352500000000000000e+02	1.352499999999999813e-01	nan	5.446950068845879400e-04	1.413493361059512191e-02	6.424034513727789383e-04
nan	1.642500000000000000e+02	1.642500000000000071e-01	nan	7.330359207919912023e-04	1.074329019329919518e-02	6.919245150298440877e-04
nan	1.968750000000000000e+02	1.968749999999999944e-01	nan	9.406183240248111588e-04	1.118254501051918481e-02	6.859812668336112002e-04
nan	2.190000000000000000e+02	2.190000000000000002e-01	nan	1.326689716510287553e-03	9.114689657395381658e-03	6.929580580806451399e-04
nan	2.506250000000000000e+02	2.506249999999999867e-01	nan	1.671825258206638409e-03	9.679030452396219369e-03	7.004374556108589793e-04
nan	2.707500000000000000e+02	2.707499999999999907e-01	nan	2.036798210045986934e-03	8.421497469300546351e-03	7.004022762857843240e-04
nan	2.881250000000000000e+02	2.881249999999999645e-01	nan	2.396140799234558472e-03	7.003153915377347515e-03	7.042051365841457515e-04
nan	3.166250000000000000e+02	3.166249999999999898e-01	nan	2.388944527854874877e-03	7.921664772676572167e-03	7.018888600719972500e-04
nan	3.300625000000000000e+02	3.300624999999999809e-01	nan	3.142545220445214227e-03	7.370373739170753627e-03	6.882897010596953453e-04
nan	3.521250000000000000e+02	3.521249999999999658e-01	nan	2.894109820104517894e-03	6.965433780128086304e-03	7.100908756290929148e-04
nan	3.593125000000000000e+02	3.593124999999999791e-01	nan	3.562765777544996126e-03	6.209159289370460438e-03	6.975266162017349988e-04
nan	3.859375000000000000e+02	3.859374999999999889e-01	nan	3.724976580691929939e-03	6.000010679425127336e-03	7.102582894275692206e-04
nan	3.865625000000000000e+02	3.865624999999999756e-01	nan	4.036973816852196251e-03	6.024958617890015591e-03	7.108196233817375186e-04
nan	4.036250000000000000e+02	4.036249999999999560e-01	nan	5.070533054883696877e-03	6.308492857723626245e-03	7.031986278261724913e-04
nan	4.201875000000000000e+02	4.201875000000000471e-01	nan	4.512304944533696016e-03	5.819561393476087655e-03	7.107693764315749143e-04
nan	4.315000000000000000e+02	4.314999999999999947e-01	nan	5.317992744956256956e-03	6.077867923709226114e-03	7.089483354315974720e-04
nan	4.422500000000000000e+02	4.422500000000000320e-01	nan	5.155643196928849648e-03	5.794585040229073211e-03	7.163421946713253042e-04
nan	4.513125000000000000e+02	4.513125000000000053e-01	nan	5.515966239613590005e-03	5.066743416198057209e-03	7.237585351240748447e-04
nan	4.739375000000000000e+02	4.739375000000000115e-01	nan	6.044861441914406441e-03	5.428146727387205168e-03	7.117918837765191192e-04
nan	4.823125000000000000e+02	4.823125000000000329e-01	nan	6.364950214077680357e-03	5.431123954253441397e-03	7.168441445026391395e-04
nan	4.904375000000000000e+02	4.904374999999999707e-01	nan	6.844893280543828951e-03	4.985013777087562645e-03	7.247296728214093920e-04
nan	5.028750000000000000e+02	5.028750000000000719e-01	nan	6.996888200461626184e-03	4.807568299730405337e-03	7.119616857598112369e-04
nan	5.201250000000000000e+02	5.201249999999999485e-01	nan	6.983889125123710073e-03	5.263302464756925737e-03	7.204833797368906476e-04
nan	5.284375000000000000e+02	5.284375000000000044e-01	nan	8.262545880526772635e-03	4.797961239321018624e-03	7.027086787052522860e-04
nan	5.375625000000000000e+02	5.375624999999999432e-01	nan	8.151083141427761802e-03	4.950991762590792669e-03	7.180699539062404546e-04
nan	5.354375000000000000e+02	5.354375000000000107e-01	nan	8.415242139889755890e-03	4.951546523297274682e-03	7.160589756751730263e-04
nan	5.556250000000000000e+02	5.556250000000000355e-01	nan	9.188806284186057383e-03	4.812225068757261005e-03	7.149423934553812178e-04
nan	5.670000000000000000e+02	5.669999999999999485e-01	nan	9.575485402521621836e-03	5.049920100890022308e-03	7.131501596129064023e-04
nan	5.828750000000000000e+02	5.828750000000000320e-01	nan	9.772742629948538706e-03	5.037770915892437855e-03	7.254525238333715560e-04
nan	5.920000000000000000e+02	5.920000000000000817e-01	nan	9.957545978210191606e-03	4.721909357449801357e-03	7.258326092732322746e-04
nan	5.915625000000000000e+02	5.915624999999999911e-01	nan	1.070534743048767723e-02	4.789240282892120483e-03	7.151880228268344547e-04
nan	6.039375000000000000e+02	6.039375000000000160e-01	nan	1.078253904476866865e-02	4.796473314351841315e-03	7.204414937587607076e-04
nan	6.136250000000000000e+02	6.136249999999999760e-01	nan	1.068857656869681705e-02	4.721009962175441721e-03	7.164062601722209506e-04
nan	6.171250000000000000e+02	6.171249999999999236e-01	nan	1.291555145206757516e-02	4.983946144769509264e-03	7.087253970265133384e-04
nan	6.309375000000000000e+02	6.309375000000000400e-01	nan	1.234280244618446432e-02	4.622328779656482804e-03	7.156360724970499930e-04
nan	6.458125000000000000e+02	6.458125000000000115e-01	nan	1.291822540912335171e-02	4.524107515027069905e-03	7.225142466885475746e-04
nan	6.521250000000000000e+02	6.521249999999999547e-01	nan	1.319719610543756971e-02	4.786487169653816896e-03	7.212009226014812896e-04
nan	6.632500000000000000e+02	6.632500000000000062e-01	nan	1.399093600748813060e-02	4.457804746871601997e-03	7.318960325634802332e-04
