# SourcePhotonFlux	NumberRaysSurvived	PercentageRaysSurvived	PhotonFlux	PhotonEnergy	Bandwidth	HorizontalFocusFWHM	VerticalFocusFWHM	EnergyPerMilPerBw	FluxPerMilPerBwPerc	FluxPerMilPerBwAbs
nan	2.519599999999999909e+03	2.519599999999999618e+00	nan	1.000000000000000000e+02	5.771710480684077819e-03	1.027661531780966475e-01	6.024869584857150961e-03	1.739917180961892385e+01	4.386650434147262700e+01	nan
nan	3.737199999999999818e+03	3.737200000000000077e+00	nan	2.000000000000000000e+02	1.325911231947998238e-02	9.280173513776848737e-02	6.076038794223895603e-03	1.513374267108590665e+01	5.657022885245932287e+01	nan
nan	4.714800000000000182e+03	4.714800000000000324e+00	nan	3.000000000000000000e+02	2.086039162536508160e-02	8.007118895124372415e-02	5.813718427949975641e-03	1.440950012177114914e+01	6.791438178374066581e+01	nan
nan	5.446399999999999636e+03	5.446399999999999686e+00	nan	4.000000000000000000e+02	3.147579446833788375e-02	8.110985423952915552e-02	6.145816514387498000e-03	1.276523394471158390e+01	6.949409615870096957e+01	nan
nan	6.105000000000000000e+03	6.105000000000000426e+00	nan	5.000000000000000000e+02	4.022948441440803158e-02	7.553512630281829232e-02	6.088801217705013327e-03	1.247600972974329103e+01	7.622140714363054315e+01	nan
nan	6.698800000000000182e+03	6.698800000000000310e+00	nan	6.000000000000000000e+02	5.021116222669661650e-02	7.753481832262662521e-02	6.174365850609608158e-03	1.197241280442917244e+01	8.019545204204936795e+01	nan
nan	7.184199999999999818e+03	7.184199999999999697e+00	nan	7.000000000000000000e+02	6.367136035601106414e-02	7.278133452823776217e-02	6.064562372102275979e-03	1.101190923461331650e+01	7.910067539025135375e+01	nan
nan	7.678800000000000182e+03	7.678799999999999848e+00	nan	8.000000000000000000e+02	7.656846348140788905e-02	7.531029845757507279e-02	6.407572939385633784e-03	1.047921914249392117e+01	8.049148221689991090e+01	nan
nan	8.010000000000000000e+03	8.010000000000001563e+00	nan	9.000000000000000000e+02	8.773998554408990458e-02	7.468724156327644081e-02	6.182404865638388078e-03	1.026585541994164785e+01	8.223285101841489109e+01	nan
nan	8.632600000000000364e+03	8.632600000000000051e+00	nan	1.000000000000000000e+03	1.004539025818530773e-01	7.369854360322164455e-02	6.083104069294619290e-03	9.987597848921073052e+00	8.618625200835091960e+01	nan
nan	8.973600000000000364e+03	8.973600000000001131e+00	nan	1.100000000000000000e+03	1.168344346642243153e-01	7.456552989044296087e-02	6.121725518851373060e-03	9.422988665006808873e+00	8.456943948314805937e+01	nan
nan	9.461600000000000364e+03	9.461599999999998900e+00	nan	1.200000000000000000e+03	1.273820362488549962e-01	7.561300121929948048e-02	6.277450429238705734e-03	9.443183176268503232e+00	8.936899845670822629e+01	nan
nan	9.820200000000000728e+03	9.820200000000001594e+00	nan	1.300000000000000000e+03	1.496626852627741810e-01	7.541124435394133685e-02	6.225790266520760466e-03	8.722800382425791810e+00	8.565020507520165438e+01	nan
nan	1.022920000000000073e+04	1.022920000000000051e+01	nan	1.400000000000000000e+03	1.617433980134137528e-01	7.212990672560690153e-02	6.327707987055760167e-03	8.705622078529023256e+00	8.909933683165293417e+01	nan
nan	1.052639999999999964e+04	1.052640000000000065e+01	nan	1.500000000000000000e+03	1.802695613664582197e-01	7.408933526253583257e-02	6.143151619267647918e-03	8.374970264698498923e+00	8.813475099462407059e+01	nan
nan	1.088439999999999964e+04	1.088439999999999941e+01	nan	1.600000000000000000e+03	1.884522301338165673e-01	7.210776115540248887e-02	6.084911775654389815e-03	8.537571245506052620e+00	9.292817685871133904e+01	nan
nan	1.124260000000000036e+04	1.124259999999999948e+01	nan	1.700000000000000000e+03	2.058816594988002180e-01	7.170452848457140038e-02	6.145256121713451800e-03	8.284810570446255795e+00	9.312754000934313581e+01	nan
nan	1.160579999999999927e+04	1.160580000000000034e+01	nan	1.800000000000000000e+03	2.291988341499290871e-01	7.539276041277301332e-02	6.165562751097753737e-03	7.866099594906771131e+00	9.128068773772471900e+01	nan
nan	1.186620000000000073e+04	1.186620000000000097e+01	nan	1.900000000000000000e+03	2.586213529556971591e-01	7.479017492135435485e-02	6.208572607963107684e-03	7.360310348464581764e+00	8.733432521363950229e+01	nan
nan	1.215579999999999927e+04	1.215580000000000105e+01	nan	2.000000000000000000e+03	2.763440247496873892e-01	7.389792856528280829e-02	6.192690503318552461e-03	7.258705674103175909e+00	8.822494433670055969e+01	nan
nan	1.249360000000000036e+04	1.249359999999999893e+01	nan	2.100000000000000000e+03	2.951659110988657519e-01	7.289873568593985276e-02	6.044783102335089808e-03	7.127784037474981460e+00	8.905638614763053340e+01	nan
