# SourcePhotonFlux	NumberRaysSurvived	PercentageRaysSurvived	PhotonFlux	PhotonEnergy	Bandwidth	HorizontalFocusFWHM	VerticalFocusFWHM	EnergyPerMilPerBw	FluxPerMilPerBwPerc	FluxPerMilPerBwAbs
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	2.000000000000000000e+01	1.997560392003322124e-02	2.245653541121109265e-02	2.102443765129515321e-02	2.002444925672283438e-01	2.002444925672283560e+01	nan
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	4.000000000000000000e+01	3.995843361119454790e-02	1.714846180493945563e-02	1.430522850010532143e-02	2.002080867406078046e-01	2.002080867406078113e+01	nan
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	6.000000000000000000e+01	5.991528767599220429e-02	1.409883340680018714e-02	1.209981514705443448e-02	2.002829205989323236e-01	2.002829205989322858e+01	nan
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	8.000000000000000000e+01	7.993567688599569065e-02	1.206765493813721085e-02	1.041308963208404520e-02	2.001609830133050938e-01	2.001609830133050494e+01	nan
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	1.000000000000000000e+02	9.988291095454542023e-02	1.176837266961520620e-02	9.567357312109541628e-03	2.002345859021821273e-01	2.002345859021820473e+01	nan
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	1.200000000000000000e+02	1.122138246772549780e-01	1.112808493074631498e-02	8.443364140858675496e-03	2.189945293628245970e-01	2.189945293628246503e+01	nan
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	1.400000000000000000e+02	1.397826085003953112e-01	1.065864100686434411e-02	8.060999288639555949e-03	2.003113649581870492e-01	2.003113649581870703e+01	nan
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	1.600000000000000000e+02	1.598824913994530972e-01	1.047544001686026745e-02	7.349562805845186175e-03	2.001470267620102939e-01	2.001470267620102916e+01	nan
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	1.800000000000000000e+02	1.794737049403420381e-01	1.013877227159261721e-02	7.231488797753531095e-03	2.005873513476533199e-01	2.005873513476533532e+01	nan
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	2.000000000000000000e+02	1.995851874503387080e-01	9.819401643735729823e-03	6.762290238863696845e-03	2.004158130023501738e-01	2.004158130023501627e+01	nan
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	2.200000000000000000e+02	2.192059801020332377e-01	9.654006253461799858e-03	6.392987658488090592e-03	2.007257639348008771e-01	2.007257639348008382e+01	nan
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	2.400000000000000000e+02	2.397973466662733644e-01	9.222137702432907022e-03	6.083682481113737370e-03	2.001690477148147240e-01	2.001690477148147096e+01	nan
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	2.600000000000000000e+02	2.586415974551619090e-01	9.418133544177021560e-03	5.950192493884209552e-03	2.010626247934153843e-01	2.010626247934154165e+01	nan
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	2.800000000000000000e+02	2.600922884322262041e-01	8.951969728951167382e-03	5.674378398061718891e-03	2.203628614509457739e-01	2.203628614509457861e+01	nan
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	3.000000000000000000e+02	2.998358894507601180e-01	8.821303350184078740e-03	5.245954917547185521e-03	2.001094725836123356e-01	2.001094725836123445e+01	nan
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	3.200000000000000000e+02	3.195383361930271282e-01	8.626973962255495357e-03	5.225902174108160332e-03	2.002890263628114287e-01	2.002890263628114198e+01	nan
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	3.400000000000000000e+02	3.390699067844161751e-01	8.926486797578254279e-03	4.975436901098908779e-03	2.005503745508287472e-01	2.005503745508287494e+01	nan
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	3.600000000000000000e+02	3.596982683563055838e-01	9.022859598580335733e-03	5.077861150918743134e-03	2.001677774314612468e-01	2.001677774314612179e+01	nan
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	3.800000000000000000e+02	3.795032999040176547e-01	8.632141163639899667e-03	4.688956350188081858e-03	2.002618405233085874e-01	2.002618405233085852e+01	nan
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	4.000000000000000000e+02	3.993780194130522321e-01	8.549043042621917374e-03	4.826016527792624522e-03	2.003116711735045408e-01	2.003116711735045641e+01	nan
nan	2.000000000000000000e+04	2.000000000000000000e+01	nan	4.200000000000000000e+02	4.193130559487689979e-01	8.609995947330731716e-03	4.763015421277279338e-03	2.003276866140860923e-01	2.003276866140860690e+01	nan
