# SourcePhotonFlux	NumberRaysSurvived	PercentageRaysSurvived	PhotonFlux	PhotonEnergy	Bandwidth	HorizontalFocusFWHM	VerticalFocusFWHM	EnergyPerMilPerBw	FluxPerMilPerBwPerc	FluxPerMilPerBwAbs
nan	2.837500000000000000e+03	2.837499999999999911e+00	nan	1.000000000000000000e+02	5.807154110507894637e-03	9.976080519180843820e-02	6.692242929680377976e-03	1.733083393845271658e+01	4.917088227662030420e+01	nan
nan	4.199500000000000000e+03	4.199499999999999567e+00	nan	2.000000000000000000e+02	1.315219821305788593e-02	8.557476503656476219e-02	6.680291427101678337e-03	1.525975253505453999e+01	6.410333786071574025e+01	nan
nan	5.225199999999999818e+03	5.225199999999999179e+00	nan	3.000000000000000000e+02	2.076176560817089012e-02	8.010696149404301913e-02	6.767242424849118261e-03	1.450722446255933029e+01	7.579675108385416138e+01	nan
nan	6.047500000000000000e+03	6.047499999999999432e+00	nan	4.000000000000000000e+02	3.086837994601978469e-02	7.868704522968446302e-02	6.591524736161267009e-03	1.298439581510490903e+01	7.850779271443448692e+01	nan
nan	6.772000000000000000e+03	6.772000000000000242e+00	nan	5.000000000000000000e+02	4.226182979188593258e-02	7.802919446502895595e-02	6.776706127464329418e-03	1.189197833236520907e+01	8.053860837982696808e+01	nan
nan	7.397199999999999818e+03	7.397199999999999775e+00	nan	6.000000000000000000e+02	5.287794681199784602e-02	7.826013829904400476e-02	6.920020415444106017e-03	1.136578828650763384e+01	8.408115107281375344e+01	nan
nan	8.046899999999999636e+03	8.046900000000000830e+00	nan	7.000000000000000000e+02	6.444839861444506823e-02	7.637498050080153422e-02	6.951092957893168292e-03	1.088506912038620378e+01	8.758989186228293988e+01	nan
nan	8.559100000000000364e+03	8.559100000000000819e+00	nan	8.000000000000000000e+02	7.984200357758482192e-02	7.707735554414212042e-02	6.970951784186063711e-03	1.005431063889417587e+01	8.610676099960535623e+01	nan
nan	9.099200000000000728e+03	9.099199999999999733e+00	nan	9.000000000000000000e+02	9.242300841317500903e-02	7.265963848969607397e-02	6.759132651865333574e-03	9.778158589759895492e+00	8.896652832594136839e+01	nan
nan	9.580100000000000364e+03	9.580100000000001614e+00	nan	1.000000000000000000e+03	1.093902483473357251e-01	7.677891742363887606e-02	6.897281493930537861e-03	9.170470227731787105e+00	8.783660582358460545e+01	nan
nan	1.011579999999999927e+04	1.011579999999999835e+01	nan	1.100000000000000000e+03	1.207322411536097262e-01	7.566834166771031767e-02	6.860712404093136270e-03	9.131093625090203503e+00	9.236669852470129172e+01	nan
nan	1.049000000000000000e+04	1.048999999999999844e+01	nan	1.200000000000000000e+03	1.360187255309483478e-01	7.356808438492715152e-02	6.941436234839247488e-03	8.853656781406863630e+00	9.290081272871488238e+01	nan
nan	1.095339999999999964e+04	1.095339999999999847e+01	nan	1.300000000000000000e+03	1.561843504056696363e-01	7.295106549833534071e-02	6.949364210701827922e-03	8.355702354837251988e+00	9.152708574972703559e+01	nan
nan	1.132070000000000073e+04	1.132069999999999865e+01	nan	1.400000000000000000e+03	1.719889721331355759e-01	7.414164638597700585e-02	6.973644814627625969e-03	8.152870880221204430e+00	9.230734071414273956e+01	nan
nan	1.171810000000000036e+04	1.171809999999999796e+01	nan	1.500000000000000000e+03	1.912327986300851879e-01	7.198776332045882242e-02	6.904684434085053835e-03	7.873917250136474699e+00	9.226726129791138931e+01	nan
nan	1.212039999999999964e+04	1.212040000000000006e+01	nan	1.600000000000000000e+03	2.074626844477961696e-01	7.255437087204050228e-02	6.927691068471808662e-03	7.724790533768289613e+00	9.362352428244058444e+01	nan
nan	1.258920000000000073e+04	1.258919999999999995e+01	nan	1.700000000000000000e+03	2.277476663992729355e-01	7.345140937733059261e-02	6.851001795831273937e-03	7.472191138433180058e+00	9.406646992889935177e+01	nan
nan	1.285850000000000000e+04	1.285850000000000115e+01	nan	1.800000000000000000e+03	2.399822085677442429e-01	7.300041964847191200e-02	6.818761781412845460e-03	7.506322340420096495e+00	9.651090955087201451e+01	nan
nan	1.320650000000000000e+04	1.320650000000000013e+01	nan	1.900000000000000000e+03	2.619809787424173808e-01	7.239783873482644183e-02	6.890456906324499489e-03	7.276216470797463032e+00	9.610820493848271440e+01	nan
nan	1.355250000000000000e+04	1.355250000000000021e+01	nan	2.000000000000000000e+03	2.810600115628176243e-01	7.221712217876566364e-02	7.008980277044466953e-03	7.132447321069824042e+00	9.666068327713412600e+01	nan
nan	1.387839999999999964e+04	1.387839999999999918e+01	nan	2.100000000000000000e+03	3.078487935174962220e-01	7.233179824474819664e-02	6.879714548978054303e-03	6.829550125258810667e+00	9.478880057348828814e+01	nan
