# SourcePhotonFlux	NumberRaysSurvived	PercentageRaysSurvived	PhotonFlux	PhotonEnergy	Bandwidth	HorizontalFocusFWHM	VerticalFocusFWHM	EnergyPerMilPerBw	FluxPerMilPerBwPerc	FluxPerMilPerBwAbs
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	1.000000000000000000e+01	9.659390332912317842e-03	1.155640543975783655e-02	1.054384774979512558e-02	1.049353920759047848e-01	1.049353920759047831e+01	nan
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	2.000000000000000000e+01	1.995268679631721082e-02	8.255265025640074611e-03	7.236372903562324384e-03	1.002382561522549703e-01	1.002382561522549942e+01	nan
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	3.000000000000000000e+01	2.894462867029047246e-02	7.113896105550512536e-03	6.193382576375405617e-03	1.050388932773284045e-01	1.050388932773284267e+01	nan
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	4.000000000000000000e+01	3.996576060283189152e-02	6.234481302157153515e-03	5.052062454192644825e-03	1.000856915073055770e-01	1.000856915073056186e+01	nan
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	5.000000000000000000e+01	4.985183328696450589e-02	5.749766352298529663e-03	4.643540417966013183e-03	1.002977814989872984e-01	1.002977814989873195e+01	nan
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	6.000000000000000000e+01	5.990079445738387409e-02	5.614420373652225654e-03	4.519790362403877833e-03	1.001657258038382708e-01	1.001657258038382636e+01	nan
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	7.000000000000000000e+01	6.992002142233445794e-02	5.296242856959327769e-03	4.023779469101089468e-03	1.001144444986229176e-01	1.001144444986229232e+01	nan
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	8.000000000000000000e+01	7.989437703951011993e-02	5.042869778474649498e-03	3.750079593536087379e-03	1.001323271506109752e-01	1.001323271506109691e+01	nan
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	9.000000000000000000e+01	8.982145745031175355e-02	4.982428066107947792e-03	3.474896207350174245e-03	1.001991768502658725e-01	1.001991768502658786e+01	nan
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	1.000000000000000000e+02	9.983023545417722688e-02	4.982766597565403861e-03	3.273967319045052553e-03	1.001701655100307453e-01	1.001701655100307775e+01	nan
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	1.100000000000000000e+02	1.098167864724337167e-01	4.717663323502863798e-03	3.161299782693653606e-03	1.001670178847341719e-01	1.001670178847341575e+01	nan
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	1.200000000000000000e+02	1.197757171430907930e-01	4.568490388418348404e-03	3.020295835124025153e-03	1.001875539494351264e-01	1.001875539494351131e+01	nan
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	1.300000000000000000e+02	1.256744386498487853e-01	4.622129777156422543e-03	2.965470902735669635e-03	1.048300360082717458e-01	1.048300360082717297e+01	nan
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	1.400000000000000000e+02	1.397660625058028960e-01	4.608808643141765367e-03	2.834914716455562856e-03	1.001675092561568475e-01	1.001675092561568547e+01	nan
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	1.500000000000000000e+02	1.497910598088628975e-01	4.435457994222151076e-03	2.696697629894751879e-03	1.001395919108896138e-01	1.001395919108896138e+01	nan
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	1.600000000000000000e+02	1.597980553578668139e-01	4.242631283525874833e-03	2.659927822877847757e-03	1.001264054721546781e-01	1.001264054721546870e+01	nan
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	1.700000000000000000e+02	1.642310846320896300e-01	4.617798904439552980e-03	2.535778583146119317e-03	1.048854991528834490e-01	1.048854991528834546e+01	nan
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	1.800000000000000000e+02	1.797336808302861799e-01	4.308234958140901016e-03	2.476036522094138791e-03	1.001484956907416485e-01	1.001484956907416723e+01	nan
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	1.900000000000000000e+02	1.891987737989120344e-01	4.253846401669827103e-03	2.517900738815453260e-03	1.004296635407810057e-01	1.004296635407809823e+01	nan
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	2.000000000000000000e+02	1.995250765476021260e-01	4.192917110002821954e-03	2.395251418833726532e-03	1.002385253756636480e-01	1.002385253756636452e+01	nan
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	2.100000000000000000e+02	2.097811500589841782e-01	4.534365131941697422e-03	2.311230806420182422e-03	1.001043588502934234e-01	1.001043588502934334e+01	nan
