,Simulation Number,PG.cFactor,ExitSlit.openingHeight,SU.photonEnergy,PG.orderDiffraction,SU.numberRays,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,PhotonFlux1,PhotonFlux3,PhotonFlux5,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5
0,0,2.25,0.02,100,1,100000.0,,497.5,0.4975,100.0,0.0029420239339117,0.0373640060112748,0.0060106830062478,12039500000000.0,7761000000000.0,6268500000000.0,34.166911533246235,16.98206715668074,410966025191673.9,264920247644219.47,213974046174177.25,4.981689859446828e-05,3.211337264767377e-05,2.5937724061582656e-05,2.39706526500219e-05,1.5452156253733124e-05,1.2480587743399831e-05
1,1,2.25,0.02,105,1,100000.0,,536.0,0.536,105.0,0.0022315392452512,0.0385931163813963,0.007300136909284,12971200000000.0,8361600000000.0,6753600000000.0,47.2229896329573,25.36539827081665,613842638153763.0,395700213024739.8,319604018212289.9,5.671136658256955e-05,3.65577404416564e-05,2.9527405741337864e-05,2.877913007207429e-05,1.8551835914229707e-05,1.4984175161493224e-05
2,2,2.25,0.02,110,1,100000.0,,584.0,0.584,110.0,0.0028642270864622,0.0430057455401813,0.0066074405961227,14132800000000.0,9110400000000.0,7358400000000.0,39.08530677235796,22.892865323202244,554007340821494.4,357128699041955.1,288450103072348.4,6.401254739484773e-05,4.126428675039772e-05,3.332884699070585e-05,3.5405377645169616e-05,2.282330129192752e-05,1.8434204889633763e-05
3,3,2.25,0.02,115,1,100000.0,,668.5,0.6685,115.0,0.0030974850649982,0.0382296738477705,0.0075319352828125,16177700000000.0,10428600000000.0,8423100000000.0,38.17667601292735,25.536934550375584,617993816119089.1,398376178985859.1,321765375334732.4,7.601809422635441e-05,4.9003399583930944e-05,3.957966889471346e-05,4.414732786097892e-05,2.8458608042614503e-05,2.298579880365018e-05
4,4,2.25,0.02,120,1,100000.0,,675.0,0.675,120.0,0.003611966614521,0.037916227146608,0.0070631341341392,16335000000000.002,10530000000000.002,8505000000000.001,33.51724658066571,22.624141441949355,547504222895174.4,352936606494410.0,285064182168561.9,7.936903254258716e-05,5.116350858117189e-05,4.132437231556191e-05,4.894748670312383e-05,3.155292531275752e-05,2.5485055060304143e-05
5,5,2.25,0.02,125,1,100000.0,,710.0,0.71,125.0,0.0040578521391338,0.038142502508241,0.0075529671306095,17182000000000.0,11076000000000.0,8946000000000.0,30.9258394174346,21.998030378886646,532352335169056.9,343169273910631.75,277175182773971.72,8.692513130299041e-05,5.603438216225828e-05,4.525853943874708e-05,5.4117217224783934e-05,3.488547887217477e-05,2.817673293521808e-05
6,6,2.25,0.02,130,1,100000.0,,706.0,0.7060000000000001,130.0,0.0038123732569914,0.0346969193776491,0.0068626605267046,17085200000000.0,11013600000000.0,8895600000000.0,34.101414050145394,24.075086587039777,582617095406362.5,375571350757820.5,303346090996701.25,8.976827908176009e-05,5.786715511055609e-05,4.6738856050833775e-05,5.671115654884207e-05,3.65576050480139e-05,2.9527296384934296e-05
7,7,2.25,0.02,135,1,100000.0,,754.0,0.754,135.0,0.0033570279337453,0.0335256708908801,0.0059438686323958,18246800000000.0,11762400000000.0,9500400000000.0,41.10904892323083,31.14785721039959,753778144491670.1,485906572482233.6,392463000851034.9,9.96772707320938e-05,6.425476956285365e-05,5.189808310845872e-05,6.336585526784148e-05,4.0847410833815166e-05,3.299213951961995e-05
8,8,2.25,0.02,140,1,100000.0,,757.0,0.757,140.0,0.0044811659504375,0.0287283507989745,0.0075567865272295,18312329377146.8,11809200000000.0,9538200000000.0,33.42299085501713,25.318280331258972,612465903155814.6,394965173167640.0,319010332173863.06,0.0001043276281084,6.727848765087635e-05,5.4340316948784734e-05,6.667466239876935e-05,4.299695614814384e-05,3.472831073503925e-05
9,9,2.25,0.02,145,1,100000.0,,793.5,0.7935000000000001,145.0,0.0048021822440488,0.0377833651817723,0.0065204144154948,19125085158722.27,12378600000000.0,9998100000000.0,30.358286011223328,24.10378933731915,580954031158324.5,376019113662178.6,303707745650221.25,0.0001128982301403,7.307272203061399e-05,5.9020275486265135e-05,7.256940130499984e-05,4.697012240933133e-05,3.7937406561383e-05
