P0	SU_photonEnergy	SU_outgoingMaxF_X	SU_outgoingMinF_X	SU_outgoingMaxF_Y	SU_outgoingMinF_Y	SU_intensityH_width_X	SU_intensityH_centerWidth_X	SU_intensityH_centerMass_X	SU_intensityH_width_Y	SU_intensityH_centerWidth_Y	SU_intensityH_centerMass_Y	SU_energyH_width	SU_energyH_centerWidth	SU_energyH_centerMass	SU_pathlengthH_width	SU_pathlengthH_centerWidth	SU_pathlengthH_centerMass	SU_phi_width	SU_phi_centerWidth	SU_phi_centerMass	SU_psi_width	SU_psi_centerWidth	SU_psi_centerMass	SU_incoming_NO	SU_absorbed_NO	SU_outgoing_NO	SU_incoming_R	SU_absorbed_R	SU_outgoing_R	SU_efficiency	SU_S1S0	SU_S2S0	SU_S3S0	SU_focus_horizontal_z0	SU_focus_horizontal_width	SU_focus_horizontal_theta	SU_focus_horizontal_depth	SU_focus_vertical_z0	SU_focus_vertical_width	SU_focus_vertical_theta	SU_focus_vertical_depth
0	100	1.03951436652418	-1.0394238959634	0.239716680913636	-0.240758000081948	0.544315216543863	-0.000194614749270461	4.52352803894662e-05	0.125466398093901	0.000170261047507836	-0.000520659584155814	0.0999999277517105	100.000000011145	100.000000011145	0	0	0	0.0060680539009678	9.91375561306112e-07	-7.88644487853939e-05	0.00539035709453973	-4.50892681558811e-06	-6.21910061752995e-06	2000000	0	2000000	100	0	100	100	1.000	0.000	0.000	-0.617245	0.231944	4.49323e-05	10324.2	0.276605	0.0534913	3.97287e-05	2692.83
1	151.282051282	1.03135775742055	-1.02081728944878	0.201522800660156	-0.199789071098241	0.543193874794614	-0.00121371410502019	0.005270233985885	0.104844290104233	-0.000140759425176773	0.000866864780957571	0.151282012302858	151.282051277007	151.282051277007	0	0	0	0.005179526097526	-4.80482799517174e-06	-4.68442857127355e-06	0.00437711340087223	6.59821175992429e-06	-1.594129471927e-05	2000000	0	2000000	100	0	100	100	1.000	0.000	0.000	-2.82455	0.23006	3.86441e-05	11906.6	0.814815	0.0448451	3.24071e-05	2767.61
2	202.564102564	1.02603368423374	-1.02264118418422	0.179168057048247	-0.178172366353324	0.536614716702529	-0.00100479955524224	0.00169625002476304	0.0938643043026973	0.000157363209088886	0.000497845347461473	0.202564002032346	202.564102555516	202.564102555516	0	0	0	0.00471885986790789	6.75005340186044e-06	3.20653928213496e-07	0.00379321065805859	1.10492951360328e-06	-5.15262637505219e-05	2000000	0	2000000	100	0	100	100	1.000	0.000	0.000	1.0276	0.229049	3.51085e-05	13048.1	-2.54486	0.0398768	2.81317e-05	2835.01
3	253.846153846	1.02624107262076	-1.02764097701555	0.163613025340354	-0.161728867457326	0.538731450453636	-0.00106349419203161	-0.000699952197395382	0.0869125304521146	-0.000111143810628822	0.000942078941514324	0.253846097517112	253.846153848679	253.846153848679	0	0	0	0.00440251803674674	-9.84828929010946e-06	1.2373307111414e-05	0.00340483307153629	9.21499640175105e-06	3.10123455591216e-06	2000000	0	2000000	100	0	100	100	1.000	0.000	0.000	4.80546	0.228725	3.28882e-05	13909.2	-0.742095	0.0366583	2.52526e-05	2903.32
4	305.128205128	1.0244928177506	-1.02045838540531	0.153716682591202	-0.152764892896145	0.539045494728082	0.000590052431431287	0.00201721617264661	0.0805138051644836	-0.000290403493451399	0.000475894847528274	0.305128071546903	305.1282051753	305.1282051753	0	0	0	0.00422992830212193	-1.27205663878098e-06	1.8550900229149e-05	0.00314065623391849	-2.44546976232193e-06	-7.66996782609712e-06	2000000	0	2000000	100	0	100	100	1.000	0.000	0.000	-1.84995	0.228491	3.12706e-05	14613.8	0.281992	0.0342801	2.31307e-05	2964.03
5	356.41025641	1.01450311162038	-1.02608637789474	0.146214565429059	-0.146064991493362	0.539253201179286	-0.000174145479078625	-0.00579163313717768	0.0766528221879387	1.19256434360504e-05	7.47869678485169e-05	0.356409435805347	356.410256245761	356.410256245761	0	0	0	0.00403801085463387	1.45312914397308e-06	-3.21535565150069e-05	0.00288872788279604	-2.0798824990711e-06	-2.66784903266747e-05	2000000	0	2000000	100	0	100	100	1.000	0.000	0.000	-8.6115	0.228034	3.00737e-05	15165	0.703966	0.032539	2.14861e-05	3028.84
6	407.692307692	1.02330785466265	-1.01500147202204	0.139222445632859	-0.1398468637207	0.53864098086172	0.000205667067674387	0.00415319132030301	0.073137718996052	-2.97205306831888e-05	-0.000312209043920597	0.407692074814122	407.692307767113	407.692307767113	0	0	0	0.00392805411295927	-3.53278994876362e-06	5.36372474774088e-05	0.00272795577602333	2.06538626118503e-06	-5.13264051413016e-06	2000000	0	2000000	100	0	100	100	1.000	0.000	0.000	-1.48926	0.22793	2.91477e-05	15639.6	0.457058	0.0311128	2.01842e-05	3082.88
7	458.974358974	1.0217358885025	-1.02174603213899	0.134021546729255	-0.132968401149453	0.536647491120407	-0.000181523207256562	-5.07181824294101e-06	0.0709127051758905	-3.63481443736852e-05	0.000526572789900676	0.458974119348511	458.974359087244	458.974359087244	0	0	0	0.00383754108703736	2.86466363136383e-06	-1.35469896663382e-05	0.00257928507132943	-2.94954444750545e-06	2.89410458009899e-05	2000000	0	2000000	100	0	100	100	1.000	0.000	0.000	-2.11588	0.227558	2.84136e-05	16017.6	-2.27935	0.0299858	1.9099e-05	3140.03
8	510.256410256	1.01874795740756	-1.00607832104554	0.12971570355485	-0.130550988106001	0.537082425186603	0.000878944508228618	0.00633481818100945	0.0679412957692068	0.000158467887580414	-0.000417642275575447	0.510255739843785	510.256410349313	510.256410349313	0	0	0	0.00376247173900433	1.11113853890196e-06	7.39682094245964e-06	0.00244047636845314	1.06650854787057e-06	-9.44263185103083e-06	2000000	0	2000000	100	0	100	100	1.000	0.000	0.000	-6.39113	0.227707	2.7809e-05	16376.5	0.63653	0.0290527	1.81969e-05	3193.16
9	561.538461538	1.01955616913888	-1.01895651660785	0.125544117254663	-0.127214786801773	0.533653135140363	4.58892043567194e-05	0.000299826265517389	0.0668906260274294	-7.31158236465107e-05	-0.000835334773554658	0.561537729902398	561.538461255477	561.538461255477	0	0	0	0.00368435198011741	-2.32329026421526e-07	-4.19067879083579e-05	0.00234887033761878	-3.8274511959598e-06	-2.11483087758863e-05	2000000	0	2000000	100	0	100	100	1.000	0.000	0.000	5.46182	0.227371	2.72972e-05	16658.9	-1.09395	0.0282879	1.74138e-05	3248.91
