P0	SU_photonEnergy	DetectorAtFocus_outgoingMaxF_X	DetectorAtFocus_outgoingMinF_X	DetectorAtFocus_outgoingMaxF_Y	DetectorAtFocus_outgoingMinF_Y	DetectorAtFocus_intensityH_width_X	DetectorAtFocus_intensityH_centerWidth_X	DetectorAtFocus_intensityH_centerMass_X	DetectorAtFocus_intensityH_width_Y	DetectorAtFocus_intensityH_centerWidth_Y	DetectorAtFocus_intensityH_centerMass_Y	DetectorAtFocus_energyH_width	DetectorAtFocus_energyH_centerWidth	DetectorAtFocus_energyH_centerMass	DetectorAtFocus_pathlengthH_width	DetectorAtFocus_pathlengthH_centerWidth	DetectorAtFocus_pathlengthH_centerMass	DetectorAtFocus_phi_width	DetectorAtFocus_phi_centerWidth	DetectorAtFocus_phi_centerMass	DetectorAtFocus_psi_width	DetectorAtFocus_psi_centerWidth	DetectorAtFocus_psi_centerMass	DetectorAtFocus_incoming_NO	DetectorAtFocus_absorbed_NO	DetectorAtFocus_outgoing_NO	DetectorAtFocus_incoming_R	DetectorAtFocus_absorbed_R	DetectorAtFocus_outgoing_R	DetectorAtFocus_efficiency	DetectorAtFocus_S1S0	DetectorAtFocus_S2S0	DetectorAtFocus_S3S0	DetectorAtFocus_focus_horizontal_z0	DetectorAtFocus_focus_horizontal_width	DetectorAtFocus_focus_horizontal_theta	DetectorAtFocus_focus_horizontal_depth	DetectorAtFocus_focus_vertical_z0	DetectorAtFocus_focus_vertical_width	DetectorAtFocus_focus_vertical_theta	DetectorAtFocus_focus_vertical_depth
0	100	0.0485139499477345	-0.0553400234390671	0.0111734765186216	-0.011359321965818	0.0332796246637889	0.000659188047671264	-0.000328265258929629	0.0147239739373092	9.13468298874816e-05	-9.29227235981767e-05	0.11302934141782	999.999593385046	999.999710879164	0.986760809704831	0.00415281452866401	0.0028536087492057	0.00486153987629606	-1.52819213349508e-05	-9.7171464390344e-05	0.0182725396939105	-0.000663407921500551	0.000110941822542808	6841	0	6841	3.4205	0	3.4205	100	1.000	-0.000	0.000	-5.86864	0.0139539	3.71781e-05	750.655	-3.11187	0.0046179	0.000153828	60.0397
1	150	0.0582219167402145	-0.0678925269623174	0.0108904038096213	-0.0112182747631972	0.0328207511523252	0.000269654719767785	0.000159326322712192	0.0150674657600232	-0.000157854982130975	5.49623308637032e-05	0.103151066933073	1000.00274853652	999.999714681605	0.979363272084741	0.00278046632054829	-0.00799672525067763	0.00540098427244393	-0.000107161105081799	4.45576217869229e-05	0.019657569993951	0.000149447153368874	5.5839677207202e-05	6891	0	6891	3.4455	0	3.4455	100	1.000	-0.000	0.000	-0.0912266	0.0140524	3.76158e-05	747.152	-3.30877	0.00466535	0.000154094	60.5519
2	200	0.0501470011472719	-0.0491928972579247	0.0109442703143888	-0.0108953212058229	0.030739056801695	0.00039058483693326	0.000477051944673609	0.0146684997231161	-0.00013082047092831	2.44745542829147e-05	0.115090857224368	1000.00139506099	999.99939034787	0.989938865880985	0.0016906564915416	0.00666165510070005	0.00489609887944817	2.65225471833145e-05	-8.00390427168358e-05	0.0183675967483961	6.13408958407002e-05	-0.000339702581720745	6952	0	6952	3.476	0	3.476	100	1.000	-0.000	0.000	-7.2425	0.0139607	3.73124e-05	748.314	-4.09322	0.00464185	0.000153079	60.6465
3	250	0.0518709220949209	-0.0539634258513005	0.0107874818931195	-0.0116303549752505	0.0328549285600378	0.000449138557931526	1.61295296090963e-06	0.0147713568672279	7.2421746381255e-05	2.24810206843912e-05	0.126475509075986	1000.00191958981	999.999176173918	0.979894113814728	0.000344509385665603	-0.00568998688493139	0.00472696599427576	4.9032863873351e-05	7.48549788806407e-05	0.0194686720615853	0.000457768263446153	6.8764745844857e-06	6766	0	6766	3.383	0	3.383	100	1.000	-0.000	0.000	-7.88619	0.0141858	3.70521e-05	765.725	-3.86823	0.00463849	0.00015166	61.1698
4	300	0.0563649700170245	-0.0490834522911842	0.0110316274769312	-0.0108744258565266	0.0292549768986264	-0.00065504629505659	0.000508627507230783	0.0145572550107603	0.000129634131887665	7.86008102022645e-05	0.111246110624159	1000.00246709697	999.999877672308	0.994844170451804	-0.0025241576186289	-0.00689479681057825	0.00492981088223822	3.93011400587474e-05	-1.77844681524455e-05	0.016987777059553	-3.29576786434003e-05	-0.000183259146892857	6735	0	6735	3.3675	0	3.3675	100	1.000	-0.000	0.000	-9.4688	0.0139359	3.79945e-05	733.573	-3.88954	0.00465597	0.00015011	62.0341
5	350	0.0590602817574116	-0.0513766942544774	0.0114107552729919	-0.0113232558051616	0.0338418258175046	-0.000231253136100108	0.000561487533292167	0.0152052882825373	0.000145295665486101	4.37497339151396e-05	0.108999348024267	1000.00504242077	1000.00080451954	0.983901715928019	-0.00198547387675962	-0.000108083196096231	0.00464679988697914	2.24483338891273e-05	3.2866494626034e-07	0.0182176476024396	-0.000176428333351922	-0.000130241341349029	6895	0	6895	3.4475	0	3.4475	100	1.000	-0.000	0.000	5.99884	0.0140788	3.74184e-05	752.509	-3.93562	0.00464893	0.000153445	60.5939
6	400	0.049279177445395	-0.0491045900086585	0.0107202559845497	-0.0107066664156268	0.0306207932522228	-0.000744483664954915	8.72937183682143e-05	0.0145806279333029	-0.000145034197384053	6.79478446145854e-06	0.109745464559624	999.999187249876	999.999713426761	0.993566600481944	0.00106922234069096	-0.00327075989787318	0.004936864056503	-0.000103644960026776	3.68349114997319e-05	0.0210464515101336	-0.000128973642286355	-0.000298233870565892	6878	0	6878	3.439	0	3.439	100	1.000	-0.000	0.000	2.78757	0.0139979	3.71892e-05	752.795	-4.38697	0.00462923	0.000152441	60.7348
7	450	0.0492542372055386	-0.0563751388561929	0.0112806650910043	-0.0110026045062497	0.0315559209510704	0.000339807532941213	0.000622890800880037	0.0154024827599832	-4.71232593324327e-05	-8.15961392786804e-05	0.111324292057175	1000.00075121575	999.998477794767	0.984396635738647	0.00353487389571999	-3.17805815939209e-05	0.00482749105107705	0.000170847284327008	5.62280833936151e-05	0.0193025797482029	0.000974226456255931	0.00038721185656683	6893	0	6893	3.4465	0	3.4465	100	1.000	-0.000	0.000	-13.2554	0.0140668	3.74044e-05	752.149	-3.3562	0.00468043	0.00015251	61.3787
8	500	0.0547646941157316	-0.0474127555619341	0.0109461366723358	-0.0115827476271524	0.0325727226890631	-0.000523742209982921	0.000640995524096778	0.0148489606851264	-7.15212995688911e-05	-9.52472170173118e-05	0.112808619714386	1000.00184999926	999.998200993667	0.968853094774827	0.00186513475324057	-0.00163527699351107	0.00471163660078075	3.43389062582716e-05	-0.000102412637189516	0.0170715115129159	-7.41166499851603e-05	-0.000219104189035944	6832	0	6832	3.416	0	3.416	100	1.000	-0.000	0.000	-11.5466	0.0141071	3.70974e-05	760.546	-4.27827	0.00463966	0.000153677	60.3821
9	550	0.0493864655964137	-0.049341402457531	0.0114059605941246	-0.0114473750953793	0.0317199932509951	-0.000221844341583267	2.25315694413475e-05	0.015377261978096	-6.64184931305923e-05	-2.07072506273331e-05	0.109182726282599	999.99712269226	1000.00048012718	0.993142129670257	0.000656503343970161	0.0133630300797719	0.00543032315530221	5.06584958649497e-05	-5.32421707631018e-06	0.0190225915836913	-0.000200599125640466	-8.6005200437507e-05	6849	0	6849	3.4245	0	3.4245	100	1.000	-0.000	0.000	-12.1689	0.0142615	3.73756e-05	763.146	-3.43627	0.00465686	0.000152659	61.01
