,Simulation Number,PG.cFactor,SU.photonEnergy,PG.orderDiffraction,SU.numberRays,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonFlux,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs
0,0,2.5,100,1,100000.0,,283.75,0.28375,,10.0,0.0005807154110507894,0.009976080519180844,0.0006692242929680378,1.7330833938452717,4.91708822766203,
1,1,2.5,200,1,100000.0,,419.95,0.41994999999999993,,20.0,0.0013152198213057886,0.008557476503656476,0.0006680291427101678,1.525975253505454,6.410333786071574,
2,2,2.5,300,1,100000.0,,522.52,0.5225199999999999,,30.0,0.002076176560817089,0.008010696149404303,0.0006767242424849118,1.4507224462559327,7.579675108385416,
3,3,2.5,400,1,100000.0,,604.75,0.6047499999999999,,40.0,0.0030868379946019783,0.007868704522968449,0.0006591524736161267,1.2984395815104908,7.850779271443448,
4,4,2.5,500,1,100000.0,,677.2,0.6772,,50.0,0.004226182979188592,0.007802919446502895,0.0006776706127464329,1.1891978332365207,8.053860837982697,
5,5,2.5,600,1,100000.0,,739.72,0.7397199999999998,,60.0,0.005287794681199784,0.0078260138299044,0.0006920020415444105,1.1365788286507634,8.408115107281374,
6,6,2.5,700,1,100000.0,,804.6899999999998,0.8046900000000001,,70.0,0.006444839861444507,0.007637498050080154,0.0006951092957893168,1.0885069120386204,8.758989186228295,
7,7,2.5,800,1,100000.0,,855.91,0.85591,,80.0,0.007984200357758483,0.007707735554414211,0.0006970951784186064,1.0054310638894175,8.610676099960534,
8,8,2.5,900,1,100000.0,,909.92,0.90992,,90.0,0.0092423008413175,0.007265963848969607,0.0006759132651865333,0.9778158589759895,8.896652832594137,
9,9,2.5,1000,1,100000.0,,958.0100000000001,0.95801,,100.0,0.010939024834733573,0.0076778917423638866,0.0006897281493930537,0.9170470227731788,8.783660582358461,
10,10,2.5,1100,1,100000.0,,1011.58,1.01158,,110.0,0.012073224115360971,0.007566834166771031,0.0006860712404093137,0.9131093625090205,9.236669852470127,
11,11,2.5,1200,1,100000.0,,1049.0,1.049,,120.0,0.013601872553094835,0.0073568084384927155,0.0006941436234839248,0.8853656781406862,9.290081272871488,
12,12,2.5,1300,1,100000.0,,1095.34,1.0953399999999995,,130.0,0.015618435040566961,0.007295106549833533,0.0006949364210701828,0.8355702354837251,9.152708574972705,
13,13,2.5,1400,1,100000.0,,1132.07,1.13207,,140.0,0.01719889721331356,0.007414164638597699,0.0006973644814627626,0.8152870880221204,9.230734071414272,
14,14,2.5,1500,1,100000.0,,1171.81,1.1718099999999996,,150.0,0.01912327986300852,0.007198776332045883,0.0006904684434085054,0.7873917250136475,9.226726129791139,
15,15,2.5,1600,1,100000.0,,1212.04,1.21204,,160.0,0.020746268444779618,0.0072554370872040495,0.0006927691068471808,0.7724790533768291,9.362352428244058,
16,16,2.5,1700,1,100000.0,,1258.92,1.25892,,170.0,0.022774766639927294,0.00734514093773306,0.0006851001795831274,0.747219113843318,9.406646992889936,
17,17,2.5,1800,1,100000.0,,1285.85,1.28585,,180.0,0.023998220856774423,0.00730004196484719,0.0006818761781412846,0.7506322340420096,9.651090955087202,
18,18,2.5,1900,1,100000.0,,1320.65,1.32065,,190.0,0.026198097874241735,0.0072397838734826435,0.00068904569063245,0.7276216470797462,9.610820493848273,
19,19,2.5,2000,1,100000.0,,1355.25,1.35525,,200.0,0.028106001156281764,0.0072217122178765665,0.0007008980277044467,0.7132447321069824,9.666068327713413,
20,20,2.5,2100,1,100000.0,,1387.84,1.38784,,210.0,0.030784879351749624,0.007233179824474819,0.0006879714548978054,0.6829550125258811,9.478880057348828,
