,Simulation Number,PG.cFactor,SU.photonEnergy,PG.orderDiffraction,SU.numberRays,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonFlux,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs
0,0,2.5,100,1,100000.0,,2837.5,2.8375,,100.0,0.0058071541105078955,0.09976080519180845,0.006692242929680378,17.330833938452717,49.170882276620304,
1,1,2.5,200,1,100000.0,,4199.5,4.1995,,200.0,0.013152198213057884,0.08557476503656476,0.006680291427101678,15.25975253505454,64.10333786071574,
2,2,2.5,300,1,100000.0,,5225.2,5.225199999999999,,300.0,0.020761765608170887,0.08010696149404302,0.006767242424849118,14.50722446255933,75.79675108385416,
3,3,2.5,400,1,100000.0,,6047.5,6.0475,,400.0,0.030868379946019785,0.07868704522968446,0.006591524736161267,12.984395815104907,78.50779271443449,
4,4,2.5,500,1,100000.0,,6772.0,6.772,,500.0,0.042261829791885926,0.07802919446502894,0.006776706127464329,11.891978332365207,80.53860837982698,
5,5,2.5,600,1,100000.0,,7397.2,7.397199999999998,,600.0,0.052877946811997846,0.078260138299044,0.006920020415444106,11.365788286507632,84.08115107281374,
6,6,2.5,700,1,100000.0,,8046.899999999999,8.0469,,700.0,0.06444839861444507,0.07637498050080153,0.006951092957893168,10.885069120386204,87.58989186228294,
7,7,2.5,800,1,100000.0,,8559.1,8.5591,,800.0,0.07984200357758482,0.0770773555441421,0.006970951784186064,10.054310638894176,86.10676099960534,
8,8,2.5,900,1,100000.0,,9099.2,9.0992,,900.0,0.09242300841317502,0.07265963848969606,0.006759132651865334,9.778158589759895,88.96652832594138,
9,9,2.5,1000,1,100000.0,,9580.1,9.5801,,1000.0,0.10939024834733573,0.07677891742363886,0.006897281493930538,9.170470227731789,87.8366058235846,
10,10,2.5,1100,1,100000.0,,10115.8,10.115799999999998,,1100.0,0.12073224115360973,0.0756683416677103,0.006860712404093136,9.131093625090205,92.36669852470128,
11,11,2.5,1200,1,100000.0,,10490.0,10.489999999999998,,1200.0,0.13601872553094835,0.07356808438492715,0.006941436234839248,8.853656781406862,92.90081272871488,
12,12,2.5,1300,1,100000.0,,10953.4,10.953399999999998,,1300.0,0.15618435040566964,0.07295106549833534,0.006949364210701828,8.355702354837252,91.52708574972704,
13,13,2.5,1400,1,100000.0,,11320.7,11.320699999999999,,1400.0,0.17198897213313555,0.07414164638597699,0.006973644814627626,8.152870880221203,92.30734071414274,
14,14,2.5,1500,1,100000.0,,11718.1,11.718099999999996,,1500.0,0.1912327986300852,0.07198776332045882,0.006904684434085054,7.873917250136474,92.26726129791139,
15,15,2.5,1600,1,100000.0,,12120.4,12.1204,,1600.0,0.20746268444779617,0.0725543708720405,0.006927691068471809,7.72479053376829,93.62352428244057,
16,16,2.5,1700,1,100000.0,,12589.2,12.5892,,1700.0,0.2277476663992729,0.07345140937733059,0.006851001795831274,7.472191138433181,94.06646992889937,
17,17,2.5,1800,1,100000.0,,12858.5,12.8585,,1800.0,0.23998220856774424,0.0730004196484719,0.006818761781412845,7.506322340420096,96.510909550872,
18,18,2.5,1900,1,100000.0,,13206.5,13.2065,,1900.0,0.2619809787424174,0.07239783873482643,0.0068904569063244995,7.276216470797462,96.10820493848271,
19,19,2.5,2000,1,100000.0,,13552.5,13.5525,,2000.0,0.2810600115628176,0.07221712217876566,0.007008980277044466,7.132447321069824,96.66068327713411,
20,20,2.5,2100,1,100000.0,,13878.4,13.8784,,2100.0,0.3078487935174962,0.0723317982447482,0.006879714548978054,6.829550125258811,94.78880057348829,
