,Simulation Number,PG.cFactor,SU.photonEnergy,PG.orderDiffraction,SU.numberRays,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonFlux,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs
0,0,2.5,100,1,100000.0,,100000.0,100.0,,100.0,0.09979013393563747,0.4891405215546888,0.11319761069343529,1.0021059782642763,100.2105978264276,
1,1,2.5,200,1,100000.0,,100000.0,100.0,,200.0,0.19980547165010024,0.47235865243371816,0.08109509660894818,1.0009738218403867,100.09738218403868,
2,2,2.5,300,1,100000.0,,100000.0,100.0,,300.0,0.29943036437676934,0.46886136648422166,0.0728943655014977,1.00190584827097,100.190584827097,
3,3,2.5,400,1,100000.0,,100000.0,100.0,,400.0,0.3995632274703837,0.4784258499317372,0.06644379418693627,1.001093399765972,100.10933997659718,
4,4,2.5,500,1,100000.0,,100000.0,100.0,,500.0,0.4981492997650491,0.4811139921120812,0.06051932855416613,1.0037501930889752,100.37501930889748,
5,5,2.5,600,1,100000.0,,100000.0,100.0,,600.0,0.5993532407425619,0.4628796394784492,0.05963076929567564,1.0010796019684787,100.10796019684786,
6,6,2.5,700,1,100000.0,,100000.0,100.0,,700.0,0.6766135687263898,0.459298652491242,0.05669855604112847,1.0486034321101232,104.86034321101232,
7,7,2.5,800,1,100000.0,,100000.0,100.0,,800.0,0.7982525513914539,0.4698297947491984,0.05459458266855375,1.0021908422964358,100.21908422964358,
8,8,2.5,900,1,100000.0,,100000.0,100.0,,900.0,0.8988212201717034,0.472741346160932,0.0515281502783179,1.0013124465851715,100.13124465851716,
9,9,2.5,1000,1,100000.0,,100000.0,100.0,,1000.0,0.9983184205515384,0.4714677564836724,0.05123777597396464,1.001685907777038,100.1685907777038,
10,10,2.5,1100,1,100000.0,,100000.0,100.0,,1100.0,1.0981619848739907,0.4719371306989271,0.050505076683320806,1.0016744965311994,100.16744965311996,
11,11,2.5,1200,1,100000.0,,100000.0,100.0,,1200.0,1.1971126288636011,0.4750228989359404,0.05041601149904762,1.002428053306255,100.24280533062552,
12,12,2.5,1300,1,100000.0,,100000.0,100.0,,1300.0,1.298392986300314,0.4700023839236148,0.04718904144650804,1.0012388470941285,100.12388470941286,
13,13,2.5,1400,1,100000.0,,100000.0,100.0,,1400.0,1.3978799552171495,0.46014682672222335,0.04841870420697161,1.0015184528553145,100.15184528553144,
14,14,2.5,1500,1,100000.0,,100000.0,100.0,,1500.0,1.4977588967054316,0.4761705685082901,0.04709630008184144,1.001498604541896,100.14986045418962,
15,15,2.5,1600,1,100000.0,,100000.0,100.0,,1600.0,1.5970391725570152,0.48427528047014984,0.04803506493235066,1.0018550129813908,100.18550129813907,
16,16,2.5,1700,1,100000.0,,100000.0,100.0,,1700.0,1.6978854519450803,0.4873358673769072,0.04692904035135072,1.001245797482562,100.1245797482562,
17,17,2.5,1800,1,100000.0,,100000.0,100.0,,1800.0,1.7950376085324706,0.4679773175570524,0.04485201546945855,1.0027749680228055,100.27749680228058,
18,18,2.5,1900,1,100000.0,,100000.0,100.0,,1900.0,1.897715408321278,0.4640713628134446,0.046988812370253354,1.0012043985601449,100.12043985601449,
19,19,2.5,2000,1,100000.0,,100000.0,100.0,,2000.0,1.9951161576287857,0.4742558287433992,0.045407529911904686,1.0024569482493768,100.2456948249377,
20,20,2.5,2100,1,100000.0,,100000.0,100.0,,2100.0,2.0950828837354942,0.465119201349456,0.044324477466142445,1.0023517263083999,100.23517263083995,
