,Simulation Number,PG.cFactor,SU.photonEnergy,PG.orderDiffraction,SU.numberRays,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonFlux,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs
0,0,2.5,100,1,100000.0,,253.19,0.25319,,10.0,0.0003760631015194349,0.007532716721946211,0.0014082015088496811,2.678471750980429,6.78666042584874,
1,1,2.5,200,1,100000.0,,140.70999999999995,0.14071,,20.0,0.0009414617919381384,0.00501661982621114,0.0013676667535476156,2.1423568661332215,3.012715213113424,
2,2,2.5,300,1,100000.0,,153.34,0.15334,,30.0,0.0016050057834553395,0.004375767369679279,0.0013830029131292252,1.8821062306310627,2.8858931637300835,
3,3,2.5,400,1,100000.0,,179.12,0.17912,,40.0,0.0027038717864439838,0.003850942828418432,0.001396622541207955,1.4861764905890171,2.663943040209772,
4,4,2.5,500,1,100000.0,,210.7,0.2107,,50.0,0.003735321296462076,0.0036499378762526874,0.0013957538739075715,1.3456049738965483,2.838204221474673,
5,5,2.5,600,1,100000.0,,232.68,0.23268,,60.0,0.0048067462389360565,0.0033619741913790274,0.0013953985274777112,1.2500056468731369,2.90849846316383,
6,6,2.5,700,1,100000.0,,261.75,0.26175000000000004,,70.0,0.006019167615675088,0.0032286174282479298,0.00144001368336733,1.1672691130683184,3.05471345633748,
7,7,2.5,800,1,100000.0,,285.39,0.2853899999999999,,80.0,0.00755680020394152,0.0030620833016277277,0.0013871339654265883,1.0619734060770445,3.0318636545167523,
8,8,2.5,900,1,100000.0,,318.11,0.31811,,90.0,0.008848284404417654,0.0029926197486436867,0.0014277640492788572,1.0206557500547144,3.247797280289804,
9,9,2.5,1000,1,100000.0,,346.55,0.34655,,100.0,0.010698422881769146,0.002907329483674879,0.0014252082995056268,0.936554956885496,3.246243374436866,
10,10,2.5,1100,1,100000.0,,373.56,0.37356000000000006,,110.0,0.012066630687768337,0.0026517544681708633,0.0014160699331051889,0.9130528746010367,3.410408788340581,
11,11,2.5,1200,1,100000.0,,390.32,0.39032,,120.0,0.013756141761023173,0.002791270119505756,0.0014506061744468835,0.8733869476485853,3.4087415382397834,
12,12,2.5,1300,1,100000.0,,407.36,0.40736000000000006,,130.0,0.015815222759886182,0.0027537783601387007,0.0014261240103303951,0.8231358024870821,3.3539952803712056,
13,13,2.5,1400,1,100000.0,,418.7,0.4187,,140.0,0.017646148459393766,0.00268497347582492,0.0014271595373897485,0.7944611002902848,3.3261273312104676,
14,14,2.5,1500,1,100000.0,,426.2,0.4262,,150.0,0.019555200190152392,0.002576513420614391,0.0014386067641914458,0.7688502144549965,3.2778347316770327,
15,15,2.5,1600,1,100000.0,,424.59,0.4245900000000001,,160.0,0.02173670588941832,0.0026090326042457184,0.0014364193443254204,0.7375998633175915,3.1322449005794377,
16,16,2.5,1700,1,100000.0,,415.21,0.41521,,170.0,0.02325664007988735,0.0025855834222459745,0.00145372724325294,0.7319955011912829,3.039795704864873,
17,17,2.5,1800,1,100000.0,,393.66,0.39366,,180.0,0.025826856258545375,0.002455307309781715,0.0014397396038453752,0.697392856148343,2.745787275617668,
18,18,2.5,1900,1,100000.0,,340.36,0.34036,,190.0,0.027591030124074226,0.002481725296020971,0.001410720217500726,0.6905442871725245,2.351270813807601,
19,19,2.5,2000,1,100000.0,,231.34,0.23134,,200.0,0.02988555837646573,0.0024143396520962274,0.0014358990451526954,0.6726199808318712,1.5564520413989251,
20,20,2.5,2100,1,100000.0,,8.59,0.00859,,210.0,0.029029304510731196,0.0027358153139170048,0.0011119266956615456,0.7279928322670771,0.06271170994200195,
