# SourcePhotonFlux	NumberRaysSurvived	PercentageRaysSurvived	PhotonFlux	PhotonEnergy	Bandwidth	HorizontalFocusFWHM	VerticalFocusFWHM	EnergyPerMilPerBw	FluxPerMilPerBwPerc	FluxPerMilPerBwAbs
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.000000000000000000e+02	9.659390332912318189e-02	1.155640543975783585e-01	1.054384774979512523e-01	1.049353920759047876e+00	1.049353920759047867e+02	nan
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	2.000000000000000000e+02	1.995268679631720943e-01	8.255265025640073917e-02	7.236372903562324210e-02	1.002382561522549675e+00	1.002382561522549906e+02	nan
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	3.000000000000000000e+02	2.894462867029047315e-01	7.113896105550512883e-02	6.193382576375405790e-02	1.050388932773284045e+00	1.050388932773284267e+02	nan
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	4.000000000000000000e+02	3.996576060283189014e-01	6.234481302157153515e-02	5.052062454192644825e-02	1.000856915073055742e+00	1.000856915073056115e+02	nan
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	5.000000000000000000e+02	4.985183328696450866e-01	5.749766352298529837e-02	4.643540417966013356e-02	1.002977814989872929e+00	1.002977814989873195e+02	nan
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	6.000000000000000000e+02	5.990079445738387687e-01	5.614420373652225654e-02	4.519790362403877659e-02	1.001657258038382681e+00	1.001657258038382565e+02	nan
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	7.000000000000000000e+02	6.992002142233445516e-01	5.296242856959328116e-02	4.023779469101089468e-02	1.001144444986229232e+00	1.001144444986229303e+02	nan
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	8.000000000000000000e+02	7.989437703951012271e-01	5.042869778474649151e-02	3.750079593536087552e-02	1.001323271506109780e+00	1.001323271506109620e+02	nan
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	9.000000000000000000e+02	8.982145745031175910e-01	4.982428066107948139e-02	3.474896207350174071e-02	1.001991768502658697e+00	1.001991768502658857e+02	nan
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.000000000000000000e+03	9.983023545417722966e-01	4.982766597565403688e-02	3.273967319045052726e-02	1.001701655100307509e+00	1.001701655100307704e+02	nan
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.100000000000000000e+03	1.098167864724337139e+00	4.717663323502863798e-02	3.161299782693653693e-02	1.001670178847341663e+00	1.001670178847341504e+02	nan
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.200000000000000000e+03	1.197757171430907874e+00	4.568490388418348230e-02	3.020295835124025066e-02	1.001875539494351264e+00	1.001875539494351131e+02	nan
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.300000000000000000e+03	1.256744386498487742e+00	4.622129777156422370e-02	2.965470902735669462e-02	1.048300360082717431e+00	1.048300360082717333e+02	nan
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.400000000000000000e+03	1.397660625058029016e+00	4.608808643141765193e-02	2.834914716455562769e-02	1.001675092561568503e+00	1.001675092561568476e+02	nan
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.500000000000000000e+03	1.497910598088628920e+00	4.435457994222151423e-02	2.696697629894751966e-02	1.001395919108896138e+00	1.001395919108896067e+02	nan
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.600000000000000000e+03	1.597980553578668195e+00	4.242631283525874486e-02	2.659927822877847930e-02	1.001264054721546781e+00	1.001264054721546870e+02	nan
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.700000000000000000e+03	1.642310846320896189e+00	4.617798904439553154e-02	2.535778583146119231e-02	1.048854991528834546e+00	1.048854991528834546e+02	nan
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.800000000000000000e+03	1.797336808302861799e+00	4.308234958140901016e-02	2.476036522094138964e-02	1.001484956907416457e+00	1.001484956907416688e+02	nan
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.900000000000000000e+03	1.891987737989120344e+00	4.253846401669827276e-02	2.517900738815453260e-02	1.004296635407810001e+00	1.004296635407809788e+02	nan
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	2.000000000000000000e+03	1.995250765476021204e+00	4.192917110002821607e-02	2.395251418833726706e-02	1.002385253756636452e+00	1.002385253756636416e+02	nan
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	2.100000000000000000e+03	2.097811500589841671e+00	4.534365131941697769e-02	2.311230806420182249e-02	1.001043588502934290e+00	1.001043588502934369e+02	nan
