# SourcePhotonFlux	NumberRaysSurvived	PercentageRaysSurvived	PhotonFlux	PhotonEnergy	Bandwidth	HorizontalFocusFWHM	VerticalFocusFWHM	EnergyPerMilPerBw	FluxPerMilPerBwPerc	FluxPerMilPerBwAbs
nan	2.156800000000000068e+02	2.156799999999999551e-01	nan	2.000000000000000000e+01	5.518058831086136273e-04	2.925173942978091107e-02	1.109439544049323646e-03	7.290098180817369489e+00	7.852590973536280217e+00	nan
nan	1.199599999999999937e+02	1.199599999999999833e-01	nan	4.000000000000000000e+01	1.223406181378550216e-03	2.326197560695749192e-02	1.137731107901269415e-03	6.654687350675473567e+00	3.996197515235477393e+00	nan
nan	1.318799999999999955e+02	1.318799999999999972e-01	nan	6.000000000000000000e+01	2.384089122242585238e-03	1.983557549065858086e-02	1.176585463499207722e-03	5.188979670272474642e+00	3.412155920955151522e+00	nan
nan	1.577599999999999909e+02	1.577600000000000113e-01	nan	8.000000000000000000e+01	3.371874592007770895e-03	1.967950405507699202e-02	1.206922268439773044e-03	4.763197670256102967e+00	3.760133857486799513e+00	nan
nan	1.855999999999999943e+02	1.855999999999999872e-01	nan	1.000000000000000000e+02	4.631654244697074041e-03	1.797051555533167241e-02	1.180643984466137617e-03	4.397679763708945089e+00	4.076141425170328958e+00	nan
nan	1.983599999999999852e+02	1.983599999999999808e-01	nan	1.200000000000000000e+02	6.008326183723511696e-03	1.806436386193613006e-02	1.103005758228810251e-03	4.015678810359046835e+00	3.981053905830358897e+00	nan
nan	2.316400000000000148e+02	2.316399999999999848e-01	nan	1.400000000000000000e+02	7.056322014223041436e-03	1.784687447230001028e-02	1.160225020212333948e-03	3.999832254947788268e+00	4.630575303358451578e+00	nan
nan	2.472400000000000091e+02	2.472399999999999876e-01	nan	1.600000000000000000e+02	8.693557683300242103e-03	1.698748804037019181e-02	1.241895997042576126e-03	3.721629144475517847e+00	4.603257319009516735e+00	nan
nan	2.800400000000000205e+02	2.800399999999999556e-01	nan	1.800000000000000000e+02	1.028894223089537284e-02	1.687452020859060361e-02	1.171471836745408305e-03	3.526298131182858064e+00	4.933860722588002901e+00	nan
nan	3.006000000000000227e+02	3.005999999999999783e-01	nan	2.000000000000000000e+02	1.242995835576039126e-02	1.713432491602315255e-02	1.117551569954296697e-03	3.275521937504878078e+00	4.927258008860959215e+00	nan
nan	3.185199999999999818e+02	3.185200000000000253e-01	nan	2.200000000000000000e+02	1.487556322515956597e-02	1.724227907298116896e-02	1.169181234480695100e-03	2.979341799672722058e+00	4.746615878890166229e+00	nan
nan	3.427599999999999909e+02	3.427599999999999536e-01	nan	2.400000000000000000e+02	1.630944744381849706e-02	1.682657642178633436e-02	1.205539256933266809e-03	2.997223532783350741e+00	5.134620232667320927e+00	nan
nan	3.458000000000000114e+02	3.457999999999999963e-01	nan	2.600000000000000000e+02	1.826685690953127120e-02	1.704057674094444294e-02	1.178383030868221035e-03	2.873985412109062665e+00	4.971600041312692397e+00	nan
nan	3.649199999999999591e+02	3.649199999999999666e-01	nan	2.800000000000000000e+02	1.970847725086969163e-02	1.700693395831518601e-02	1.257418373533240093e-03	2.887554935243007659e+00	5.272627845733485863e+00	nan
nan	3.740000000000000000e+02	3.739999999999999991e-01	nan	3.000000000000000000e+02	2.233866651709831910e-02	1.790307096296364642e-02	1.255349175497879255e-03	2.693995677875692607e+00	5.039088293943011720e+00	nan
nan	3.676800000000000068e+02	3.676800000000000068e-01	nan	3.200000000000000000e+02	2.493294943118598908e-02	1.653365551305366332e-02	1.171871095700700947e-03	2.587376109855998862e+00	4.754294682763967828e+00	nan
nan	3.653199999999999932e+02	3.653199999999999781e-01	nan	3.400000000000000000e+02	2.829063124979256869e-02	1.557456072282815442e-02	1.188046149754914960e-03	2.432572191107063464e+00	4.439293416353232935e+00	nan
nan	3.462400000000000091e+02	3.462399999999999922e-01	nan	3.600000000000000000e+02	3.020232583897268161e-02	1.701638958518377279e-02	1.220006124157430472e-03	2.388874986410031820e+00	4.139318995997046891e+00	nan
nan	2.948799999999999955e+02	2.948799999999999755e-01	nan	3.800000000000000000e+02	3.202719998302200333e-02	1.620747115564681942e-02	1.222032602287486877e-03	2.386173993317964204e+00	3.520987499632402429e+00	nan
nan	2.007599999999999909e+02	2.007599999999999940e-01	nan	4.000000000000000000e+02	3.595390449365368224e-02	1.636926336638995852e-02	1.120461697409246352e-03	2.239857473230713047e+00	2.246814405326317043e+00	nan
nan	7.200000000000000178e+00	7.200000000000000670e-03	nan	4.200000000000000000e+02	4.166455372088782860e-02	1.733110720614793390e-02	1.094314364369159288e-03	2.025510217859068263e+00	7.283322754986384928e-02	nan
