# SourcePhotonFlux	NumberRaysSurvived	PercentageRaysSurvived	PhotonFlux	PhotonEnergy	Bandwidth	HorizontalFocusFWHM	VerticalFocusFWHM	EnergyPerMilPerBw	FluxPerMilPerBwPerc	FluxPerMilPerBwAbs
nan	1.078400000000000091e+03	1.078399999999999803e+00	nan	1.000000000000000000e+02	2.759029415543068353e-03	1.462586971489045484e-01	5.547197720246617794e-03	3.645049090408684833e+01	3.926295486768140108e+01	nan
nan	5.997999999999999545e+02	5.997999999999998888e-01	nan	2.000000000000000000e+02	6.117030906892750863e-03	1.163098780347874561e-01	5.688655539506347510e-03	3.327343675337736784e+01	1.998098757617738741e+01	nan
nan	6.593999999999999773e+02	6.593999999999999861e-01	nan	3.000000000000000000e+02	1.192044561121292576e-02	9.917787745329290083e-02	5.882927317496038609e-03	2.594489835136237232e+01	1.706077960477575672e+01	nan
nan	7.887999999999999545e+02	7.888000000000000567e-01	nan	4.000000000000000000e+02	1.685937296003885491e-02	9.839752027538495316e-02	6.034611342198865219e-03	2.381598835128051661e+01	1.880066928743399757e+01	nan
nan	9.280000000000000000e+02	9.279999999999999361e-01	nan	5.000000000000000000e+02	2.315827122348537020e-02	8.985257777665836554e-02	5.903219922330687867e-03	2.198839881854472367e+01	2.038070712585164657e+01	nan
nan	9.917999999999999545e+02	9.917999999999999039e-01	nan	6.000000000000000000e+02	3.004163091861755674e-02	9.032181930968065375e-02	5.515028791144051257e-03	2.007839405179523595e+01	1.990526952915179493e+01	nan
nan	1.158200000000000045e+03	1.158199999999999896e+00	nan	7.000000000000000000e+02	3.528161007111520892e-02	8.923437236150004448e-02	5.801125101061670175e-03	1.999916127473894178e+01	2.315287651679225789e+01	nan
nan	1.236200000000000045e+03	1.236199999999999966e+00	nan	8.000000000000000000e+02	4.346778841650120878e-02	8.493744020185095556e-02	6.209479985212880415e-03	1.860814572237758924e+01	2.301628659504758545e+01	nan
nan	1.400200000000000045e+03	1.400199999999999889e+00	nan	9.000000000000000000e+02	5.144471115447686593e-02	8.437260104295302154e-02	5.857359183727041743e-03	1.763149065591429121e+01	2.466930361294001273e+01	nan
nan	1.503000000000000000e+03	1.502999999999999892e+00	nan	1.000000000000000000e+03	6.214979177880195632e-02	8.567162458011576276e-02	5.587757849771483702e-03	1.637760968752439084e+01	2.463629004430479696e+01	nan
nan	1.592599999999999909e+03	1.592600000000000016e+00	nan	1.100000000000000000e+03	7.437781612579782986e-02	8.621139536490583788e-02	5.845906172403475716e-03	1.489670899836361073e+01	2.373307939445083292e+01	nan
nan	1.713799999999999955e+03	1.713799999999999768e+00	nan	1.200000000000000000e+03	8.154723721909248879e-02	8.413288210893167529e-02	6.027696284666333830e-03	1.498611766391675282e+01	2.567310116333660375e+01	nan
nan	1.729000000000000000e+03	1.728999999999999870e+00	nan	1.300000000000000000e+03	9.133428454765635252e-02	8.520288370472221817e-02	5.891915154341105174e-03	1.436992706054531332e+01	2.485800020656346021e+01	nan
nan	1.824599999999999909e+03	1.824599999999999778e+00	nan	1.400000000000000000e+03	9.854238625434845467e-02	8.503466979157592309e-02	6.287091867666200033e-03	1.443777467621503874e+01	2.636313922866742843e+01	nan
nan	1.870000000000000000e+03	1.869999999999999885e+00	nan	1.500000000000000000e+03	1.116933325854915920e-01	8.951535481481823209e-02	6.276745877489396490e-03	1.346997838937846304e+01	2.519544146971505683e+01	nan
nan	1.838400000000000091e+03	1.838400000000000034e+00	nan	1.600000000000000000e+03	1.246647471559299419e-01	8.266827756526831661e-02	5.859355478503505167e-03	1.293688054927999431e+01	2.377147341381984091e+01	nan
nan	1.826599999999999909e+03	1.826599999999999779e+00	nan	1.700000000000000000e+03	1.414531562489628469e-01	7.787280361414077035e-02	5.940230748774574798e-03	1.216286095553531688e+01	2.219646708176616556e+01	nan
nan	1.731200000000000045e+03	1.731200000000000072e+00	nan	1.800000000000000000e+03	1.510116291948634115e-01	8.508194792591886046e-02	6.100030620787151928e-03	1.194437493205015954e+01	2.069659497998523534e+01	nan
nan	1.474400000000000091e+03	1.474399999999999933e+00	nan	1.900000000000000000e+03	1.601359999151100166e-01	8.103735577823409364e-02	6.110163011437434386e-03	1.193086996658982102e+01	1.760493749816201259e+01	nan
nan	1.003799999999999955e+03	1.003800000000000026e+00	nan	2.000000000000000000e+03	1.797695224682684112e-01	8.184631683194978913e-02	5.602308487046231758e-03	1.119928736615356435e+01	1.123407202663158522e+01	nan
nan	3.600000000000000000e+01	3.600000000000000422e-02	nan	2.100000000000000000e+03	2.083227686044391569e-01	8.665553603073966604e-02	5.471571821845796005e-03	1.012755108929534131e+01	3.641661377493192742e-01	nan
