,Simulation Number,PG.cFactor,ExitSlit.openingHeight,SU.photonEnergy,PG.orderDiffraction,SU.numberRays,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonFlux,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs
0,0,2.5,0.027,100,1,100000.0,,100000.0,100.0,,100.0,0.0998958555046414,0.11145154338961012,0.10242994102653626,1.001042645514102,100.10426455141024,
1,1,2.5,0.027,200,1,100000.0,,100000.0,100.0,,200.0,0.1995451424429973,0.08266031648093417,0.07651950593672457,1.0022825132740667,100.22825132740668,
2,2,2.5,0.027,300,1,100000.0,,100000.0,100.0,,300.0,0.2993419249545923,0.072338481657004,0.062009672765237375,1.002199959369115,100.21999593691152,
3,3,2.5,0.027,400,1,100000.0,,100000.0,100.0,,400.0,0.39940348384584473,0.06651859687733051,0.05511029244059649,1.0014945090410332,100.14945090410332,
4,4,2.5,0.027,500,1,100000.0,,100000.0,100.0,,500.0,0.49917955344112663,0.058263630856854674,0.04532808391372125,1.0016451601546499,100.164516015465,
5,5,2.5,0.027,600,1,100000.0,,100000.0,100.0,,600.0,0.5994727970022723,0.05516558049481928,0.04177826594193909,1.0008800559344793,100.0880055934479,
6,6,2.5,0.027,700,1,100000.0,,100000.0,100.0,,700.0,0.6991909691693309,0.055749109709251614,0.04049839446194162,1.001157686733784,100.11576867337843,
7,7,2.5,0.027,800,1,100000.0,,100000.0,100.0,,800.0,0.7973514342968884,0.05284731917273037,0.03726798358139845,1.003333214498927,100.33332144989272,
8,8,2.5,0.027,900,1,100000.0,,100000.0,100.0,,900.0,0.8992078957156765,0.05139995079191182,0.03523566357546607,1.0008810580855527,100.08810580855528,
9,9,2.5,0.027,1000,1,100000.0,,100000.0,100.0,,1000.0,0.9979836766545532,0.04925070517038461,0.03366471400856967,1.0020242968691222,100.2024296869122,
10,10,2.5,0.027,1100,1,100000.0,,100000.0,100.0,,1100.0,1.0982125354513754,0.04701017435550313,0.03279738880215569,1.0016278250121848,100.1627825012185,
11,11,2.5,0.027,1200,1,100000.0,,100000.0,100.0,,1200.0,1.1982168536794688,0.04722423944358384,0.03060827155391572,1.0014888089643628,100.14888089643628,
12,12,2.5,0.027,1300,1,100000.0,,100000.0,100.0,,1300.0,1.2975789368142159,0.04603110634588925,0.02918755339275516,1.0018693083231667,100.18693083231663,
13,13,2.5,0.027,1400,1,100000.0,,100000.0,100.0,,1400.0,1.3964989412237174,0.04684137761403573,0.027884725509702023,1.0025160669481368,100.2516066948137,
14,14,2.5,0.027,1500,1,100000.0,,100000.0,100.0,,1500.0,1.4942363839848896,0.04286807043077264,0.027414120038160284,1.0038930301153675,100.38930301153673,
15,15,2.5,0.027,1600,1,100000.0,,100000.0,100.0,,1600.0,1.5988494920000904,0.04473794794189127,0.026514827400702087,1.0007196474956848,100.07196474956848,
16,16,2.5,0.027,1700,1,100000.0,,100000.0,100.0,,1700.0,1.6983168504940296,0.04544097509192487,0.025919638670060512,1.0009918494766978,100.09918494766978,
17,17,2.5,0.027,1800,1,100000.0,,100000.0,100.0,,1800.0,1.7967421785085207,0.045448586806573286,0.025823826629176205,1.001813929004269,100.18139290042691,
18,18,2.5,0.027,1900,1,100000.0,,100000.0,100.0,,1900.0,1.8909218192529351,0.042390215507764575,0.0236104560084846,1.0048280012749653,100.48280012749652,
19,19,2.5,0.027,2000,1,100000.0,,100000.0,100.0,,2000.0,1.9919899955995328,0.04377755855931306,0.023672721818472693,1.004027901170922,100.4027901170922,
20,20,2.5,0.027,2100,1,100000.0,,100000.0,100.0,,2100.0,2.0984959270600485,0.040160973657542696,0.023365559071074352,1.000717197645176,100.07171976451762,
