# SourcePhotonFlux	NumberRaysSurvived	PercentageRaysSurvived	PhotonFlux	PhotonEnergy	Bandwidth	HorizontalFocusFWHM	VerticalFocusFWHM	EnergyPerMilPerBw	FluxPerMilPerBwPerc	FluxPerMilPerBwAbs
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	1.000000000000000000e+01	9.975159709091201490e-03	1.749399401877004684e-02	1.052015512833345996e-02	1.002494168435524857e-01	1.002494168435524990e+01	nan
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	6.000000000000000000e+01	5.992151752547897336e-02	1.497548905259362372e-02	4.944654122710308644e-03	1.001311561687519003e-01	1.001311561687519180e+01	nan
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	1.100000000000000000e+02	1.097637201891575459e-01	1.481698921101636847e-02	3.878223683806244354e-03	1.002155831968449540e-01	1.002155831968449640e+01	nan
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	1.600000000000000000e+02	1.598145384190161056e-01	1.469938778530643919e-02	3.466522383220602046e-03	1.001160860484802545e-01	1.001160860484802484e+01	nan
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	2.100000000000000000e+02	2.095089825792092741e-01	1.486403832408248957e-02	3.209628179215693461e-03	1.002346537239234420e-01	1.002346537239234436e+01	nan
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	1.000000000000000000e+01	9.981791379860424640e-03	1.741151883390793312e-02	1.085293033371298108e-02	1.001826113725979434e-01	1.001826113725979539e+01	nan
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	6.000000000000000000e+01	5.791130380086980528e-02	1.485195720186229321e-02	4.861153856046915647e-03	1.049949485868048038e-01	1.049949485868047994e+01	nan
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	1.100000000000000000e+02	1.093391479848514758e-01	1.475811275569912165e-02	3.975164115299728747e-03	1.006218641923867924e-01	1.006218641923867985e+01	nan
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	1.600000000000000000e+02	1.598555895193158050e-01	1.437892766142081710e-02	3.619800457599331531e-03	1.000903645152664972e-01	1.000903645152664723e+01	nan
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	2.100000000000000000e+02	2.096519351562528555e-01	1.424623403872477857e-02	3.193573007174420244e-03	1.001661688415925455e-01	1.001661688415925688e+01	nan
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	1.000000000000000000e+01	9.669422920427469051e-03	1.785634329490236663e-02	1.126297577718447275e-02	1.048141320253694470e-01	1.048141320253694531e+01	nan
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	6.000000000000000000e+01	5.990746989108515497e-02	1.454721884902264797e-02	4.730400288443686527e-03	1.001547701089361142e-01	1.001547701089361020e+01	nan
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	1.100000000000000000e+02	1.096122277761696767e-01	1.451732033233852151e-02	3.868607420575635551e-03	1.003554018176553847e-01	1.003554018176553697e+01	nan
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	1.600000000000000000e+02	1.596036983337035253e-01	1.451262369776263293e-02	3.519690314409427111e-03	1.002486579714008397e-01	1.002486579714008741e+01	nan
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	2.100000000000000000e+02	2.096149405567984958e-01	1.435664857049329633e-02	3.397394533214193914e-03	1.001837810656101835e-01	1.001837810656101446e+01	nan
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	1.000000000000000000e+01	9.641589113319460475e-03	1.744554387066983916e-02	1.086906473408483578e-02	1.051036652806892346e-01	1.051036652806892313e+01	nan
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	6.000000000000000000e+01	5.991880417971515854e-02	1.475338403554744479e-02	4.748816423002395586e-03	1.001355555185929197e-01	1.001355555185929269e+01	nan
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	1.100000000000000000e+02	1.063198880884302089e-01	1.519255393325392653e-02	3.994233262985988700e-03	1.048635425112829644e-01	1.048635425112829545e+01	nan
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	1.600000000000000000e+02	1.596517207486681245e-01	1.453136718887854638e-02	3.473088398093441935e-03	1.002202772071505849e-01	1.002202772071505876e+01	nan
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	2.100000000000000000e+02	2.094755026356961147e-01	1.417277133528194698e-02	3.246462367636189592e-03	1.002527322517113018e-01	1.002527322517113006e+01	nan
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	1.000000000000000000e+01	9.984379534004547002e-03	1.733750448140965877e-02	1.072208054266498255e-02	1.001565257127671887e-01	1.001565257127671948e+01	nan
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	6.000000000000000000e+01	5.977096733974462950e-02	1.500782516984131010e-02	4.831224936364502710e-03	1.003887295912124361e-01	1.003887295912124067e+01	nan
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	1.100000000000000000e+02	1.098388159975343115e-01	1.478584929068124144e-02	4.093902191028527156e-03	1.001468838644140325e-01	1.001468838644140291e+01	nan
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	1.600000000000000000e+02	1.597323111025116260e-01	1.477016756086543814e-02	3.418329559839344053e-03	1.001676261903015897e-01	1.001676261903016041e+01	nan
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	2.100000000000000000e+02	2.097088118910733212e-01	1.486173677384631728e-02	3.222300855853020389e-03	1.001389625086615831e-01	1.001389625086615887e+01	nan
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	1.000000000000000000e+01	9.984359136343101682e-03	1.749470816607786097e-02	1.079661326372009615e-02	1.001568264578750755e-01	1.001568264578750522e+01	nan
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	6.000000000000000000e+01	5.986980011080846042e-02	1.503618673760577854e-02	4.928692579329393628e-03	1.002181032690457468e-01	1.002181032690457663e+01	nan
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	1.100000000000000000e+02	1.098345604881046655e-01	1.467554267994806635e-02	3.771914395524925655e-03	1.001509944270897734e-01	1.001509944270897634e+01	nan
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	1.600000000000000000e+02	1.597703820243805140e-01	1.466452499635519449e-02	3.339872382451607082e-03	1.001438083529216094e-01	1.001438083529216172e+01	nan
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	2.100000000000000000e+02	2.096414739271767469e-01	1.422410349995592571e-02	3.190601734447078182e-03	1.001711275694921743e-01	1.001711275694921888e+01	nan
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	1.000000000000000000e+01	9.661323005865874933e-03	1.746307241372132071e-02	1.107271927028591688e-02	1.049009096339260372e-01	1.049009096339260161e+01	nan
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	6.000000000000000000e+01	5.992700292049561728e-02	1.490706589342504981e-02	4.770467046454992220e-03	1.001218729247444761e-01	1.001218729247445083e+01	nan
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	1.100000000000000000e+02	1.098863946056030799e-01	1.454505893864884922e-02	3.990029909747887238e-03	1.001034036085803047e-01	1.001034036085803081e+01	nan
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	1.600000000000000000e+02	1.597067775992695726e-01	1.475006363401134245e-02	3.506246074411691841e-03	1.001838368886956709e-01	1.001838368886956943e+01	nan
nan	1.000000000000000000e+04	1.000000000000000000e+01	nan	2.100000000000000000e+02	2.097663092814400498e-01	1.487003823110527069e-02	3.411039753625909332e-03	1.001114504969088381e-01	1.001114504969088514e+01	nan
