# SourcePhotonFlux	NumberRaysSurvived	PercentageRaysSurvived	PhotonFlux	PhotonEnergy	Bandwidth	HorizontalFocusFWHM	VerticalFocusFWHM	EnergyPerMilPerBw	FluxPerMilPerBwPerc	FluxPerMilPerBwAbs
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.000000000000000000e+02	9.975159709091201143e-02	1.749399401877004823e-01	1.052015512833345962e-01	1.002494168435524857e+00	1.002494168435524955e+02	nan
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	6.000000000000000000e+02	5.992151752547897336e-01	1.497548905259362406e-01	4.944654122710308297e-02	1.001311561687519003e+00	1.001311561687519145e+02	nan
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.100000000000000000e+03	1.097637201891575431e+00	1.481698921101636812e-01	3.878223683806244354e-02	1.002155831968449595e+00	1.002155831968449604e+02	nan
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.600000000000000000e+03	1.598145384190161167e+00	1.469938778530643919e-01	3.466522383220602133e-02	1.001160860484802573e+00	1.001160860484802413e+02	nan
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	2.100000000000000000e+03	2.095089825792092686e+00	1.486403832408249026e-01	3.209628179215693461e-02	1.002346537239234392e+00	1.002346537239234436e+02	nan
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.000000000000000000e+02	9.981791379860424640e-02	1.741151883390793242e-01	1.085293033371298177e-01	1.001826113725979406e+00	1.001826113725979468e+02	nan
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	6.000000000000000000e+02	5.791130380086980667e-01	1.485195720186229251e-01	4.861153856046915300e-02	1.049949485868048038e+00	1.049949485868047958e+02	nan
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.100000000000000000e+03	1.093391479848514702e+00	1.475811275569912095e-01	3.975164115299728573e-02	1.006218641923867896e+00	1.006218641923867949e+02	nan
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.600000000000000000e+03	1.598555895193157994e+00	1.437892766142081780e-01	3.619800457599331445e-02	1.000903645152664945e+00	1.000903645152664723e+02	nan
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	2.100000000000000000e+03	2.096519351562528666e+00	1.424623403872477823e-01	3.193573007174420331e-02	1.001661688415925511e+00	1.001661688415925653e+02	nan
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.000000000000000000e+02	9.669422920427468704e-02	1.785634329490236594e-01	1.126297577718447240e-01	1.048141320253694442e+00	1.048141320253694460e+02	nan
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	6.000000000000000000e+02	5.990746989108515219e-01	1.454721884902264728e-01	4.730400288443686874e-02	1.001547701089361198e+00	1.001547701089361055e+02	nan
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.100000000000000000e+03	1.096122277761696795e+00	1.451732033233852082e-01	3.868607420575635725e-02	1.003554018176553875e+00	1.003554018176553768e+02	nan
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.600000000000000000e+03	1.596036983337035142e+00	1.451262369776263328e-01	3.519690314409427284e-02	1.002486579714008341e+00	1.002486579714008741e+02	nan
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	2.100000000000000000e+03	2.096149405567985013e+00	1.435664857049329668e-01	3.397394533214193740e-02	1.001837810656101890e+00	1.001837810656101482e+02	nan
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.000000000000000000e+02	9.641589113319461168e-02	1.744554387066983847e-01	1.086906473408483509e-01	1.051036652806892402e+00	1.051036652806892278e+02	nan
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	6.000000000000000000e+02	5.991880417971515715e-01	1.475338403554744549e-01	4.748816423002395759e-02	1.001355555185929225e+00	1.001355555185929234e+02	nan
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.100000000000000000e+03	1.063198880884302033e+00	1.519255393325392722e-01	3.994233262985988353e-02	1.048635425112829589e+00	1.048635425112829580e+02	nan
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.600000000000000000e+03	1.596517207486681356e+00	1.453136718887854673e-01	3.473088398093442108e-02	1.002202772071505876e+00	1.002202772071505876e+02	nan
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	2.100000000000000000e+03	2.094755026356961203e+00	1.417277133528194732e-01	3.246462367636189505e-02	1.002527322517112962e+00	1.002527322517113078e+02	nan
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.000000000000000000e+02	9.984379534004546308e-02	1.733750448140965739e-01	1.072208054266498289e-01	1.001565257127671860e+00	1.001565257127671913e+02	nan
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	6.000000000000000000e+02	5.977096733974462950e-01	1.500782516984131010e-01	4.831224936364502537e-02	1.003887295912124333e+00	1.003887295912124102e+02	nan
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.100000000000000000e+03	1.098388159975343115e+00	1.478584929068124110e-01	4.093902191028526982e-02	1.001468838644140380e+00	1.001468838644140362e+02	nan
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.600000000000000000e+03	1.597323111025116260e+00	1.477016756086543814e-01	3.418329559839344139e-02	1.001676261903015952e+00	1.001676261903016041e+02	nan
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	2.100000000000000000e+03	2.097088118910733101e+00	1.486173677384631797e-01	3.222300855853020563e-02	1.001389625086615887e+00	1.001389625086615922e+02	nan
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.000000000000000000e+02	9.984359136343101682e-02	1.749470816607786028e-01	1.079661326372009650e-01	1.001568264578750700e+00	1.001568264578750558e+02	nan
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	6.000000000000000000e+02	5.986980011080845765e-01	1.503618673760577784e-01	4.928692579329393281e-02	1.002181032690457441e+00	1.002181032690457698e+02	nan
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.100000000000000000e+03	1.098345604881046711e+00	1.467554267994806705e-01	3.771914395524925828e-02	1.001509944270897678e+00	1.001509944270897563e+02	nan
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.600000000000000000e+03	1.597703820243805195e+00	1.466452499635519380e-01	3.339872382451607169e-02	1.001438083529216039e+00	1.001438083529216101e+02	nan
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	2.100000000000000000e+03	2.096414739271767580e+00	1.422410349995592571e-01	3.190601734447078008e-02	1.001711275694921799e+00	1.001711275694921852e+02	nan
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.000000000000000000e+02	9.661323005865875280e-02	1.746307241372132002e-01	1.107271927028591757e-01	1.049009096339260427e+00	1.049009096339260196e+02	nan
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	6.000000000000000000e+02	5.992700292049562005e-01	1.490706589342505051e-01	4.770467046454992394e-02	1.001218729247444816e+00	1.001218729247445083e+02	nan
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.100000000000000000e+03	1.098863946056030771e+00	1.454505893864884991e-01	3.990029909747887238e-02	1.001034036085802992e+00	1.001034036085803081e+02	nan
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.600000000000000000e+03	1.597067775992695671e+00	1.475006363401134279e-01	3.506246074411691754e-02	1.001838368886956765e+00	1.001838368886956943e+02	nan
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	2.100000000000000000e+03	2.097663092814400443e+00	1.487003823110527034e-01	3.411039753625909332e-02	1.001114504969088381e+00	1.001114504969088443e+02	nan
