,Simulation Number,PG.cFactor,ExitSlit.openingHeight,SU.photonEnergy,PG.orderDiffraction,SU.numberRays,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonFlux,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs
0,0,2.5,0.02,100,1,100000.0,,860.2,0.8602,,100.0,0.0018203461359917127,0.05197863363988492,0.0044911421995548805,55.443346583022766,47.65962033671557,
1,1,2.5,0.02,600,1,100000.0,,2290.8,2.2907999999999995,,600.0,0.014671381727362131,0.0241146641414249,0.004787589052172256,41.00629555844037,93.95716618005437,
2,2,2.5,0.02,1100,1,100000.0,,3087.9,3.0879000000000003,,1100.0,0.0325227255333175,0.019746405690157308,0.0047721915967909225,33.970554826717965,104.97017994298317,
3,3,2.5,0.02,1600,1,100000.0,,3748.2,3.7482,,1600.0,0.05315499628416091,0.018196279539432297,0.004812132674319831,30.260320339120973,113.42027602265308,
4,4,2.5,0.02,2100,1,100000.0,,4329.5,4.3295,,2100.0,0.08251876168737907,0.01610631795304311,0.004822414954502493,25.50920913528189,110.41947891409856,
5,5,2.5,0.018,100,1,100000.0,,777.2999999999998,0.7773,,100.0,0.001734239404864013,0.052239685296855486,0.004006961009846429,58.07659561869436,45.11849237656069,
6,6,2.5,0.018,600,1,100000.0,,2066.7,2.0667,,600.0,0.013604610435504583,0.023066962347578976,0.004288732595917441,44.36009212694599,91.71063208988326,
7,7,2.5,0.018,1100,1,100000.0,,2806.4,2.8063999999999996,,1100.0,0.029995696101514112,0.01996225022088825,0.004314964286102744,36.777260278549925,103.16867847993905,
8,8,2.5,0.018,1600,1,100000.0,,3398.6,3.3986,,1600.0,0.05101885693152326,0.01773816687927718,0.004328891756321741,31.587530720493497,107.38694258440464,
9,9,2.5,0.018,2100,1,100000.0,,3882.4,3.882400000000001,,2100.0,0.0736248931169939,0.01599721316289816,0.004371150793039204,28.5764840140644,110.95432387202064,
10,10,2.5,0.016,100,1,100000.0,,686.7,0.6867000000000001,,100.0,0.0016957371109356243,0.05369640592107652,0.003585838107448704,59.72423959398577,41.1159412056705,
11,11,2.5,0.016,600,1,100000.0,,1850.6,1.8506,,600.0,0.012676367048356951,0.023798880656226335,0.003741330889370058,47.73937952375071,88.39135301998502,
12,12,2.5,0.016,1100,1,100000.0,,2519.7,2.5197,,1100.0,0.02766098544095712,0.019279274373790272,0.003820281803499096,40.02673754603755,100.81915846846378,
13,13,2.5,0.016,1600,1,100000.0,,2984.9,2.9849,,1600.0,0.04471205627521613,0.017150439914002835,0.003820379684644626,35.81908975463261,106.90340311840338,
14,14,2.5,0.016,2100,1,100000.0,,3434.3,3.4343000000000004,,2100.0,0.06667338688353083,0.016891602713336926,0.00385809928745318,31.532276438127383,108.30582898146515,
15,15,2.5,0.015,100,1,100000.0,,634.5,0.6344999999999998,,100.0,0.0017290064581175102,0.05126551993594133,0.0033024499686384093,58.31088813665156,36.96244310144023,
16,16,2.5,0.015,600,1,100000.0,,1709.3,1.7093000000000003,,600.0,0.012287339012561915,0.02362294559672688,0.003569228606745272,49.268108045191525,84.27577777381384,
17,17,2.5,0.015,1100,1,100000.0,,2313.0,2.313,,1100.0,0.02712563308691642,0.01964389517350295,0.0035723584447030646,40.641192062290926,94.02373697455104,
18,18,2.5,0.015,1600,1,100000.0,,2830.1,2.8301,,1600.0,0.04459311126295233,0.017955050524417242,0.0035928954395898745,36.01359067285749,101.91891785541378,
19,19,2.5,0.015,2100,1,100000.0,,3229.3,3.2293,,2100.0,0.0618217995987834,0.01666200276069213,0.0035898194606943943,34.18738776780352,110.40851405451954,
20,20,2.5,0.014,100,1,100000.0,,592.1,0.5921000000000001,,100.0,0.00167237291486515,0.051021078607652565,0.0030559620891011394,61.283894295550304,36.33293616235408,
21,21,2.5,0.014,600,1,100000.0,,1604.3,1.6042999999999998,,600.0,0.012271590498130536,0.02459760260046439,0.003332651244473568,49.176241239111945,78.91692086771539,
22,22,2.5,0.014,1100,1,100000.0,,2180.5,2.1804999999999994,,1100.0,0.02417305919016144,0.019454714112309188,0.0033382502966305973,45.613016660380794,99.474449274425,
23,23,2.5,0.014,1600,1,100000.0,,2635.2,2.6352,,1600.0,0.04062597804347661,0.01750661367440138,0.003358989567385061,39.52429130390104,104.15187415037401,
24,24,2.5,0.014,2100,1,100000.0,,3004.0,3.0039999999999996,,2100.0,0.06250971326721809,0.017244073509356597,0.003348432084043086,33.77653435614456,101.38948880883729,
25,25,2.5,0.012,100,1,100000.0,,500.9,0.5009,,100.0,0.001773551217506508,0.0519942215474276,0.002552038787775066,56.78349236769791,28.449950217531168,
