,Simulation Number,PG.cFactor,ExitSlit.openingHeight,SU.photonEnergy,PG.orderDiffraction,SU.numberRays,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,PhotonFlux1,PhotonFlux3,PhotonFlux5,PhotonFlux7,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,FluxPerMilPerBwAbs7,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,AXUVCurrentAmp7,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5,GaAsPCurrentAmp7
0,0,2.25,0.02,100,1,100000.0,,1195.1,1.1951000000000005,100.0,0.0056815949981554,0.057198493629311,0.007042697734747,16477680270000.0,9246428945000.0,6349853124000.0,4602616924000.0,18.096281913988143,21.638938990961616,298351199125681.5,167419389026120.5,114972876204336.9,83336747399551.03,6.818114764588735e-05,3.825976270725705e-05,2.6274346041619305e-05,1.904465306466976e-05,3.2807072571974674e-05,1.8409646288774735e-05,1.2642561868355036e-05,9.16381341138056e-06
1,1,2.25,0.02,105,1,100000.0,,1241.6,1.2416,105.0,0.0056069479480242,0.0562918274129721,0.0069433414304381,17118808320000.0,9606197120000.0,6596918784000.0,4781699584000.0,18.88148265378963,23.449530577581605,323315092744521.8,181427845602220.0,124592983846029.69,90309770141605.38,7.484511950261053e-05,4.1999241884848274e-05,2.8842380001454226e-05,2.090606250739672e-05,3.798140583139474e-05,2.1313216696563573e-05,1.4636547409618702e-05,1.0609130557968384e-05
2,2,2.25,0.02,110,1,100000.0,,1263.5,1.2635,110.0,0.0061475308958634,0.0565552020976505,0.007035168609896,17420758950000.0,9775636325000.0,6713278740000.0,4866041740000.0,18.017557463831377,22.757145503825274,313768695063091.7,176070896905820.94,120914175776744.58,87643229050152.03,7.890489909579792e-05,4.427738194617186e-05,3.0406860177677015e-05,2.204005770314852e-05,4.364234613736969e-05,2.448984601837308e-05,1.6818052263315722e-05,1.2190368889523535e-05
3,3,2.25,0.02,115,1,100000.0,,1313.3,1.3133,115.0,0.006755019171372,0.052519771354886,0.0069392436569158,18107386410000.0,10160936435000.0,6977878092000.0,5057833492000.0,17.159055697326686,22.5458876561425,310855935236595.9,174436405501191.7,119791712130122.58,86829624376842.22,8.508558115853237e-05,4.774566368172408e-05,3.2788653164397296e-05,2.376647255024306e-05,4.9413249383268575e-05,2.772818090151945e-05,1.904193253067284e-05,1.380232254508143e-05
4,4,2.25,0.02,120,1,100000.0,,1345.2,1.3451999999999995,120.0,0.0069231362514528,0.05728352265075,0.0068306929631355,18547214040000.0,10407745140000.0,7147370448000.0,5180688048000.0,17.578414562374483,23.63377639773609,325855418839065.9,182853346300464.25,125571926107507.3,91019345014017.14,9.011781051209608e-05,5.056949266676543e-05,3.4727877421563365e-05,2.5172096619204427e-05,5.55763399205933e-05,3.118659117536894e-05,2.1416946431942467e-05,1.552382365120983e-05
5,5,2.25,0.02,125,1,100000.0,,1354.2,1.3542,125.0,0.00718407881874,0.056583476862201,0.0070768183606199,18671303340000.0,10477377690000.0,7195189608000.0,5215349208000.0,17.557250638757644,23.74745605192249,327422799807091.8,183732880100921.72,126175933393316.69,91457152645406.0,9.445963766892466e-05,5.300590335317614e-05,3.640104769091561e-05,2.638487456037405e-05,5.880799550230554e-05,3.300003052006955e-05,2.266230002267745e-05,1.6426503666187924e-05
6,6,2.25,0.02,130,1,100000.0,,1260.0,1.26,130.0,0.0073351666747043,0.053785271265665,0.0070723806403532,17372502000000.0,9748557000000.0,6694682400000.0,4852562400000.0,18.505043558063136,23.2137800991152,320064635872570.6,179603855937849.3,123340384973822.88,89401838468916.42,9.127780815468566e-05,5.122042384171363e-05,3.517489511664759e-05,2.5496112178075495e-05,5.766480231820943e-05,3.235852914524325e-05,2.222175810825613e-05,1.6107182001347644e-05
7,7,2.25,0.02,135,1,100000.0,,1242.1,1.2421000000000002,135.0,0.0083023861343803,0.0538055044559995,0.0068178483251608,17125702170000.0,9610065595000.0,6599575404000.0,4783625204000.0,16.380293115678107,20.351323539008146,280597943558782.62,157457172655129.06,108131466280399.66,78377831266369.73,9.35530203474982e-05,5.2497156217322405e-05,3.605167285559892e-05,2.6131634288757295e-05,5.947260698119007e-05,3.337297639077717e-05,2.291841527714835e-05,1.6612145819116923e-05
8,8,2.25,0.02,140,1,100000.0,,1164.8,1.1648,140.0,0.0083531673146665,0.0558126162626618,0.0071578688927944,16059912960000.0,9011999360000.0,6188861952000.0,4485924352000.0,16.862802055917406,19.661251967006987,271083443745502.25,152118123406134.7,104464950401180.22,75720200025416.0,9.149533039947743e-05,5.1342486167688366e-05,3.5258719677083166e-05,2.5556871432340663e-05,5.8473679274136e-05,3.281242940156999e-05,2.2533467631766747e-05,1.633312101131614e-05
9,9,2.25,0.02,145,1,100000.0,,1072.3,1.0723,145.0,0.0089284489707182,0.0555008620137989,0.0068743792288847,14784550710000.0,8296331485000.0,5697387252000.0,4129684652000.0,16.639054647115668,17.87954967081112,246517866996242.44,138333181825582.1,94998338492940.48,68858436874214.61,8.727540791198897e-05,4.8974482128611945e-05,3.3632526696569855e-05,2.4378144430685926e-05,5.609940999916521e-05,3.1480111272586526e-05,2.1618517169938756e-05,1.5669929847993872e-05
10,10,2.25,0.02,150,1,100000.0,,985.1,0.9851,150.0,0.0087327781934959,0.0493612875758902,0.0067685291082848,13561050061648.354,7621669445000.0,5234072724000.0,3793856524000.0,17.34341821943219,17.09963014392624,235396345972444.4,132298983442050.16,90854438865914.69,65854779595494.5,8.275794152659082e-05,4.651215587265854e-05,3.1941559279670195e-05,2.3152466434837692e-05,5.3721596555303416e-05,3.019296065871205e-05,2.0734584854535083e-05,1.5029221826075937e-05
11,11,2.25,0.02,155,1,100000.0,,903.6,0.9036,155.0,0.0091858037645067,0.053717437573411,0.0069763473519936,12383228070000.0,6991108020000.0,4801043664000.0,3479980464000.0,17.178379445656656,15.516267751449057,212639976052877.03,120048587779573.77,82441654467709.17,59756871015090.64,7.837821663529641e-05,4.4249413465928205e-05,3.0387653223002394e-05,2.2026135766228465e-05,5.041948856696144e-05,2.846495993550593e-05,1.9547905017833584e-05,1.416907079689256e-05
12,12,2.25,0.02,160,1,100000.0,,806.4,0.8064,160.0,0.0090539968993823,0.0549909868544366,0.0069509193624552,11011822080000.002,6239076480000.0,4284596736000.0,3105639936000.0,17.765227274941022,14.315045810426744,195479585232476.1,110754793682981.2,76059274001791.8,55130677026947.9,7.192097901580276e-05,4.074897735689428e-05,2.798377867916233e-05,2.0283715360182703e-05,4.611779274298925e-05,2.612941200120615e-05,1.7944000804100913e-05,1.3006499547693236e-05
13,13,2.25,0.02,165,1,100000.0,,718.2,0.7182000000000001,165.0,0.0098880563472789,0.0519078894659744,0.0072106098402121,9765608483076.924,5556677490000.0,3815968968000.0,2765960568000.0,16.955777419184955,12.213186831177032,166066835037518.47,94492815853475.12,64891592798883.04,47035913651702.23,6.561992311675537e-05,3.733804711813706e-05,2.564137101441402e-05,1.8585848504029905e-05,4.189683887594299e-05,2.3839499800503677e-05,1.637143627915757e-05,1.1866644506128611e-05
14,14,2.25,0.02,170,1,100000.0,,651.9,0.6518999999999999,170.0,0.0104718083744841,0.0541318473194224,0.0067959890936559,8824876535555.557,5043717705000.0,3463701156000.0,2510623356000.0,16.832514557852694,10.92864926856622,147942906113646.88,84554412958433.4,58066536439716.77,42088851209072.96,6.12013725522935e-05,3.497867024752332e-05,2.402110261872583e-05,1.741141586853627e-05,3.880806575060272e-05,2.2180132213124124e-05,1.5231889269034909e-05,1.1040657156175516e-05
15,15,2.25,0.02,175,1,100000.0,,590.0,0.5900000000000001,175.0,0.0102876887215557,0.0513271417828127,0.0065071691460246,7950235250000.0,4564800500000.0,3134811600000.0,2272231600000.0,17.767447682608754,10.483771962946244,141268565106401.56,81112419488716.95,55702796544404.51,40375521934577.09,5.710056845761236e-05,3.27855334149506e-05,2.2514997196783245e-05,1.6319732932097833e-05,3.569505761550601e-05,2.0495093758488552e-05,1.4074713157168097e-05,1.0201891557582958e-05
16,16,2.25,0.02,180,1,100000.0,,566.4,0.5664,180.0,0.0109197456558319,0.0478304419552154,0.0067906737838946,7590049059310.342,4382208480000.0,3009419136000.0,2181342336000.0,16.811863122472364,9.519787898052098,127570016208411.58,73654122977834.17,50580917851446.336,36662987944494.16,5.635571210534775e-05,3.253766577194341e-05,2.2344777630218707e-05,1.6196351266007843e-05,3.4807956980167135e-05,2.00968034670152e-05,1.3801192983421614e-05,1.000363365206026e-05
17,17,2.25,0.02,185,1,100000.0,,500.3,0.5003,185.0,0.0110793909347818,0.0515224321255407,0.0066805655153074,6631469829333.335,3870796085000.0,2658213972000.0,1926775372000.0,17.045565142977832,8.52639255037381,113017219569970.88,65968272842614.65,45302769954348.14,32837184045701.637,5.0690563313264366e-05,2.958813642663496e-05,2.0319230444484445e-05,1.472815702980032e-05,3.09772478837295e-05,1.8081452968695625e-05,1.2417179789373374e-05,9.000447841999669e-06
18,18,2.25,0.02,190,1,100000.0,,491.1,0.4911,190.0,0.0108858978195797,0.0505783577080363,0.0071993472653859,6517218375840.0,3799616145000.0,2609332164000.0,1891343964000.0,17.92542018077538,8.791528322401295,116669334014399.31,68019615054002.67,46711499943715.44,33858285536364.75,5.1241017012187374e-05,2.987412486398886e-05,2.051562892255219e-05,1.4870514174343691e-05,3.102019255883025e-05,1.8085142720470645e-05,1.2419713673749144e-05,9.002284498514966e-06
19,19,2.25,0.02,195,1,100000.0,,472.1,0.4720999999999999,195.0,0.0096142242988207,0.0474557936835942,0.0063976254716451,6234714884375.0,3652614095000.0,2508380604000.0,1818170404000.0,20.665808460828465,9.76399256198622,128946642146033.22,75543522252459.3,51878435840047.664,37603478714423.81,5.043841628089559e-05,2.9549397791835853e-05,2.029262723986763e-05,1.4708874007435727e-05,3.0200440720750614e-05,1.7692959100387752e-05,1.2150387169432948e-05,8.807066325331988e-06
20,20,2.25,0.02,200,1,100000.0,,456.1,0.4561,200.0,0.01155946716446,0.0513808384731233,0.0063867654244804,5989237712781.955,3528822895000.0,2423368764000.0,1756550564000.0,17.590113371843803,8.001949610915362,105076909417836.4,61910684042171.61,42516278750699.945,30817428419541.68,4.977933848134031e-05,2.9329687308289245e-05,2.0141744200737336e-05,1.4599508197568277e-05,2.9533749748669605e-05,1.7401108001755486e-05,1.1949962592397173e-05,8.66179090994265e-06
21,21,2.25,0.02,205,1,100000.0,,440.8,0.4408,205.0,0.0138173887616403,0.0494699708171845,0.007020454154578,5756813894306.569,3410447560000.0,2342076192000.0,1697626592000.0,15.022522317942157,6.616078853519506,86405477925973.16,51188271285737.73,35152814807673.977,25480107523828.453,4.9104250811089314e-05,2.909030506091767e-05,1.9977351858532137e-05,1.4480350327042126e-05,2.8857873482965528e-05,1.7095960719540222e-05,1.1740407051033018e-05,8.509897021632827e-06
22,22,2.25,0.02,210,1,100000.0,,416.7,0.4166999999999999,210.0,0.0115888472251583,0.0466937642547348,0.0073058773049269,5408157795319.149,3223987065000.0,2214027108000.0,1604811708000.0,18.351551887940573,7.638185299994896,99132496693687.4,59096257756795.52,40583511663344.89,29416484754752.35,4.735186621293909e-05,2.822806026596663e-05,1.9385217550526308e-05,1.4051148685037554e-05,2.75667628110302e-05,1.6433486242507037e-05,1.128546215797415e-05,8.18013552583289e-06
23,23,2.25,0.02,215,1,100000.0,,409.3,0.4093,215.0,0.0137930340428936,0.0466203137648359,0.0069238265208103,5280155737517.24,3166733635000.0,2174709132000.0,1576312532000.0,15.831893734544751,6.5031259937072985,83893276392550.97,50314360657013.69,34552669154805.367,25045098952005.3,4.740462167623936e-05,2.8430564812693107e-05,1.9524284658087945e-05,1.4151949854818266e-05,2.742660217545361e-05,1.6448898085648467e-05,1.1296046021312127e-05,8.187807115642832e-06
24,24,2.25,0.02,220,1,100000.0,,405.0,0.4049999999999999,220.0,0.0141492528173443,0.0491446382229807,0.0073227989758463,5192242560000.0,3133464750000.0,2151862200000.0,1559752200000.0,15.811221154927509,6.399515895276096,82044046407034.67,49512734505956.39,34002163835416.77,24646071596523.105,4.778727289683982e-05,2.883912555904899e-05,1.980485792015736e-05,1.435532010909103e-05,2.7493275581795555e-05,1.6591907812872307e-05,1.1394255910619255e-05,8.258993407640782e-06
25,25,2.25,0.02,225,1,100000.0,,395.9,0.3959,225.0,0.0154540263473108,0.0470577888495227,0.0069524671474285,5039958114771.241,3063058505000.0,2103511716000.0,1524705916000.0,14.58620783076961,5.772590509744592,73487280583073.31,44662244144368.44,30671158799995.363,22231631474748.77,4.75071536057886e-05,2.8872698460343664e-05,1.9827913631009167e-05,1.4372031772004983e-05,2.719619527878351e-05,1.6528616975639237e-05,1.1350791831360602e-05,8.227488977085396e-06
26,26,2.25,0.02,230,1,100000.0,,398.7,0.3987,230.0,0.0138843941363148,0.0458029359616954,0.005961604141957,5041934713481.014,3084721965000.0,2118388788000.0,1535489388000.0,16.760907098475172,6.664322072212267,84276590914734.77,51561526656602.7,35409142606961.11,25665903737386.77,4.863579459822263e-05,2.975601875233021e-05,2.043452123583983e-05,1.4811724214286537e-05,2.773616042006916e-05,1.6969347707693827e-05,1.1653457372017032e-05,8.446872561639767e-06
