,Simulation Number,PG.cFactor,ExitSlit.openingHeight,SU.photonEnergy,PG.orderDiffraction,SU.numberRays,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,PhotonFlux1,PhotonFlux3,PhotonFlux5,PhotonFlux7,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,FluxPerMilPerBwAbs7,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,AXUVCurrentAmp7,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5,GaAsPCurrentAmp7
0,0,2.25,0.02,100,1,100000.0,,10000.0,10.0,10.0,0.00998774497317,0.0175588505091941,0.0108592814612536,137877000000000.0,77369500000000.0,53132400000000.0,38512400000000.0,0.1001227934014726,10.012279340147265,138046303858148.4,77464504640752.36,53197643081244.04,38559690685948.76,0.0005705057957148,0.0003201385884633,0.000219850606992,0.0001593561464703,0.0002745132003344,0.0001540427268745,0.0001057866443674,7.667821447058998e-05
1,1,2.25,0.02,105,1,100000.0,,10000.0,10.0,10.5,0.0104726860968534,0.0175157453778713,0.0105299197656586,137877000000000.0,77369500000000.0,53132400000000.0,38512400000000.0,0.1002615221612092,10.026152216120924,138237578910210.44,77571838388516.78,53271353000782.336,38613118460813.54,0.000602811851664,0.000338267089923,0.0002323000966611,0.0001683800137515,0.0003059069412966,0.0001716592839607,0.0001178845635439,8.544724998363e-05
2,2,2.25,0.02,110,1,100000.0,,10000.0,10.0,11.0,0.0109695789170746,0.0175613030353279,0.0099922677448733,137877000000000.0,77369500000000.0,53132400000000.0,38512400000000.0,0.1002789229970084,10.027892299700843,138261570660585.31,77585301328170.47,53280598482462.52,38619819940299.88,0.0006244946505405,0.0003504343644334,0.0002406557987944,0.0001744365469184,0.0003454083588236,0.0001938254532518,0.0001331068639755,9.648095678293e-05
3,3,2.25,0.02,115,1,100000.0,,10000.0,10.0,11.5,0.0114668560118639,0.0173525028288032,0.0100701559353558,137877000000000.0,77369500000000.0,53132400000000.0,38512400000000.0,0.1002905076036098,10.02905076036098,138277543168629.1,77594264280374.9,53286753661980.39,38624281450332.63,0.0006478761985725,0.0003635548898326,0.0002496661323718,0.000180967582047,0.0003762525651661,0.0002111336396978,0.0001449930140156,0.000105096493909
4,4,2.25,0.02,120,1,100000.0,,10000.0,10.0,12.0,0.0119645467426285,0.0165710715411025,0.009666037636542,137877000000000.0,77369500000000.0,53132400000000.0,38512400000000.0,0.1002967405600077,10.029674056000776,138286136981921.92,77599086687575.2,53290065381305.57,38626681911432.44,0.0006699212794535,0.0003759254584207,0.0002581614438118,0.0001871253093904,0.000413145553974,0.0002318360925911,0.0001592101280994,0.0001154016031163
5,5,2.25,0.02,125,1,100000.0,,10000.0,10.0,12.5,0.0124746690304124,0.0169232791664478,0.0097613793696376,137877000000000.0,77369500000000.0,53132400000000.0,38512400000000.0,0.1002043862985027,10.020438629850272,138158801696786.6,77527632657220.06,53240995345665.664,38591114068824.56,0.0006975309235631,0.0003914185744585,0.0002688011201514,0.0001948373546032,0.0004342637387557,0.0002436865346334,0.0001673482500566,0.0001213004258321
6,6,2.25,0.02,130,1,100000.0,,10000.0,10.0,13.0,0.0129785112349642,0.0168147211896059,0.0092225357779549,137877000000000.0,77369500000000.0,53132400000000.0,38512400000000.0,0.1001656511770731,10.01656511770732,138105394873413.22,77497663487445.66,53220414446007.25,38576196243919.14,0.0007244270488467,0.000406511300331,0.0002791658342591,0.0002023500966513,0.0004576571612556,0.0002568137233749,0.0001763631595893,0.0001278347777884
7,7,2.25,0.02,135,1,100000.0,,10000.0,10.0,13.5,0.0130553230076302,0.016246685542067,0.0092054394822582,137877000000000.0,77369500000000.0,53132400000000.0,38512400000000.0,0.1047844460593969,10.478444605939693,144473650693314.7,81071201993925.1,55674491018063.016,40355005004179.19,0.0007531842874768,0.0004226483875478,0.000290247748616,0.0002103826929293,0.0004788069155558,0.0002686818806116,0.0001845134472035,0.0001337424186387
8,8,2.25,0.02,140,1,100000.0,,10000.0,10.0,14.0,0.0139863839990113,0.0167112802370656,0.0093508962526743,137877000000000.0,77369500000000.0,53132400000000.0,38512400000000.0,0.1000973875482934,10.009738754829346,138011275029960.56,77444848259176.9,53184144341709.47,38549906282148.96,0.0007855024931273,0.0004407837067967,0.0003027019203046,0.0002194099539177,0.000502006175087,0.0002817001150546,0.0001934535339265,0.0001402225361548
9,9,2.25,0.02,145,1,100000.0,,10000.0,10.0,14.5,0.0144750709964694,0.0165222382608742,0.0090660011243209,137877000000000.0,77369500000000.0,53132400000000.0,38512400000000.0,0.1001725852843071,10.017258528430713,138114955412444.12,77503028371542.0,53224098703599.2,38578866735033.49,0.000813908494936,0.000456723697926,0.0003136484817361,0.0002273444412075,0.000523168982553,0.0002935755970585,0.00020160885172,0.0001461338230718
10,10,2.25,0.02,150,1,100000.0,,10000.0,10.0,15.0,0.0149806707385684,0.0168023562144675,0.008888221681114,137661659340659.38,77369500000000.0,53132400000000.0,38512400000000.0,0.1001290963136612,10.012909631366131,137839375468193.16,77469381172398.19,53200991969759.78,38562118088702.5,0.0008400968584569,0.0004721566934591,0.0003242468711772,0.0002350265600937,0.0005453415547183,0.0003064964029916,0.0002104820308043,0.0001525654433669
11,11,2.25,0.02,155,1,100000.0,,10000.0,10.0,15.5,0.0154398872222051,0.0164152206566218,0.0083142218558931,137043250000000.0,77369500000000.0,53132400000000.0,38512400000000.0,0.1003913964224842,10.039139642248424,137579632377756.16,77672321455093.94,53340358312780.016,38663136155812.81,0.0008673994758222,0.0004897013442444,0.0003362954097277,0.0002437598026364,0.0005579846012279,0.0003150172635624,0.0002163336102017,0.0001568068923958
12,12,2.25,0.02,160,1,100000.0,,10000.0,10.0,16.0,0.0159817420046527,0.0165790413958852,0.0085072521962833,136555333333333.34,77369500000000.0,53132400000000.0,38512400000000.0,0.1001143168002726,10.01143168002726,136711439021001.6,77457946336786.92,53193139259588.04,38556426143388.19,0.000891877219938,0.0005053196596837,0.0003470210649697,0.000251534168653,0.0005718972314358,0.0003240254464435,0.0002225198512413,0.00016129091701
