,Simulation Number,PG.cFactor,ExitSlit.openingHeight,SU.photonEnergy,PG.orderDiffraction,SU.numberRays,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,PhotonFlux1,PhotonFlux3,PhotonFlux5,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5
0,0,2.25,0.02,100,1,100000.0,,571.6,0.5716000000000001,100.0,0.0031642437244996,0.0433422241849414,0.0073906369411014,13832720000000.0,8916960000000.0,7202160000000.0,31.992345072588314,18.29918784104536,442840345753297.7,285467330320307.6,230569766797171.5,5.723686278713181e-05,3.689649006112629e-05,2.980101120321738e-05,2.754095488392466e-05,1.7753673396248957e-05,1.4339505435431848e-05
1,1,2.25,0.02,105,1,100000.0,,609.8,0.6098000000000001,105.0,0.0029141047023798,0.0376959016412035,0.0070675935560911,14757160000000.0,9512880000000.0,7683480000000.0,36.4589180324213,22.185895943464526,536898681831841.6,346099976718046.6,279542288887653.03,6.45197599665129e-05,4.159125022634716e-05,3.359293287512655e-05,3.2741629697669594e-05,2.1106174515853124e-05,1.7047294801265987e-05
2,2,2.25,0.02,110,1,100000.0,,656.4,0.6563999999999999,110.0,0.0030559049275538,0.0398974435320293,0.0070759820688214,15884880000000.0,10239840000000.0,8270640000000.0,37.01688781871038,24.31261295808215,588365233585588.1,379276762146081.6,306338923271835.1,7.194834950338708e-05,4.637992777904291e-05,3.746071089845773e-05,3.9794674462824206e-05,2.5652765356200723e-05,2.0719541249239048e-05
3,3,2.25,0.02,115,1,100000.0,,676.8,0.6768000000000001,115.0,0.0033533491353935,0.0392443138370113,0.0071039773355256,16378560000000.0,10558080000000.0,8527680000000.0,34.99344138108371,23.66932641317419,572797699198815.4,369241492045517.4,298233512805994.8,7.696192396768388e-05,4.961181875602761e-05,4.007108437986846e-05,4.469545474392002e-05,2.8811946033270756e-05,2.3271187180718687e-05
4,4,2.25,0.02,120,1,100000.0,,685.6,0.6856,120.0,0.0036934196221863,0.0371859578425389,0.0066533045315555,16591520000000.0,10695360000000.0,8638560000000.0,32.97788761026108,22.604239721506016,547022601260445.6,352626139655493.9,284813420490975.9,8.061542031288556e-05,5.196696516037251e-05,4.197331801414703e-05,4.971614353135066e-05,3.2048423102854146e-05,2.588526481384373e-05
5,5,2.25,0.02,125,1,100000.0,,726.1,0.7261000000000001,125.0,0.0039420627031958,0.0370795143111118,0.0068469947587851,17571620000000.0,11327160000000.0,9148860000000.0,32.15180096970836,23.36797671296849,565505036453837.2,364540436722308.5,294436506583402.94,8.88962504776075e-05,5.730502096903625e-05,4.628482462883697e-05,5.534438229143044e-05,3.567654395645929e-05,2.881567011867866e-05
6,6,2.25,0.02,130,1,100000.0,,735.9,0.7359,130.0,0.0036410034542654,0.0389848631407523,0.0069450185910558,17808780000000.0,11480040000000.0,9272340000000.0,35.932529562681346,26.41271330317405,639187661936812.0,412038327529515.1,332800187619993.06,9.357008013635588e-05,6.031790289781618e-05,4.871830618669768e-05,5.9112946323361015e-05,3.810586622497652e-05,3.0777815027865646e-05
7,7,2.25,0.02,135,1,100000.0,,710.0,0.71,135.0,0.0039517813757555,0.0342869526725276,0.0062958681949673,17182000000000.0,11076000000000.0,8946000000000.0,34.831064805754934,24.757078386070173,599121296942898.2,386210422822694.56,311939187664484.1,9.386055997321562e-05,6.050515436289934e-05,4.886954775464947e-05,5.966811305061996e-05,3.846374229709387e-05,3.106686877842197e-05
8,8,2.25,0.02,140,1,100000.0,,687.1,0.6870999999999999,140.0,0.0043704429511506,0.0360603181893749,0.0069606282157695,16621402265571.418,10718760000000.0,8657460000000.0,32.490185446863485,22.309005161523377,539669551643704.1,348020480519764.6,281093465035194.5,9.46942051167274e-05,6.106611474889978e-05,4.932263114334213e-05,6.051804561980769e-05,3.902669560025051e-05,3.152156183097156e-05
9,9,2.25,0.02,145,1,100000.0,,668.5,0.6685,145.0,0.0041269585180742,0.0329661399305195,0.0069629956987518,16112311819289.016,10428600000000.0,8423100000000.0,35.78066232782756,23.957004480582068,577416195134244.4,373729269897080.25,301858256455334.06,9.511337977166096e-05,6.156158119403335e-05,4.972281557979615e-05,6.113754854743841e-05,3.9570922281837424e-05,3.196112953533023e-05
