,Simulation Number,PG.cFactor,ExitSlit.openingHeight,SU.photonEnergy,PG.orderDiffraction,SU.numberRays,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,PhotonFlux1,PhotonFlux3,PhotonFlux5,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5
0,0,2.5,0.02,100,1,100000.0,,100000.0,100.0,100.0,0.099779096095574,0.119670415866593,0.1095723155732045,2420000000000000.0,1560000000000000.0,1260000000000000.0,1.0022139297014117,100.22139297014115,2425357709877416.0,1563453730334202.2,1262789551423778.8,0.0100134469536619,0.0064549492759143,0.0052136128767,0.0048182216381953,0.0031059610560267,0.0025086608529446
1,1,2.5,0.02,300,1,100000.0,,100000.0,100.0,300.0,0.2993376978469086,0.0729174117786064,0.0646575045724085,2335952718498758.0,1560000000000000.0,1260000000000000.0,1.0022125584510575,100.22125584510576,2341121150427343.5,1563451591183650.0,1262787823648332.8,0.0298570842565311,0.0199392098441624,0.0161047464125927,0.0162739932596629,0.0108681264325374,0.0087781021185879
2,2,2.5,0.02,500,1,100000.0,,100000.0,100.0,500.0,0.4996548083535117,0.0631698664933493,0.0448592964160603,2150000000000000.0,1521880408827353.8,1260000000000000.0,1.0006908602513518,100.0690860251352,2151485349540406.5,1522931815509123.8,1260870483916703.2,0.0466530950385029,0.0330234564419805,0.0273408836039598,0.0260876739987186,0.0184661953351277,0.0152885903434351
3,3,2.5,0.02,700,1,100000.0,,100000.0,100.0,700.0,0.4757754373358531,0.0564367383523232,0.0377411087704429,1858169731614735.2,1450000000000000.0,1239065959431385.8,1.4712823426104389,147.12823426104387,2733892315697938.0,2133359396785136.0,1823015867441060.0,0.0566010223758306,0.0441679148296291,0.03774273087204,0.0322156505842625,0.0251390885086625,0.021482061256701
4,4,2.5,0.02,900,1,100000.0,,100000.0,100.0,900.0,0.898855694167878,0.0470895802280122,0.0380147591352536,1458556370433035.5,1355952732470644.0,1178287657033624.2,1.001273069570062,100.12730695700618,1460413214164453.8,1357678954632794.8,1179787699194573.5,0.0572927756468371,0.0532624568127537,0.0462836896470599,0.0313685576060819,0.029161904374667,0.0253409364186733
5,5,2.5,0.02,1100,1,100000.0,,100000.0,100.0,1100.0,1.0992601482651023,0.0461298130419664,0.0305016695068153,951618639374169.2,1247988911400319.0,1117509363985108.2,1.0006730451713957,100.06730451713956,952259121704410.2,1248828864311092.5,1118261498266528.0,0.0457521049686618,0.060001052219473,0.0537278313065974,0.0230305165156297,0.030203096120763,0.0270453065952509
6,6,2.5,0.02,1300,1,100000.0,,100000.0,100.0,1300.0,1.2991153315826978,0.0505541862759182,0.0287388412289731,545000000000000.0,1130025055516725.8,1046731063506915.8,1.0006809775820478,100.06809775820476,545371132782216.0,1130794577246685.0,1047443863895596.8,0.0309803490096698,0.0642359093753757,0.0595010892967104,0.019593110415266,0.0406251480454245,0.0376306739493209
7,7,2.5,0.02,1500,1,100000.0,,100000.0,100.0,1500.0,1.497727716585132,0.0432180124503309,0.0295339379872642,545000000000000.0,994442839743192.8,967548023158699.4,1.0015171538789769,100.15171538789768,545826848864042.4,995951562554929.8,969015942395131.0,0.0356260566521192,0.0650056457724501,0.0632475608930234,0.0231447075061046,0.0422313553346721,0.0410892036589319
8,8,2.5,0.02,1700,1,100000.0,,100000.0,100.0,1700.0,1.697696109381468,0.0462847464536532,0.0272405305634817,545000000000000.0,861507032168373.4,885691907903118.5,1.0013570689158091,100.13570689158094,545739602559116.0,862676156582480.2,886893852860317.8,0.0397319596812759,0.0628061700316505,0.0645693122474112,0.0257652759721073,0.0407283787811546,0.0418717365750203
9,9,2.5,0.02,1900,1,100000.0,,100000.0,100.0,1900.0,1.8955686205879367,0.0419732160890391,0.0239801856497876,545000000000000.0,727360185439135.1,801275359200487.0,1.0023377573166874,100.23377573166874,546274077737594.6,729060577034512.5,803148546534139.2,0.0440048161916063,0.0587290848905355,0.0646972016522583,0.0278523061198415,0.0371718505398817,0.0409492964967669
10,10,2.5,0.02,2100,1,100000.0,,100000.0,100.0,2100.0,2.099166331912784,0.0457156144681408,0.0218043129092083,545000000000000.0,597169630902765.9,717341447808921.8,1.000397142462959,100.03971424629589,545216442642312.6,597406792320786.9,717626334558287.1,0.048899120361724,0.0535799443263865,0.0643621390768107,0.0294934167446844,0.032316647323825,0.0388199087494749
