,Simulation Number,PG.cFactor,ExitSlit.openingHeight,SU.photonEnergy,PG.orderDiffraction,SU.numberRays,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,PhotonFlux,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs,AXUVCurrentAmp,GaAsPCurrentAmp
0,0,2.5,0.016,100,1,100000.0,,10000.0,10.0,10.0,0.0099670197909658,0.0110926860413635,0.0100512273486197,,0.1003319960884812,10.033199608848124,,,
1,1,2.5,0.016,150,1,100000.0,,10000.0,10.0,15.0,0.0149744041939428,0.0089395796663879,0.0084213949896693,,0.1001710369184413,10.017103691844133,,,
2,2,2.5,0.016,200,1,100000.0,,10000.0,10.0,20.0,0.0199641870458484,0.008146381214413,0.0075513353639723,,0.100179595816771,10.0179595816771,,,
3,3,2.5,0.016,250,1,100000.0,,10000.0,10.0,25.0,0.0249511685291034,0.0072075339822078,0.0067907094560883,,0.1001959826994183,10.019598269941834,,,
4,4,2.5,0.016,300,1,100000.0,,10000.0,10.0,30.0,0.0298466836519861,0.0071370042568091,0.0060699618251645,,0.1005250907206447,10.052509072064478,,,
5,5,2.5,0.016,350,1,100000.0,,10000.0,10.0,35.0,0.0348956629227751,0.0069097247426117,0.0057043751060195,,0.1003000759740043,10.030007597400436,,,
6,6,2.5,0.016,400,1,100000.0,,10000.0,10.0,40.0,0.0398457121267415,0.0062831852320534,0.0051305315746218,,0.1003917473267454,10.03917473267454,,,
7,7,2.5,0.016,450,1,100000.0,,10000.0,10.0,45.0,0.0449427002775524,0.0062592994755042,0.0048609115901543,,0.1001277039720961,10.012770397209618,,,
8,8,2.5,0.016,500,1,100000.0,,10000.0,10.0,50.0,0.0483312448758625,0.0058099175355816,0.0048709862386298,,0.1048636309385569,10.486363093855696,,,
9,9,2.5,0.016,550,1,100000.0,,10000.0,10.0,55.0,0.0548699178980041,0.0056277461840651,0.0045015925994319,,0.100238374107114,10.023837410711405,,,
10,10,2.5,0.016,600,1,100000.0,,10000.0,10.0,60.0,0.059917951317592,0.0056132017229034,0.0042808089401828,,0.1001372456750927,10.013724567509277,,,
11,11,2.5,0.016,650,1,100000.0,,10000.0,10.0,65.0,0.0648981798566512,0.0055204214246589,0.0041435301234368,,0.1001570397224218,10.01570397224219,,,
12,12,2.5,0.016,700,1,100000.0,,10000.0,10.0,70.0,0.0676604168175845,0.0053158463199745,0.0040494437617268,,0.1048553767616217,10.485537676162176,,,
13,13,2.5,0.016,750,1,100000.0,,10000.0,10.0,75.0,0.074893243530405,0.0052963700393606,0.0038296304011858,,0.1001427522797951,10.01427522797951,,,
14,14,2.5,0.016,800,1,100000.0,,10000.0,10.0,80.0,0.079869005849971,0.0053123219342456,0.0036334838341989,,0.100164085538543,10.016408553854308,,,
15,15,2.5,0.016,850,1,100000.0,,10000.0,10.0,85.0,0.0819506794614448,0.0049911535997065,0.0036788115291821,,0.1051018589296134,10.51018589296135,,,
16,16,2.5,0.016,900,1,100000.0,,10000.0,10.0,90.0,0.0897571906292512,0.0049592214815701,0.0034258379907066,,0.100271807659092,10.027180765909206,,,
17,17,2.5,0.016,950,1,100000.0,,10000.0,10.0,95.0,0.0918656964494449,0.0050083054104196,0.0035830114942025,,0.1048111734160622,10.481117341606224,,,
18,18,2.5,0.016,1000,1,100000.0,,10000.0,10.0,100.0,0.0999165874156301,0.0048897714105319,0.0033626605007196,,0.1000834875708188,10.00834875708188,,,
19,19,2.5,0.016,1050,1,100000.0,,10000.0,10.0,105.0,0.1045708315400634,0.0047840553881327,0.0032306899330736,,0.1004132760369241,10.04132760369241,,,
20,20,2.5,0.016,1100,1,100000.0,,10000.0,10.0,110.0,0.1061121211708434,0.0046926789847172,0.0031880660483938,,0.1050691053184619,10.506910531846202,,,
21,21,2.5,0.016,1150,1,100000.0,,10000.0,10.0,115.0,0.1147446539115344,0.0046828237236243,0.0030701737214383,,0.1002229670386497,10.022296703864972,,,
22,22,2.5,0.016,1200,1,100000.0,,10000.0,10.0,120.0,0.1198494866217788,0.0047248645244474,0.0030504006100708,,0.1001256658038173,10.012566580381726,,,
23,23,2.5,0.016,1250,1,100000.0,,10000.0,10.0,125.0,0.1246256489434199,0.0046840212748628,0.0029895187004747,,0.1003024545524566,10.030245455245666,,,
24,24,2.5,0.016,1300,1,100000.0,,10000.0,10.0,130.0,0.1297639832737854,0.0046421417584973,0.0029610519835062,,0.1001820133152013,10.018201331520135,,,
25,25,2.5,0.016,1350,1,100000.0,,10000.0,10.0,135.0,0.1348513228921888,0.0044845603625268,0.002857434061219,,0.1001103045994257,10.011030459942576,,,
26,26,2.5,0.016,1400,1,100000.0,,10000.0,10.0,140.0,0.1398178551603905,0.0044367835854656,0.0029085021794764,,0.1001303833831897,10.013038338318974,,,
27,27,2.5,0.016,1450,1,100000.0,,10000.0,10.0,145.0,0.1446827298260996,0.0044612752184633,0.0027687707463032,,0.1002195922931641,10.021959229316415,,,
28,28,2.5,0.016,1500,1,100000.0,,10000.0,10.0,150.0,0.1496310570361834,0.0045300002686641,0.0027590392406853,,0.100247220911933,10.0247220911933,,,
29,29,2.5,0.016,1550,1,100000.0,,10000.0,10.0,155.0,0.1546224155976187,0.0045753786370137,0.002713575516614,,0.1002450625539537,10.024506255395377,,,
30,30,2.5,0.016,1600,1,100000.0,,10000.0,10.0,160.0,0.1598462811843524,0.0043438510757437,0.0027118407923747,,0.1000962214967605,10.009622149676057,,,
31,31,2.5,0.016,1650,1,100000.0,,10000.0,10.0,165.0,0.1645570841159656,0.0042915607157076,0.0025855586687267,,0.100269987438121,10.026998743812102,,,
32,32,2.5,0.016,1700,1,100000.0,,10000.0,10.0,170.0,0.1697902734329318,0.0043936112161472,0.0025241113596185,,0.1001235553560712,10.012355535607124,,,
33,33,2.5,0.016,1750,1,100000.0,,10000.0,10.0,175.0,0.1744548686001849,0.0043416233549545,0.002473286678372,,0.100314341870961,10.0314341870961,,,
34,34,2.5,0.016,1800,1,100000.0,,10000.0,10.0,180.0,0.1795029229354008,0.0043390102418033,0.0025415978988479,,0.1002783221849234,10.02783221849234,,,
