,Simulation Number,PG.cFactor,ExitSlit.openingHeight,SU.photonEnergy,PG.orderDiffraction,SU.numberRays,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,PhotonFlux,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs,AXUVCurrentAmp,GaAsPCurrentAmp
0,0,2.5,0.024,100,1,100000.0,,100000.0,100.0,100.0,0.099718058865605,0.4822709527356275,0.1082860139441052,,1.0028320093672023,100.28320093672023,,,
1,1,2.5,0.024,150,1,100000.0,,100000.0,100.0,150.0,0.1494655330272251,0.4721835348604772,0.0960682815525135,,1.003624603453651,100.36246034536512,,,
2,2,2.5,0.024,200,1,100000.0,,100000.0,100.0,200.0,0.1997401639019955,0.4649013439743952,0.0854264153412685,,1.0013022485918983,100.13022485918982,,,
3,3,2.5,0.024,250,1,100000.0,,100000.0,100.0,250.0,0.2496588682472093,0.4650881746440548,0.0766678212151034,,1.001367369743135,100.1367369743135,,,
4,4,2.5,0.024,300,1,100000.0,,100000.0,100.0,300.0,0.2897301984532571,0.4842331362234183,0.0708940052956522,,1.0493217158310322,104.93217158310324,,,
5,5,2.5,0.024,350,1,100000.0,,100000.0,100.0,350.0,0.3497082356818622,0.4618812145650373,0.0685393278146028,,1.0008345542138246,100.08345542138248,,,
6,6,2.5,0.024,400,1,100000.0,,100000.0,100.0,400.0,0.3992226816017307,0.4628837870768147,0.0653946580417834,,1.0019526499723186,100.19526499723186,,,
7,7,2.5,0.024,450,1,100000.0,,100000.0,100.0,450.0,0.4494287078974537,0.483913017047307,0.0612139563187509,,1.001271769476037,100.12717694760366,,,
8,8,2.5,0.024,500,1,100000.0,,100000.0,100.0,500.0,0.4992891359973214,0.484239997338524,0.0617199906737389,,1.0014243447833784,100.14243447833783,,,
9,9,2.5,0.024,550,1,100000.0,,100000.0,100.0,550.0,0.5494902311516171,0.4610376519463227,0.0586178809514131,,1.0009282002881998,100.09282002881994,,,
10,10,2.5,0.024,600,1,100000.0,,100000.0,100.0,600.0,0.5982575068693563,0.4776433897839288,0.0569416532064209,,1.0029206283973822,100.2920628397382,,,
11,11,2.5,0.024,650,1,100000.0,,100000.0,100.0,650.0,0.6492614534985819,0.4706517942317535,0.0580932247617981,,1.0011383358744796,100.11383358744798,,,
12,12,2.5,0.024,700,1,100000.0,,100000.0,100.0,700.0,0.6990198133709896,0.4781393050476521,0.0558591226713151,,1.0014031815087878,100.14031815087876,,,
13,13,2.5,0.024,750,1,100000.0,,100000.0,100.0,750.0,0.749102507370776,0.461891318273597,0.0568453602508652,,1.0011986681817242,100.11986681817244,,,
14,14,2.5,0.024,800,1,100000.0,,100000.0,100.0,800.0,0.772965796677769,0.4815873349414314,0.0551028961463693,,1.0486122663137938,104.86122663137937,,,
15,15,2.5,0.024,850,1,100000.0,,100000.0,100.0,850.0,0.818538095018812,0.4871823389541653,0.051055898735624,,1.0521912642234637,105.21912642234638,,,
