,Simulation Number,PG.cFactor,ExitSlit.openingHeight,SU.photonEnergy,PG.orderDiffraction,SU.numberRays,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,PhotonFlux,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs,AXUVCurrentAmp,GaAsPCurrentAmp
0,0,2.5,0.024,100,1,100000.0,,943.6,0.9436,100.0,0.0024041714618149,0.0721855287019665,0.0051109755597442,,42.11570992692345,39.72798167290478,,,
1,1,2.5,0.024,150,1,100000.0,,877.0,0.8770000000000001,150.0,0.0041824707740715,0.0589227227140138,0.0054270164136125,,36.50329997777768,32.0044239140806,,,
2,2,2.5,0.024,200,1,100000.0,,523.5,0.5235000000000001,200.0,0.0054633309928504,0.0445171560390492,0.0051657776469989,,37.63575336986204,19.682927248004688,,,
3,3,2.5,0.024,250,1,100000.0,,531.7,0.5317000000000001,250.0,0.0081573631606175,0.0446666834747898,0.0047890569595123,,30.93334055909947,16.451898949271907,,,
4,4,2.5,0.024,300,1,100000.0,,587.5,0.5874999999999999,300.0,0.0102025673007403,0.0417752496456461,0.0050466458619981,,30.239572408700848,17.790427212512395,,,
5,5,2.5,0.024,350,1,100000.0,,621.5,0.6215,350.0,0.0117078101990045,0.0394257022423994,0.0048490718170755,,30.98416307086041,19.172649696204964,,,
6,6,2.5,0.024,400,1,100000.0,,695.5,0.6955,400.0,0.0152973289645216,0.0382400978946295,0.0051017117581488,,26.36547388944826,18.350237843517675,,,
7,7,2.5,0.024,450,1,100000.0,,769.4,0.7694,450.0,0.01831392686326,0.0351720478982309,0.0052037639340005,,24.70189564895629,18.986048420606743,,,
8,8,2.5,0.024,500,1,100000.0,,812.4,0.8124,500.0,0.0203892687183269,0.0344130684453789,0.0049391490972592,,24.850916330285106,20.182849933171536,,,
9,9,2.5,0.024,550,1,100000.0,,796.0,0.796,550.0,0.0221337961116204,0.0334901374022305,0.0050196845372308,,25.33225229189148,20.16222028625515,,,
10,10,2.5,0.024,600,1,100000.0,,882.2,0.8821999999999999,600.0,0.0247609036586254,0.0327537312575095,0.0049684720086543,,24.685699981163623,21.80585576892677,,,
11,11,2.5,0.024,650,1,100000.0,,951.3,0.9513,650.0,0.0304475308554969,0.0323984684817886,0.0049808294288653,,21.557319122553373,20.51975515140257,,,
12,12,2.5,0.024,700,1,100000.0,,1000.5,1.0005000000000002,700.0,0.0333138972118148,0.031711204110368,0.005523056221895,,21.36648348551582,21.444984022764157,,,
13,13,2.5,0.024,750,1,100000.0,,1038.3,1.0383,750.0,0.0344860952159364,0.0300908529690879,0.0052558557223021,,21.982989823266223,22.828059794069077,,,
14,14,2.5,0.024,800,1,100000.0,,1095.5,1.0955,800.0,0.0394303550537301,0.0296085967528594,0.0050567718944755,,20.539709840863036,22.534393548521763,,,
