,Simulation Number,PG.cFactor,ExitSlit.openingHeight,SU.photonEnergy,PG.orderDiffraction,SU.numberRays,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,PhotonFlux,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs,AXUVCurrentAmp,GaAsPCurrentAmp
0,0,2.5,0.016,100,1,100000.0,,621.1,0.6211,100.0,0.0022165625492277,0.068733766041664,0.0034560217171736,,46.77809007188,29.023005345916268,,,
1,1,2.5,0.016,150,1,100000.0,,563.3,0.5633000000000001,150.0,0.0034433089011343,0.0638402634122849,0.0036243864077419,,44.459724804321006,24.97118653165013,,,
2,2,2.5,0.016,200,1,100000.0,,339.1,0.3391,200.0,0.0049502987574981,0.068492965962688,0.0032641077973296,,41.72220890721556,14.13055549301259,,,
3,3,2.5,0.016,250,1,100000.0,,360.0,0.36,250.0,0.0056254002303006,0.0597646475749802,0.0035050202479936,,45.529374668806426,16.413581382414087,,,
4,4,2.5,0.016,300,1,100000.0,,376.6,0.3765999999999999,300.0,0.0076069481611056,0.0629819243152197,0.0036001448752901,,40.39491854319103,15.237128930609408,,,
5,5,2.5,0.016,350,1,100000.0,,408.6,0.4085999999999999,350.0,0.0083925411696099,0.0614298083969635,0.0035679901520946,,45.24865148179803,18.348290896155834,,,
6,6,2.5,0.016,400,1,100000.0,,463.0,0.4629999999999999,400.0,0.0108408363900991,0.0553313444169785,0.0035616072795076,,37.8140584882615,17.561443673664492,,,
7,7,2.5,0.016,450,1,100000.0,,511.0,0.511,450.0,0.0123911278069328,0.0573446165024609,0.0036889197603226,,36.90929235685781,18.86337981221735,,,
8,8,2.5,0.016,500,1,100000.0,,538.6,0.5386,500.0,0.0136511012577272,0.0623302319603147,0.003580585634689,,37.04816972739928,20.01334102598089,,,
9,9,2.5,0.016,550,1,100000.0,,527.5,0.5275,550.0,0.0164010356855555,0.0614593457573177,0.0035374299159995,,33.88855768215935,17.87120589535133,,,
10,10,2.5,0.016,600,1,100000.0,,570.6,0.5706,600.0,0.0157811798660872,0.0574924973033135,0.0035900598011376,,38.93823858814528,22.224020931394257,,,
11,11,2.5,0.016,650,1,100000.0,,638.8,0.6388,650.0,0.0190141641655031,0.0613919408703548,0.0036921979899143,,34.424089053186094,22.040709270982983,,,
12,12,2.5,0.016,700,1,100000.0,,662.9,0.6629,700.0,0.0194131547444043,0.0605017667205665,0.0036621957953107,,36.6547849883573,24.284259574526512,,,
13,13,2.5,0.016,750,1,100000.0,,683.4,0.6834,750.0,0.022767132766296,0.0606066059614078,0.003627995340865,,33.92398279923325,23.22976374429904,,,
14,14,2.5,0.016,800,1,100000.0,,742.9,0.7429,800.0,0.0244431049906779,0.0573348358891894,0.0037432121082579,,33.299946350736874,24.75713990416618,,,
15,15,2.5,0.016,850,1,100000.0,,784.9,0.7848999999999999,850.0,0.0263701070232741,0.060354489640744,0.00362212021767,,32.487867903848674,25.49733459283393,,,
16,16,2.5,0.016,900,1,100000.0,,807.9,0.8079000000000001,900.0,0.0290632690705933,0.0626392418165859,0.0037193429119284,,31.69046736422676,25.628170652634644,,,
17,17,2.5,0.016,950,1,100000.0,,837.4,0.8373999999999999,950.0,0.0298755707608278,0.0652411002497366,0.0037328478915232,,32.093898235109265,26.8831048020736,,,
18,18,2.5,0.016,1000,1,100000.0,,873.4,0.8734,1000.0,0.0333880163355046,0.0554382753862629,0.0036665870586196,,30.2883258322233,26.45433875771497,,,
19,19,2.5,0.016,1050,1,100000.0,,912.8,0.9128000000000002,1050.0,0.0377246841451778,0.0614835655264056,0.0036800132751379,,28.20152065560547,25.75078730304137,,,
20,20,2.5,0.016,1100,1,100000.0,,964.0,0.964,1100.0,0.0346981539470561,0.0580931541415545,0.0036899591799436,,32.05966475838425,30.868767980986597,,,
21,21,2.5,0.016,1150,1,100000.0,,977.8,0.9778,1150.0,0.042635890877932,0.0595158195739108,0.0036905567015992,,27.145246796848568,26.517620250229847,,,
22,22,2.5,0.016,1200,1,100000.0,,994.8,0.9948,1200.0,0.0432143349574516,0.0561436952634187,0.0036693362084885,,27.97303977026366,27.831664936196887,,,
