,Simulation Number,PG.cFactor,ExitSlit.openingHeight,SU.photonEnergy,PG.orderDiffraction,SU.numberRays,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,PhotonFlux,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs,AXUVCurrentAmp,GaAsPCurrentAmp
0,0,2.5,0.016,100,1,100000.0,,87.65,0.08765,10.0,0.000228794613174,0.0072387717465206,0.0003541606563127,,4.463822029739417,3.9146559045454112,,,
1,1,2.5,0.016,150,1,100000.0,,110.4,0.1103999999999999,15.0,0.000373709977114,0.0070010692568364,0.0003661992951078,,4.061256748031444,4.482524286274718,,,
2,2,2.5,0.016,200,1,100000.0,,132.2,0.1322,20.0,0.0004764546368781,0.0065502679841816,0.0003676520526114,,4.238664739011145,5.599056535144299,,,
3,3,2.5,0.016,250,1,100000.0,,145.98,0.14598,25.0,0.000636178511244,0.0064150537308436,0.000374093474643,,3.937044819383596,5.746102764796424,,,
4,4,2.5,0.016,300,1,100000.0,,164.74,0.16474,30.0,0.0008411088797026,0.0062848749660119,0.0003722666830049,,3.5834726945440387,5.901192494390239,,,
5,5,2.5,0.016,350,1,100000.0,,179.27,0.1792699999999999,35.0,0.0009692377244846,0.0064132723624827,0.0003723557822956,,3.623081293922758,6.50009225134244,,,
6,6,2.5,0.016,400,1,100000.0,,192.04,0.19204,40.0,0.0010386810107144,0.0061773929617616,0.0003703655656095,,3.872534284823432,7.431995219880458,,,
7,7,2.5,0.016,450,1,100000.0,,203.08,0.20308,45.0,0.0013142300611792,0.0061895301638898,0.000375551974734,,3.4439032366751454,6.995160223909238,,,
8,8,2.5,0.016,500,1,100000.0,,216.26,0.2162599999999999,50.0,0.0014357336111447,0.006372114539409,0.0003722073090879,,3.5250929905507333,7.624550046876452,,,
9,9,2.5,0.016,550,1,100000.0,,226.34,0.2263399999999999,55.0,0.001547976122041,0.0062421031151534,0.0003726872875464,,3.568428362939321,8.073987761619371,,,
10,10,2.5,0.016,600,1,100000.0,,235.41,0.2354099999999999,60.0,0.001790254695519,0.0062308013065713,0.0003744997187625,,3.373488478820078,7.943741164318345,,,
11,11,2.5,0.016,650,1,100000.0,,246.5,0.2465,65.0,0.0019982536942359,0.0063389301926721,0.0003708593469692,,3.259720005212283,8.033703099438261,,,
12,12,2.5,0.016,700,1,100000.0,,254.77,0.25477,70.0,0.0022841639163868,0.0063511144707865,0.0003753096251559,,3.0789136071200183,7.843835443194396,,,
13,13,2.5,0.016,750,1,100000.0,,262.25,0.26225,75.0,0.0024919572376904,0.006312256465451,0.0003713483263325,,3.014476760496604,7.906029405408091,,,
14,14,2.5,0.016,800,1,100000.0,,272.1,0.2720999999999999,80.0,0.0025635146008755,0.006414229297565,0.0003734131798024,,3.134258111547019,8.52433234308199,,,
15,15,2.5,0.016,850,1,100000.0,,282.09000000000003,0.28209,85.0,0.0026824406410003,0.0060484093944909,0.0003775871022287,,3.196763196325948,9.021011473166878,,,
16,16,2.5,0.016,900,1,100000.0,,289.79,0.28979,90.0,0.0029293496091167,0.0062634540929677,0.0003743198683966,,3.096416457174473,8.978281915413847,,,
17,17,2.5,0.016,950,1,100000.0,,296.96,0.29696,95.0,0.0032786153731205,0.0062903036970585,0.0003747885498705,,2.905843950626793,8.63202262192534,,,
18,18,2.5,0.016,1000,1,100000.0,,304.51,0.30451,100.0,0.0034232542695951,0.0061929691207063,0.0003723601828347,,2.936900718307596,8.946525919753684,,,
19,19,2.5,0.016,1050,1,100000.0,,308.65,0.30865,105.0,0.0037406905729176,0.006200659263917,0.0003730502112835,,2.8156224463051176,8.69459064670058,,,
20,20,2.5,0.016,1100,1,100000.0,,322.54,0.3225399999999999,110.0,0.0039658866532022,0.0063606885251673,0.0003810872113851,,2.793226657947707,9.014087993389689,,,
21,21,2.5,0.016,1150,1,100000.0,,327.12,0.32712,115.0,0.0040990470085262,0.0061174937701957,0.0003756327955367,,2.8189627161331723,9.217534530860815,,,
22,22,2.5,0.016,1200,1,100000.0,,334.97,0.33497,120.0,0.0042869321518583,0.0061180762817421,0.0003731897191818,,2.8138501363531665,9.425152572498613,,,
23,23,2.5,0.016,1250,1,100000.0,,341.51,0.34151,125.0,0.0047811379539689,0.0061843684488567,0.000377810404547,,2.6236615869937348,8.963275317188286,,,
24,24,2.5,0.016,1300,1,100000.0,,347.17,0.3471700000000001,130.0,0.0049016034287592,0.0060787592103177,0.0003773108982002,,2.660291330256949,9.235655955336965,,,
25,25,2.5,0.016,1350,1,100000.0,,352.14,0.35214,135.0,0.0051735594864544,0.0062153779419091,0.0003766312664053,,2.6255339045153345,9.249727211767086,,,
26,26,2.5,0.016,1400,1,100000.0,,361.1,0.3611,140.0,0.005075482885943,0.0059608263807896,0.0003780523692484,,2.7748516385105555,10.02001488557911,,,
27,27,2.5,0.016,1450,1,100000.0,,368.52,0.3685199999999999,145.0,0.0055229425344737,0.0060864548470549,0.0003812444433789,,2.6361127654540413,9.713917141993118,,,
28,28,2.5,0.016,1500,1,100000.0,,372.22,0.3722199999999999,150.0,0.0056957640244559,0.0061610407714748,0.0003822863180172,,2.659812510983207,9.913518803041075,,,
29,29,2.5,0.016,1550,1,100000.0,,380.83,0.3808299999999999,155.0,0.0061868308426937,0.0062451238834103,0.0003799135764471,,2.5165313571911887,9.58165338865104,,,
30,30,2.5,0.016,1600,1,100000.0,,385.93,0.38593,160.0,0.0064307378323951,0.006410262918941,0.00038135837296,,2.504861126931792,9.664578887703694,,,
31,31,2.5,0.016,1650,1,100000.0,,395.43,0.39543,165.0,0.0065865665996511,0.0062619693440899,0.0003798546072693,,2.513739282988193,9.938932280301588,,,
32,32,2.5,0.016,1700,1,100000.0,,397.93,0.39793,170.0,0.0071404984959553,0.0060760551689984,0.0003797338751607,,2.394526786590625,9.527117639175485,,,
