,Simulation Number,PG.cFactor,ExitSlit.openingHeight,SU.photonEnergy,PG.orderDiffraction,SU.numberRays,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,PhotonFlux,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs,AXUVCurrentAmp,GaAsPCurrentAmp
0,0,2.5,0.016,100,1,100000.0,,85.11,0.08511,10.0,0.000229008510206,0.0069177267995828,0.0003501436007505,,4.460044486052968,3.8035381941149566,,,
1,1,2.5,0.016,150,1,100000.0,,108.97,0.10897,15.0,0.0003467143656951,0.0059041381323149,0.0003529905241122,,4.410934259929629,4.809595874867587,,,
2,2,2.5,0.016,200,1,100000.0,,129.24,0.1292399999999999,20.0,0.0004514792922199,0.0052458808370616,0.0003627263366544,,4.522173029471072,5.834945417349515,,,
3,3,2.5,0.016,250,1,100000.0,,146.24,0.14624,25.0,0.0005783063670443,0.0045010842645993,0.0003542276966349,,4.395030561413164,6.446738411092312,,,
4,4,2.5,0.016,300,1,100000.0,,162.11,0.16211,30.0,0.0007444540521743,0.0041159988266106,0.0003612738529663,,4.078830514993738,6.6106576828901735,,,
5,5,2.5,0.016,350,1,100000.0,,177.37,0.17737,35.0,0.0008484005237681,0.0038001504840679,0.0003647179706322,,4.160466133591051,7.37928470296207,,,
6,6,2.5,0.016,400,1,100000.0,,190.03,0.19003,40.0,0.0009685725932445,0.0034742031397196,0.0003648830004164,,4.159984518127489,7.904239175778935,,,
7,7,2.5,0.016,450,1,100000.0,,202.74,0.20274,45.0,0.0011970777309659,0.0036786066271535,0.0003719807201623,,3.7737867746537335,7.650801261727951,,,
8,8,2.5,0.016,500,1,100000.0,,213.79,0.21379,50.0,0.0013773538970724,0.0032512093019973,0.0003696748127392,,3.6640084085895817,7.8417728477071,,,
9,9,2.5,0.016,550,1,100000.0,,226.64,0.22664,55.0,0.0015549650996797,0.0030597135505467,0.0003692201968854,,3.563822931463786,8.079605253097426,,,
10,10,2.5,0.016,600,1,100000.0,,235.55,0.23555,60.0,0.0017126603056885,0.0031205191306818,0.0003689733839641,,3.5147256425426496,8.282207067859668,,,
11,11,2.5,0.016,650,1,100000.0,,247.45,0.24745,65.0,0.0018715459997474,0.0028535128885444,0.0003718612848174,,3.488638538815805,8.629541179379842,,,
12,12,2.5,0.016,700,1,100000.0,,253.45,0.25345,70.0,0.0020768509121285,0.00278845343667,0.0003741152518828,,3.387407384675761,8.580989078201554,,,
13,13,2.5,0.016,750,1,100000.0,,262.55,0.26255,75.0,0.0021424014828221,0.0029223277892495,0.0003678136797107,,3.512393666631948,9.216383322037922,,,
14,14,2.5,0.016,800,1,100000.0,,275.11,0.27511,80.0,0.0023679437966768,0.0025846515613039,0.0003675450051288,,3.4045351027780875,9.351198925092923,,,
15,15,2.5,0.016,850,1,100000.0,,279.4,0.2794,85.0,0.002574153697584,0.0027008680992629,0.0003679127770724,,3.316393796928688,9.263809627813943,,,
16,16,2.5,0.016,900,1,100000.0,,289.6,0.2895999999999999,90.0,0.0028059927688093,0.0026640224475871,0.0003733443190431,,3.219820071636252,9.317407573498707,,,
17,17,2.5,0.016,950,1,100000.0,,299.72,0.29972,95.0,0.0029901871596609,0.002430018699485,0.0003709376928725,,3.188568705875298,9.55584672994381,,,
18,18,2.5,0.016,1000,1,100000.0,,304.33000000000004,0.30433,100.0,0.0030505865249813,0.0025635101419836,0.0003726148063628,,3.297624575523668,10.035764375185789,,,
19,19,2.5,0.016,1050,1,100000.0,,309.27,0.30927,105.0,0.0032483524828444,0.0023470944088365,0.000374098206981,,3.2584145433712792,10.078964821442002,,,
20,20,2.5,0.016,1100,1,100000.0,,319.57,0.31957,110.0,0.003639084171225,0.0023835874921672,0.0003766057388797,,3.0436871115674724,9.730814069944763,,,
21,21,2.5,0.016,1150,1,100000.0,,325.55,0.32555,115.0,0.0038837306261552,0.00230655911044,0.0003737988460453,,2.969255749156806,9.670860337980791,,,
22,22,2.5,0.016,1200,1,100000.0,,330.64,0.33064,120.0,0.0041465301181369,0.0023659191786064,0.0003726395258213,,2.9225397552962016,9.665466338522538,,,
23,23,2.5,0.016,1250,1,100000.0,,342.27,0.34227,125.0,0.0040425236911391,0.0023769359869601,0.0003734241408925,,3.095107188777882,10.593038674636295,,,
24,24,2.5,0.016,1300,1,100000.0,,346.26,0.34626,130.0,0.0046178196891514,0.0023026964354419,0.0003734197234556,,2.8275575163502,9.789651109553748,,,
25,25,2.5,0.016,1350,1,100000.0,,352.2,0.3522,135.0,0.0047069623839024,0.0021006037843752,0.0003738498487132,,2.8841429957997584,10.1570834112467,,,
26,26,2.5,0.016,1400,1,100000.0,,360.11,0.36011,140.0,0.0050546375298449,0.0021995954996921,0.0003646933717789,,2.778351518687777,10.008793059363269,,,
27,27,2.5,0.016,1450,1,100000.0,,367.5,0.3675,145.0,0.0052132631153358,0.002230181040834,0.0003725226333146,,2.7968967721093314,10.283223250955825,,,
28,28,2.5,0.016,1500,1,100000.0,,373.81,0.37381,150.0,0.0054192641962868,0.0021959584617441,0.0003744443898245,,2.7747172319966227,10.37418433268689,,,
29,29,2.5,0.016,1550,1,100000.0,,379.38,0.37938,155.0,0.0057558211958871,0.0021624982634752,0.0003742075994684,,2.713904819572295,10.295368399855697,,,
30,30,2.5,0.016,1600,1,100000.0,,385.86,0.38586,160.0,0.0057433328951537,0.0021164665978858,0.0003723556743855,,2.7899884544510107,10.768793316507882,,,
31,31,2.5,0.016,1650,1,100000.0,,392.82,0.39282,165.0,0.006258354480135,0.0020866817362613,0.0003758722035789,,2.641389238840152,10.375302250975365,,,
32,32,2.5,0.016,1700,1,100000.0,,400.04,0.40004,170.0,0.0067841552418826,0.0021291406021759,0.000370419998394,,2.511763731245809,10.048587430640795,,,
33,33,2.5,0.016,1750,1,100000.0,,400.94,0.4009399999999999,175.0,0.00690992376243,0.0019910234219548,0.000375140513063,,2.5369321838033527,10.168826558172018,,,
34,34,2.5,0.016,1800,1,100000.0,,409.4,0.4094000000000001,180.0,0.0070356120412293,0.0020276897454546,0.0003745706658642,,2.566756209387541,10.511411552567024,,,
35,35,2.5,0.016,1850,1,100000.0,,411.47,0.4114700000000001,185.0,0.0072621466709983,0.002015320306568,0.0003721999482624,,2.55275070268496,10.50530107379532,,,
36,36,2.5,0.016,1900,1,100000.0,,420.35,0.42035,190.0,0.0075398234575572,0.0019652820708364,0.0003755473011287,,2.530681025149159,10.637870171044352,,,
37,37,2.5,0.016,1950,1,100000.0,,425.19,0.42519,195.0,0.0077794141867184,0.0019411586267147,0.0003769472708285,,2.5234117765207875,10.72459235779946,,,
38,38,2.5,0.016,2000,1,100000.0,,432.36,0.4323600000000001,200.0,0.0082738807798295,0.0020056132958884,0.000379499137019,,2.430078899181537,10.506591978008188,,,
39,39,2.5,0.016,2050,1,100000.0,,437.07,0.43707,205.0,0.0081583913736039,0.0018986170562692,0.0003706262072645,,2.5269771663071507,11.043512704526362,,,
40,40,2.5,0.016,2100,1,100000.0,,441.78,0.4417799999999999,210.0,0.0089215774676267,0.0019392198096755,0.0003817730518894,,2.3585385000910555,10.421613573331692,,,
