,Simulation Number,PG.cFactor,ExitSlit.openingHeight,SU.photonEnergy,PG.orderDiffraction,SU.numberRays,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,PhotonFlux,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs,AXUVCurrentAmp,GaAsPCurrentAmp
0,0,2.5,0.024,100,1,100000.0,,1370.4,1.3704,100.0,0.0023748387963976,0.070270242197614,0.0054523346927429,,42.87198219935711,58.62352514793021,,,
1,1,2.5,0.024,150,1,100000.0,,1710.4,1.7104000000000004,150.0,0.0036503146227999,0.0572417174062169,0.0056391009561873,,41.64615242762086,71.24968875218849,,,
2,2,2.5,0.024,200,1,100000.0,,2002.5,2.0025000000000004,200.0,0.0050985847165804,0.0513710287923467,0.0056600689948941,,39.49294997063933,79.09836000678831,,,
3,3,2.5,0.024,250,1,100000.0,,2251.5,2.2515,250.0,0.0064766221011353,0.0455375239704526,0.0057041904091795,,38.88056437773034,87.48622037722393,,,
4,4,2.5,0.024,300,1,100000.0,,2478.2,2.4782,300.0,0.008376720521943,0.0427519127768869,0.0056134802676401,,36.020094827795575,89.27757447015134,,,
5,5,2.5,0.024,350,1,100000.0,,2679.9,2.6799,350.0,0.0104953298198779,0.0397320621018154,0.0057105692833953,,33.45360798838139,89.6597404586061,,,
6,6,2.5,0.024,400,1,100000.0,,2873.1,2.8731,400.0,0.0116248406285876,0.0354242496331114,0.0057674957646958,,34.64409472558968,99.53858931080754,,,
7,7,2.5,0.024,450,1,100000.0,,3053.5,3.0535,450.0,0.0137981302857496,0.0335614716124164,0.005743024883125,,32.82039634989312,100.17304765075336,,,
8,8,2.5,0.024,500,1,100000.0,,3210.6,3.2106000000000003,500.0,0.0158219067101242,0.0340552012095391,0.0057301635297751,,31.69343478948204,101.78556756771768,,,
9,9,2.5,0.024,550,1,100000.0,,3399.6,3.3996000000000004,550.0,0.0182623568245275,0.0321427975862202,0.0056787863187409,,30.193904106733605,102.63858016636476,,,
10,10,2.5,0.024,600,1,100000.0,,3553.7,3.5537,600.0,0.0206512320486694,0.0309389173219886,0.0057528168266873,,29.12554659206831,103.50588732334192,,,
